song,link,album,year,artist
Mamma Mia,../lyrics/ateens/mammamia.html,The ABBA Generation,1999,A-TEENS
Gimme Gimme Gimme (A Man After Midnight),../lyrics/ateens/gimmegimmegimmeamanaftermidnight.html,The ABBA Generation,1999,A-TEENS
Super Trouper,../lyrics/ateens/supertrouper.html,The ABBA Generation,1999,A-TEENS
One Of Us,../lyrics/ateens/oneofus.html,The ABBA Generation,1999,A-TEENS
Voulez-Vous,../lyrics/ateens/voulezvous.html,The ABBA Generation,1999,A-TEENS
S.O.S.,../lyrics/ateens/sos.html,The ABBA Generation,1999,A-TEENS
Dancing Queen,../lyrics/ateens/dancingqueen.html,The ABBA Generation,1999,A-TEENS
Take A Chance On Me,../lyrics/ateens/takeachanceonme.html,The ABBA Generation,1999,A-TEENS
Lay All Your Love On Me,../lyrics/ateens/layallyourloveonme.html,The ABBA Generation,1999,A-TEENS
The Name Of The Game,../lyrics/ateens/thenameofthegame.html,The ABBA Generation,1999,A-TEENS
Our Last Summer,../lyrics/ateens/ourlastsummer.html,The ABBA Generation,1999,A-TEENS
,,The ABBA Generation,1999,A-TEENS
Upside Down,../lyrics/ateens/upsidedown.html,Teen Spirit,2001,A-TEENS
...To the Music,../lyrics/ateens/tothemusic.html,Teen Spirit,2001,A-TEENS
Halfway Around The World,../lyrics/ateens/halfwayaroundtheworld.html,Teen Spirit,2001,A-TEENS
Firefly,../lyrics/ateens/firefly.html,Teen Spirit,2001,A-TEENS
Sugar Rush,../lyrics/ateens/sugarrush.html,Teen Spirit,2001,A-TEENS
Rockin',../lyrics/ateens/rockin.html,Teen Spirit,2001,A-TEENS
Around The Corner Of Your Eye,../lyrics/ateens/aroundthecornerofyoureye.html,Teen Spirit,2001,A-TEENS
Slammin' Kinda Love,../lyrics/ateens/slamminkindalove.html,Teen Spirit,2001,A-TEENS
All My Love,../lyrics/ateens/allmylove.html,Teen Spirit,2001,A-TEENS
For All That I Am,../lyrics/ateens/forallthatiam.html,Teen Spirit,2001,A-TEENS
That's What (It's All About),../lyrics/ateens/thatswhatitsallabout.html,Teen Spirit,2001,A-TEENS
Morning Light,../lyrics/ateens/morninglight.html,Teen Spirit,2001,A-TEENS
