song,link,album,year,artist
Give Me Words,../lyrics/aaronshust/givemewords.html,Anything Worth Saying,2005,AARON SHUST
Glory To You,../lyrics/aaronshust/glorytoyou.html,Anything Worth Saying,2005,AARON SHUST
Matchless,../lyrics/aaronshust/matchless.html,Anything Worth Saying,2005,AARON SHUST
Let The People Praise,../lyrics/aaronshust/letthepeoplepraise.html,Anything Worth Saying,2005,AARON SHUST
Stillness (Speak To Me),../lyrics/aaronshust/stillnessspeaktome.html,Anything Worth Saying,2005,AARON SHUST
More Wonderful,../lyrics/aaronshust/morewonderful.html,Anything Worth Saying,2005,AARON SHUST
Give It All Away,../lyrics/aaronshust/giveitallaway.html,Anything Worth Saying,2005,AARON SHUST
Change The Way,../lyrics/aaronshust/changetheway.html,Anything Worth Saying,2005,AARON SHUST
My Savior My God,../lyrics/aaronshust/mysaviormygod.html,Anything Worth Saying,2005,AARON SHUST
Stand To Praise (Psalm 117),../lyrics/aaronshust/standtopraisepsalm117.html,Anything Worth Saying,2005,AARON SHUST
In Your Name,../lyrics/aaronshust/inyourname.html,Anything Worth Saying,2005,AARON SHUST
One Day,../lyrics/aaronshust/oneday.html,Anything Worth Saying,2005,AARON SHUST
,,Anything Worth Saying,2005,AARON SHUST
Long Live The King,../lyrics/aaronshust/longlivetheking.html,Whispered And Shouted,2007,AARON SHUST
Like I Never Felt Before,../lyrics/aaronshust/likeineverfeltbefore.html,Whispered And Shouted,2007,AARON SHUST
Create Again,../lyrics/aaronshust/createagain.html,Whispered And Shouted,2007,AARON SHUST
Watch Over Me,../lyrics/aaronshust/watchoverme.html,Whispered And Shouted,2007,AARON SHUST
Give Me Words To Speak,../lyrics/aaronshust/givemewordstospeak.html,Whispered And Shouted,2007,AARON SHUST
Life Itself,../lyrics/aaronshust/lifeitself.html,Whispered And Shouted,2007,AARON SHUST
The Name Of Jesus,../lyrics/aaronshust/thenameofjesus.html,Whispered And Shouted,2007,AARON SHUST
I Will Wait,../lyrics/aaronshust/iwillwait.html,Whispered And Shouted,2007,AARON SHUST
Runaway,../lyrics/aaronshust/runaway.html,Whispered And Shouted,2007,AARON SHUST
Can't Hide From Your Love,../lyrics/aaronshust/canthidefromyourlove.html,Whispered And Shouted,2007,AARON SHUST
Worthy / Let All I Do,../lyrics/aaronshust/worthyletallido.html,Whispered And Shouted,2007,AARON SHUST
,,Whispered And Shouted,2007,AARON SHUST
To God Alone,../lyrics/aaronshust/togodalone.html,Take Over,2009,AARON SHUST
Come And Save Us,../lyrics/aaronshust/comeandsaveus.html,Take Over,2009,AARON SHUST
Forevermore,../lyrics/aaronshust/forevermore.html,Take Over,2009,AARON SHUST
Take Over,../lyrics/aaronshust/takeover.html,Take Over,2009,AARON SHUST
Stars Will Fall,../lyrics/aaronshust/starswillfall.html,Take Over,2009,AARON SHUST
Rest In The Arms,../lyrics/aaronshust/restinthearms.html,Take Over,2009,AARON SHUST
Live To Lose,../lyrics/aaronshust/livetolose.html,Take Over,2009,AARON SHUST
