song,link,album,year,artist
The Remedy,../lyrics/abandonedpools/theremedy.html,Humanistic,2001,ABANDONED POOLS
Mercy Kiss,../lyrics/abandonedpools/mercykiss.html,Humanistic,2001,ABANDONED POOLS
Start Over,../lyrics/abandonedpools/startover.html,Humanistic,2001,ABANDONED POOLS
Monster,../lyrics/abandonedpools/monster.html,Humanistic,2001,ABANDONED POOLS
Blood,../lyrics/abandonedpools/blood.html,Humanistic,2001,ABANDONED POOLS
Suburban Muse,../lyrics/abandonedpools/suburbanmuse.html,Humanistic,2001,ABANDONED POOLS
Sunny Day,../lyrics/abandonedpools/sunnyday.html,Humanistic,2001,ABANDONED POOLS
L.V.B.D.,../lyrics/abandonedpools/lvbd.html,Humanistic,2001,ABANDONED POOLS
Ruin Your Life,../lyrics/abandonedpools/ruinyourlife.html,Humanistic,2001,ABANDONED POOLS
Never,../lyrics/abandonedpools/never.html,Humanistic,2001,ABANDONED POOLS
Seed,../lyrics/abandonedpools/seed.html,Humanistic,2001,ABANDONED POOLS
Flouresein,../lyrics/abandonedpools/flouresein.html,Humanistic,2001,ABANDONED POOLS
,,Humanistic,2001,ABANDONED POOLS
Lethal Killers,../lyrics/abandonedpools/lethalkillers.html,Armed To The Teeth,2005,ABANDONED POOLS
Rabble,../lyrics/abandonedpools/rabble.html,Armed To The Teeth,2005,ABANDONED POOLS
The Catalyst,../lyrics/abandonedpools/thecatalyst.html,Armed To The Teeth,2005,ABANDONED POOLS
Tighter Noose,../lyrics/abandonedpools/tighternoose.html,Armed To The Teeth,2005,ABANDONED POOLS
Waiting To Panic,../lyrics/abandonedpools/waitingtopanic.html,Armed To The Teeth,2005,ABANDONED POOLS
Hunting (The Universe Breaks My Heart),../lyrics/abandonedpools/huntingtheuniversebreaksmyheart.html,Armed To The Teeth,2005,ABANDONED POOLS
Armed To The Teeth,../lyrics/abandonedpools/armedtotheteeth.html,Armed To The Teeth,2005,ABANDONED POOLS
Sooner Or Later,../lyrics/abandonedpools/soonerorlater.html,Armed To The Teeth,2005,ABANDONED POOLS
Sailing Seas,../lyrics/abandonedpools/sailingseas.html,Armed To The Teeth,2005,ABANDONED POOLS
Renegade,../lyrics/abandonedpools/renegade.html,Armed To The Teeth,2005,ABANDONED POOLS
Maybe Then Someday,../lyrics/abandonedpools/maybethensomeday.html,Armed To The Teeth,2005,ABANDONED POOLS
Goodbye Song,../lyrics/abandonedpools/goodbyesong.html,Armed To The Teeth,2005,ABANDONED POOLS
Lucky,../lyrics/abandonedpools/lucky.html,Armed To The Teeth,2005,ABANDONED POOLS
,,Armed To The Teeth,2005,ABANDONED POOLS
Sublime Currency,../lyrics/abandonedpools/sublimecurrency.html,Sublime Currency,2012,ABANDONED POOLS
Hype Is The Enemy,../lyrics/abandonedpools/hypeistheenemy.html,Sublime Currency,2012,ABANDONED POOLS
Unrehearsed,../lyrics/abandonedpools/unrehearsed.html,Sublime Currency,2012,ABANDONED POOLS
Behemoth,../lyrics/abandonedpools/behemoth.html,Sublime Currency,2012,ABANDONED POOLS
9 Billion,../lyrics/abandonedpools/9billion.html,Sublime Currency,2012,ABANDONED POOLS
Autopilot,../lyrics/abandonedpools/autopilot.html,Sublime Currency,2012,ABANDONED POOLS
In Silence,../lyrics/abandonedpools/insilence.html,Sublime Currency,2012,ABANDONED POOLS
Marigolds,../lyrics/abandonedpools/marigolds.html,Sublime Currency,2012,ABANDONED POOLS
Legionnaire,../lyrics/abandonedpools/legionnaire.html,Sublime Currency,2012,ABANDONED POOLS
From Long Sleep,../lyrics/abandonedpools/fromlongsleep.html,Sublime Currency,2012,ABANDONED POOLS
In Shadows,../lyrics/abandonedpools/inshadows.html,Sublime Currency,2012,ABANDONED POOLS
Army Of Me,../lyrics/abandonedpools/armyofme.html,,,ABANDONED POOLS
Clone High,../lyrics/abandonedpools/clonehigh.html,,,ABANDONED POOLS
