song,link,album,year,artist
Abandon All Hope,../lyrics/aesoprock/abandonallhope.html,Music For Earthworms,1997,AESOP ROCK
Wake-Up Call,../lyrics/aesoprock/wakeupcall.html,Music For Earthworms,1997,AESOP ROCK
The Substance,../lyrics/aesoprock/thesubstance.html,Music For Earthworms,1997,AESOP ROCK
Merit,../lyrics/aesoprock/merit.html,Music For Earthworms,1997,AESOP ROCK
89.9FM Nighttrain Promo,../lyrics/aesoprock/899fmnighttrainpromo.html,Music For Earthworms,1997,AESOP ROCK
Live On 89.9FM Nighttrain,../lyrics/aesoprock/liveon899fmnighttrain.html,Music For Earthworms,1997,AESOP ROCK
Coward Of The Year,../lyrics/aesoprock/cowardoftheyear.html,Music For Earthworms,1997,AESOP ROCK
Shere Kan,../lyrics/aesoprock/sherekan.html,Music For Earthworms,1997,AESOP ROCK
Antisocial,../lyrics/aesoprock/antisocial.html,Music For Earthworms,1997,AESOP ROCK
Coordinates,../lyrics/aesoprock/coordinates.html,Music For Earthworms,1997,AESOP ROCK
Plastic Soldiers,../lyrics/aesoprock/plasticsoldiers.html,Music For Earthworms,1997,AESOP ROCK
Troubled Waters,../lyrics/aesoprock/troubledwaters.html,Music For Earthworms,1997,AESOP ROCK
,,Music For Earthworms,1997,AESOP ROCK
Appleseed Intro,../lyrics/aesoprock/appleseedintro.html,Appleseed,1999,AESOP ROCK
Dryspell,../lyrics/aesoprock/dryspell.html,Appleseed,1999,AESOP ROCK
Same Space,../lyrics/aesoprock/samespace.html,Appleseed,1999,AESOP ROCK
Sick Friend,../lyrics/aesoprock/sickfriend.html,Appleseed,1999,AESOP ROCK
Hold The Cup,../lyrics/aesoprock/holdthecup.html,Appleseed,1999,AESOP ROCK
"1,000 Deaths",../lyrics/aesoprock/1000deaths.html,Appleseed,1999,AESOP ROCK
Blue In The Face,../lyrics/aesoprock/blueintheface.html,Appleseed,1999,AESOP ROCK
Odessa,../lyrics/aesoprock/odessa.html,Appleseed,1999,AESOP ROCK
,,Appleseed,1999,AESOP ROCK
Float,../lyrics/aesoprock/float.html,Float,2000,AESOP ROCK
Commencement At The Obedience Academy,../lyrics/aesoprock/commencementattheobedienceacademy.html,Float,2000,AESOP ROCK
Big Bang,../lyrics/aesoprock/bigbang.html,Float,2000,AESOP ROCK
Garbage,../lyrics/aesoprock/garbage.html,Float,2000,AESOP ROCK
I'll Be OK,../lyrics/aesoprock/illbeok.html,Float,2000,AESOP ROCK
Basic Cable,../lyrics/aesoprock/basiccable.html,Float,2000,AESOP ROCK
Fascination,../lyrics/aesoprock/fascination.html,Float,2000,AESOP ROCK
Oxygen,../lyrics/aesoprock/oxygen.html,Float,2000,AESOP ROCK
Skip Town,../lyrics/aesoprock/skiptown.html,Float,2000,AESOP ROCK
6b Panorama,../lyrics/aesoprock/6bpanorama.html,Float,2000,AESOP ROCK
Spare A Match,../lyrics/aesoprock/spareamatch.html,Float,2000,AESOP ROCK
Attention Span,../lyrics/aesoprock/attentionspan.html,Float,2000,AESOP ROCK
How To Be A Carpenter,../lyrics/aesoprock/howtobeacarpenter.html,Float,2000,AESOP ROCK
Prosperity,../lyrics/aesoprock/prosperity.html,Float,2000,AESOP ROCK
No Splash,../lyrics/aesoprock/nosplash.html,Float,2000,AESOP ROCK
Drawbridge,../lyrics/aesoprock/drawbridge.html,Float,2000,AESOP ROCK
The Mayor And The Crook,../lyrics/aesoprock/themayorandthecrook.html,Float,2000,AESOP ROCK
,,Float,2000,AESOP ROCK
Labor,../lyrics/aesoprock/labor.html,Labor Days,2001,AESOP ROCK
Daylight,../lyrics/aesoprock/daylight.html,Labor Days,2001,AESOP ROCK
Save Yourself,../lyrics/aesoprock/saveyourself.html,Labor Days,2001,AESOP ROCK
Flashflood,../lyrics/aesoprock/flashflood.html,Labor Days,2001,AESOP ROCK
No Regrets,../lyrics/aesoprock/noregrets.html,Labor Days,2001,AESOP ROCK
One Brick,../lyrics/aesoprock/onebrick.html,Labor Days,2001,AESOP ROCK
