song,link,album,year,artist
Sorrow Throughtout The Nine Worlds,../lyrics/amonamarth/sorrowthroughtoutthenineworlds.html,Sorrow Throughout The Nine Worlds,1996,AMON AMARTH
The Arrival Of The Fimbul Winter,../lyrics/amonamarth/thearrivalofthefimbulwinter.html,Sorrow Throughout The Nine Worlds,1996,AMON AMARTH
Burning Creation,../lyrics/amonamarth/burningcreation.html,Sorrow Throughout The Nine Worlds,1996,AMON AMARTH
The Mighty Doors Of The Speargod's Hall,../lyrics/amonamarth/themightydoorsofthespeargodshall.html,Sorrow Throughout The Nine Worlds,1996,AMON AMARTH
Under The Grayclouded Winter Sky,../lyrics/amonamarth/underthegraycloudedwintersky.html,Sorrow Throughout The Nine Worlds,1996,AMON AMARTH
,,Sorrow Throughout The Nine Worlds,1996,AMON AMARTH
Ride For Vengeance,../lyrics/amonamarth/rideforvengeance.html,Once Sent From The Golden Hall,1998,AMON AMARTH
The Dragon's Flight Across The Waves,../lyrics/amonamarth/thedragonsflightacrossthewaves.html,Once Sent From The Golden Hall,1998,AMON AMARTH
Without Fear,../lyrics/amonamarth/withoutfear.html,Once Sent From The Golden Hall,1998,AMON AMARTH
Victorious March,../lyrics/amonamarth/victoriousmarch.html,Once Sent From The Golden Hall,1998,AMON AMARTH
Friends Of The Suncross,../lyrics/amonamarth/friendsofthesuncross.html,Once Sent From The Golden Hall,1998,AMON AMARTH
Abandoned,../lyrics/amonamarth/abandoned.html,Once Sent From The Golden Hall,1998,AMON AMARTH
Amon Amarth,../lyrics/amonamarth/amonamarth.html,Once Sent From The Golden Hall,1998,AMON AMARTH
Once Sent From The Golden Hall,../lyrics/amonamarth/oncesentfromthegoldenhall.html,Once Sent From The Golden Hall,1998,AMON AMARTH
,,Once Sent From The Golden Hall,1998,AMON AMARTH
Bleed For Ancient Gods,../lyrics/amonamarth/bleedforancientgods.html,The Avenger,2000,AMON AMARTH
The Last With Pagan Blood,../lyrics/amonamarth/thelastwithpaganblood.html,The Avenger,2000,AMON AMARTH
North Sea Storm,../lyrics/amonamarth/northseastorm.html,The Avenger,2000,AMON AMARTH
Avenger,../lyrics/amonamarth/avenger.html,The Avenger,2000,AMON AMARTH
"God, His Son And Holy Whore",../lyrics/amonamarth/godhissonandholywhore.html,The Avenger,2000,AMON AMARTH
Metalwrath,../lyrics/amonamarth/metalwrath.html,The Avenger,2000,AMON AMARTH
Legend Of A Banished Man,../lyrics/amonamarth/legendofabanishedman.html,The Avenger,2000,AMON AMARTH
,,The Avenger,2000,AMON AMARTH
Bastards Of A Lying Breed,../lyrics/amonamarth/bastardsofalyingbreed.html,The Crusher,2001,AMON AMARTH
Masters Of War,../lyrics/amonamarth/mastersofwar.html,The Crusher,2001,AMON AMARTH
The Sound Of Eight Hooves,../lyrics/amonamarth/thesoundofeighthooves.html,The Crusher,2001,AMON AMARTH
Risen From The Sea 2000,../lyrics/amonamarth/risenfromthesea2000.html,The Crusher,2001,AMON AMARTH
As Long As The Raven Flies,../lyrics/amonamarth/aslongastheravenflies.html,The Crusher,2001,AMON AMARTH
A Fury Divine,../lyrics/amonamarth/afurydivine.html,The Crusher,2001,AMON AMARTH
Annihilation Of Hammerfest,../lyrics/amonamarth/annihilationofhammerfest.html,The Crusher,2001,AMON AMARTH
The Fall Through Ginnungagap,../lyrics/amonamarth/thefallthroughginnungagap.html,The Crusher,2001,AMON AMARTH
Releasing Surtur's Fire,../lyrics/amonamarth/releasingsurtursfire.html,The Crusher,2001,AMON AMARTH
Eyes Of Horror,../lyrics/amonamarth/eyesofhorror.html,The Crusher,2001,AMON AMARTH
,,The Crusher,2001,AMON AMARTH
Death In Fire,../lyrics/amonamarth/deathinfire.html,Versus The World,2002,AMON AMARTH
For The Stabwounds In Our Backs,../lyrics/amonamarth/forthestabwoundsinourbacks.html,Versus The World,2002,AMON AMARTH
Where Silent Gods Stand Guard,../lyrics/amonamarth/wheresilentgodsstandguard.html,Versus The World,2002,AMON AMARTH
Vs The World,../lyrics/amonamarth/vstheworld.html,Versus The World,2002,AMON AMARTH
Across The Rainbow Bridge,../lyrics/amonamarth/acrosstherainbowbridge.html,Versus The World,2002,AMON AMARTH
Down The Slopes Of Death,../lyrics/amonamarth/downtheslopesofdeath.html,Versus The World,2002,AMON AMARTH
Thousand Years Of Oppression,../lyrics/amonamarth/thousandyearsofoppression.html,Versus The World,2002,AMON AMARTH
Bloodshed,../lyrics/amonamarth/bloodshed.html,Versus The World,2002,AMON AMARTH
...And Soon The World Will Cease To Be,../lyrics/amonamarth/andsoontheworldwillceasetobe.html,Versus The World,2002,AMON AMARTH
Siegreicher Marsch (Victorious March),../lyrics/amonamarth/siegreichermarschvictoriousmarch.html,Versus The World,2002,AMON AMARTH
,,Versus The World,2002,AMON AMARTH
An Ancient Sign Of Coming Storm,../lyrics/amonamarth/anancientsignofcomingstorm.html,Fate Of Norns,2004,AMON AMARTH
Where Death Seems To Dwell,../lyrics/amonamarth/wheredeathseemstodwell.html,Fate Of Norns,2004,AMON AMARTH
The Fate Of Norns,../lyrics/amonamarth/thefateofnorns.html,Fate Of Norns,2004,AMON AMARTH
The Pursuit Of Vikings,../lyrics/amonamarth/thepursuitofvikings.html,Fate Of Norns,2004,AMON AMARTH
Valkyries Ride,../lyrics/amonamarth/valkyriesride.html,Fate Of Norns,2004,AMON AMARTH
The Beheading Of A King,../lyrics/amonamarth/thebeheadingofaking.html,Fate Of Norns,2004,AMON AMARTH
Arson,../lyrics/amonamarth/arson.html,Fate Of Norns,2004,AMON AMARTH
Once Sealed In Blood,../lyrics/amonamarth/oncesealedinblood.html,Fate Of Norns,2004,AMON AMARTH
,,Fate Of Norns,2004,AMON AMARTH
