song,link,album,year,artist
The Big Picture,../lyrics/toriamos/thebigpicture.html,Y Kant Tori Read,1988,"AMOS, TORI"
Cool On Your Island,../lyrics/toriamos/coolonyourisland.html,Y Kant Tori Read,1988,"AMOS, TORI"
Fayth,../lyrics/toriamos/fayth.html,Y Kant Tori Read,1988,"AMOS, TORI"
Fire On The Side,../lyrics/toriamos/fireontheside.html,Y Kant Tori Read,1988,"AMOS, TORI"
Pirates,../lyrics/toriamos/pirates.html,Y Kant Tori Read,1988,"AMOS, TORI"
Floating City,../lyrics/toriamos/floatingcity.html,Y Kant Tori Read,1988,"AMOS, TORI"
Heart Attack At 23,../lyrics/toriamos/heartattackat23.html,Y Kant Tori Read,1988,"AMOS, TORI"
On The Boundary,../lyrics/toriamos/ontheboundary.html,Y Kant Tori Read,1988,"AMOS, TORI"
You Go To My Head,../lyrics/toriamos/yougotomyhead.html,Y Kant Tori Read,1988,"AMOS, TORI"
Etienne Trilogy,../lyrics/toriamos/etiennetrilogy.html,Y Kant Tori Read,1988,"AMOS, TORI"
,,Y Kant Tori Read,1988,"AMOS, TORI"
Crucify,../lyrics/toriamos/crucify.html,Little Earthquakes,1992,"AMOS, TORI"
Girl,../lyrics/toriamos/girl.html,Little Earthquakes,1992,"AMOS, TORI"
Silent All These Years,../lyrics/toriamos/silentalltheseyears.html,Little Earthquakes,1992,"AMOS, TORI"
Precious Things,../lyrics/toriamos/preciousthings.html,Little Earthquakes,1992,"AMOS, TORI"
Winter,../lyrics/toriamos/winter.html,Little Earthquakes,1992,"AMOS, TORI"
Happy Phantom,../lyrics/toriamos/happyphantom.html,Little Earthquakes,1992,"AMOS, TORI"
China,../lyrics/toriamos/china.html,Little Earthquakes,1992,"AMOS, TORI"
Leather,../lyrics/toriamos/leather.html,Little Earthquakes,1992,"AMOS, TORI"
Mother,../lyrics/toriamos/mother.html,Little Earthquakes,1992,"AMOS, TORI"
Tear In Your Hand,../lyrics/toriamos/tearinyourhand.html,Little Earthquakes,1992,"AMOS, TORI"
Me And A Gun,../lyrics/toriamos/meandagun.html,Little Earthquakes,1992,"AMOS, TORI"
Little Earthquakes,../lyrics/toriamos/littleearthquakes.html,Little Earthquakes,1992,"AMOS, TORI"
Smells Like Teen Spirit,../lyrics/toriamos/smellsliketeenspirit.html,Little Earthquakes,1992,"AMOS, TORI"
,,Little Earthquakes,1992,"AMOS, TORI"
Pretty Good Year,../lyrics/toriamos/prettygoodyear.html,Under The Pink,1994,"AMOS, TORI"
God,../lyrics/toriamos/god.html,Under The Pink,1994,"AMOS, TORI"
Bells For Her,../lyrics/toriamos/bellsforher.html,Under The Pink,1994,"AMOS, TORI"
Past The Mission,../lyrics/toriamos/pastthemission.html,Under The Pink,1994,"AMOS, TORI"
Baker Baker,../lyrics/toriamos/bakerbaker.html,Under The Pink,1994,"AMOS, TORI"
The Wrong Band,../lyrics/toriamos/thewrongband.html,Under The Pink,1994,"AMOS, TORI"
The Waitress,../lyrics/toriamos/thewaitress.html,Under The Pink,1994,"AMOS, TORI"
Cornflake Girl,../lyrics/toriamos/cornflakegirl.html,Under The Pink,1994,"AMOS, TORI"
Icicle,../lyrics/toriamos/icicle.html,Under The Pink,1994,"AMOS, TORI"
Cloud On My Tongue,../lyrics/toriamos/cloudonmytongue.html,Under The Pink,1994,"AMOS, TORI"
Space Dog,../lyrics/toriamos/spacedog.html,Under The Pink,1994,"AMOS, TORI"
"Yes, Anastasia",../lyrics/toriamos/yesanastasia.html,Under The Pink,1994,"AMOS, TORI"
,,Under The Pink,1994,"AMOS, TORI"
A Case Of You,../lyrics/toriamos/acaseofyou.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Honey,../lyrics/toriamos/honey.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Daisy Dead Petals,../lyrics/toriamos/daisydeadpetals.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Sister Janet,../lyrics/toriamos/sisterjanet.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Sugar,../lyrics/toriamos/sugar.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Take To The Sky,../lyrics/toriamos/taketothesky.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Upside Down,../lyrics/toriamos/upsidedown.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Flying Dutchman,../lyrics/toriamos/flyingdutchman.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Here. In My Head,../lyrics/toriamos/hereinmyhead.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Black Swan,../lyrics/toriamos/blackswan.html,More Pink: The B-Sides,1994,"AMOS, TORI"
Little Drummer Boy,../lyrics/toriamos/littledrummerboy.html,More Pink: The B-Sides,1994,"AMOS, TORI"
,,More Pink: The B-Sides,1994,"AMOS, TORI"
Beauty Queen - Horses,../lyrics/toriamos/beautyqueenhorses.html,Boys For Pele,1996,"AMOS, TORI"
Blood Roses,../lyrics/toriamos/bloodroses.html,Boys For Pele,1996,"AMOS, TORI"
Father Lucifer,../lyrics/toriamos/fatherlucifer.html,Boys For Pele,1996,"AMOS, TORI"
Professional Widow,../lyrics/toriamos/professionalwidow.html,Boys For Pele,1996,"AMOS, TORI"
Mr. Zebra,../lyrics/toriamos/mrzebra.html,Boys For Pele,1996,"AMOS, TORI"
Marianne,../lyrics/toriamos/marianne.html,Boys For Pele,1996,"AMOS, TORI"
Caught A Lite Sneeze,../lyrics/toriamos/caughtalitesneeze.html,Boys For Pele,1996,"AMOS, TORI"
Muhammad My Friend,../lyrics/toriamos/muhammadmyfriend.html,Boys For Pele,1996,"AMOS, TORI"
Hey Jupiter,../lyrics/toriamos/heyjupiter.html,Boys For Pele,1996,"AMOS, TORI"
Way Down,../lyrics/toriamos/waydown.html,Boys For Pele,1996,"AMOS, TORI"
Little Amsterdam,../lyrics/toriamos/littleamsterdam.html,Boys For Pele,1996,"AMOS, TORI"
