song,link,album,year,artist
The Way I Am,../lyrics/anajohnsson/thewayiam.html,Cuz I Can,2004,ANA JOHNSSON
L.A.,../lyrics/anajohnsson/la.html,Cuz I Can,2004,ANA JOHNSSON
Now It's Gone,../lyrics/anajohnsson/nowitsgone.html,Cuz I Can,2004,ANA JOHNSSON
Life,../lyrics/anajohnsson/life.html,Cuz I Can,2004,ANA JOHNSSON
Here I Go Again,../lyrics/anajohnsson/hereigoagain.html,Cuz I Can,2004,ANA JOHNSSON
Just A Girl,../lyrics/anajohnsson/justagirl.html,Cuz I Can,2004,ANA JOHNSSON
Anything Goes,../lyrics/anajohnsson/anythinggoes.html,Cuz I Can,2004,ANA JOHNSSON
A Song For Everyone,../lyrics/anajohnsson/asongforeveryone.html,Cuz I Can,2004,ANA JOHNSSON
Tame Me,../lyrics/anajohnsson/tameme.html,Cuz I Can,2004,ANA JOHNSSON
What Is A Girl To Do,../lyrics/anajohnsson/whatisagirltodo.html,Cuz I Can,2004,ANA JOHNSSON
,,Cuz I Can,2004,ANA JOHNSSON
We Are,../lyrics/anajohnsson/weare.html,The Way I Am,2004,ANA JOHNSSON
Don't Cry For Pain,../lyrics/anajohnsson/dontcryforpain.html,The Way I Am,2004,ANA JOHNSSON
The Way I Am,../lyrics/anajohnsson/thewayiam.html,The Way I Am,2004,ANA JOHNSSON
I'm Stupid,../lyrics/anajohnsson/imstupid.html,The Way I Am,2004,ANA JOHNSSON
6 Feet Under,../lyrics/anajohnsson/6feetunder.html,The Way I Am,2004,ANA JOHNSSON
Coz I Can,../lyrics/anajohnsson/cozican.html,The Way I Am,2004,ANA JOHNSSON
Crest Of The Way,../lyrics/anajohnsson/crestoftheway.html,The Way I Am,2004,ANA JOHNSSON
L.A.,../lyrics/anajohnsson/la.html,The Way I Am,2004,ANA JOHNSSON
Life,../lyrics/anajohnsson/life.html,The Way I Am,2004,ANA JOHNSSON
Now It's Gone,../lyrics/anajohnsson/nowitsgone.html,The Way I Am,2004,ANA JOHNSSON
Here I Go Again,../lyrics/anajohnsson/hereigoagain.html,The Way I Am,2004,ANA JOHNSSON
Black Hole,../lyrics/anajohnsson/blackhole.html,The Way I Am,2004,ANA JOHNSSON
,,The Way I Am,2004,ANA JOHNSSON
Little Angel,../lyrics/anajohnsson/littleangel.html,Little Angel,2006,ANA JOHNSSON
Break Through Time,../lyrics/anajohnsson/breakthroughtime.html,Little Angel,2006,ANA JOHNSSON
Exception,../lyrics/anajohnsson/exception.html,Little Angel,2006,ANA JOHNSSON
Catch Me If You Can,../lyrics/anajohnsson/catchmeifyoucan.html,Little Angel,2006,ANA JOHNSSON
What If,../lyrics/anajohnsson/whatif.html,Little Angel,2006,ANA JOHNSSON
Playing God,../lyrics/anajohnsson/playinggod.html,Little Angel,2006,ANA JOHNSSON
Burn,../lyrics/anajohnsson/burn.html,Little Angel,2006,ANA JOHNSSON
Days Of Summer,../lyrics/anajohnsson/daysofsummer.html,Little Angel,2006,ANA JOHNSSON
The Harder We Fall,../lyrics/anajohnsson/theharderwefall.html,Little Angel,2006,ANA JOHNSSON
Still,../lyrics/anajohnsson/still.html,Little Angel,2006,ANA JOHNSSON
Spit It Out,../lyrics/anajohnsson/spititout.html,Little Angel,2006,ANA JOHNSSON
Coming Out Strong,../lyrics/anajohnsson/comingoutstrong.html,Little Angel,2006,ANA JOHNSSON
Falling To Pieces,../lyrics/anajohnsson/fallingtopieces.html,Little Angel,2006,ANA JOHNSSON
If I'm Not Dreaming,../lyrics/anajohnsson/ifimnotdreaming.html,Little Angel,2006,ANA JOHNSSON
Bring It On,../lyrics/anajohnsson/bringiton.html,,,ANA JOHNSSON
Playing With Fire,../lyrics/anajohnsson/playingwithfire.html,,,ANA JOHNSSON
