song,link,album,year,artist
Il Mare Calmo Della Sera,../lyrics/andreabocelli/ilmarecalmodellasera.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
Ave Maria No Morro,../lyrics/andreabocelli/avemarianomorro.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
Vivere,../lyrics/andreabocelli/vivere.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
Rapsodia,../lyrics/andreabocelli/rapsodia.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
La Luna Che Non C'e,../lyrics/andreabocelli/lalunachenonc.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
Caruso,../lyrics/andreabocelli/caruso.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
Miserere,../lyrics/andreabocelli/miserere.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
Panis Angelicus,../lyrics/andreabocelli/panisangelicus.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
"Ah, La Paterna Mano",../lyrics/andreabocelli/ahlapaternamano.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
E Lucevan Le Stelle,../lyrics/andreabocelli/elucevanlestelle.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
La Fleur Que Tu M'avais JetÃ©e,../lyrics/andreabocelli/lafleurquetumavaisjete.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
L'anima Ho Stanca,../lyrics/andreabocelli/lanimahostanca.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
Sogno,../lyrics/andreabocelli/sogno.html,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
,,Il Mare Calmo Della Sera,1994,ANDREA BOCELLI
Con Te PartirÃ²,../lyrics/andreabocelli/contepartir.html,Bocelli,1995,ANDREA BOCELLI
Per Amore,../lyrics/andreabocelli/peramore.html,Bocelli,1995,ANDREA BOCELLI
Macchine Da Guerra,../lyrics/andreabocelli/macchinedaguerra.html,Bocelli,1995,ANDREA BOCELLI
E Chiove,../lyrics/andreabocelli/echiove.html,Bocelli,1995,ANDREA BOCELLI
Romanza,../lyrics/andreabocelli/romanza.html,Bocelli,1995,ANDREA BOCELLI
The Power Of Love,../lyrics/andreabocelli/thepoweroflove.html,Bocelli,1995,ANDREA BOCELLI
Vivo Per Lei,../lyrics/andreabocelli/vivoperlei.html,Bocelli,1995,ANDREA BOCELLI
Le Tue Parole,../lyrics/andreabocelli/letueparole.html,Bocelli,1995,ANDREA BOCELLI
Sempre Sempre,../lyrics/andreabocelli/sempresempre.html,Bocelli,1995,ANDREA BOCELLI
Voglio Restare Cosi,../lyrics/andreabocelli/vogliorestarecos.html,Bocelli,1995,ANDREA BOCELLI
Time To Say Goodbye,../lyrics/andreabocelli/timetosaygoodbye.html,Bocelli,1995,ANDREA BOCELLI
,,Bocelli,1995,ANDREA BOCELLI
Nessun Dorma,../lyrics/andreabocelli/nessundorma.html,Viaggio Italiano,1995,ANDREA BOCELLI
Lamento Di Federico,../lyrics/andreabocelli/lamentodifederico.html,Viaggio Italiano,1995,ANDREA BOCELLI
"Ah, La Paterna Mano",../lyrics/andreabocelli/ahlapaternamano.html,Viaggio Italiano,1995,ANDREA BOCELLI
La Donna Ã Mobile,../lyrics/andreabocelli/ladonnamobile.html,Viaggio Italiano,1995,ANDREA BOCELLI
Una Furtiva Lagrima,../lyrics/andreabocelli/unafurtivalagrima.html,Viaggio Italiano,1995,ANDREA BOCELLI
Panis Angelicus,../lyrics/andreabocelli/panisangelicus.html,Viaggio Italiano,1995,ANDREA BOCELLI
Ave Maria,../lyrics/andreabocelli/avemaria.html,Viaggio Italiano,1995,ANDREA BOCELLI
O Sole Mio,../lyrics/andreabocelli/osolemio.html,Viaggio Italiano,1995,ANDREA BOCELLI
Core 'ngrato,../lyrics/andreabocelli/corengrato.html,Viaggio Italiano,1995,ANDREA BOCELLI
Santa Lucia Luntana,../lyrics/andreabocelli/santalucialuntana.html,Viaggio Italiano,1995,ANDREA BOCELLI
I Te Vurria Vasa,../lyrics/andreabocelli/itevurriavasa.html,Viaggio Italiano,1995,ANDREA BOCELLI
"Tu, Ca Nun Chiagne",../lyrics/andreabocelli/tucanunchiagne.html,Viaggio Italiano,1995,ANDREA BOCELLI
Marenariello,../lyrics/andreabocelli/marenariello.html,Viaggio Italiano,1995,ANDREA BOCELLI
Piscatore 'e Pusilleco,../lyrics/andreabocelli/piscatoreepusilleco.html,Viaggio Italiano,1995,ANDREA BOCELLI
Messaggio Bocelli,../lyrics/andreabocelli/messaggiobocelli.html,Viaggio Italiano,1995,ANDREA BOCELLI
Adeste Fideles,../lyrics/andreabocelli/adestefideles.html,Viaggio Italiano,1995,ANDREA BOCELLI
,,Viaggio Italiano,1995,ANDREA BOCELLI
Questa O Quella,../lyrics/andreabocelli/questaoquella.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Che Gelida Manina,../lyrics/andreabocelli/chegelidamanina.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Recondita Armonia,../lyrics/andreabocelli/reconditaarmonia.html,Aria: The Opera Album,1998,ANDREA BOCELLI
E Lucevan Le Stelle,../lyrics/andreabocelli/elucevanlestelle.html,Aria: The Opera Album,1998,ANDREA BOCELLI
"Addio, Fiorito Asil",../lyrics/andreabocelli/addiofioritoasil.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Come Un Bel DÃ¬ Di Maggio,../lyrics/andreabocelli/comeunbelddimaggio.html,Aria: The Opera Album,1998,ANDREA BOCELLI
"A Te, O Cara",../lyrics/andreabocelli/ateocara.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Di Rigori Armato Il Seno,../lyrics/andreabocelli/dirigoriarmatoilseno.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Amor Ti Vieta,../lyrics/andreabocelli/amortivieta.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Ch'ella MÃ¬ Creda Libero,../lyrics/andreabocelli/chellamcredalibero.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Cielo E Mar!,../lyrics/andreabocelli/cieloemar.html,Aria: The Opera Album,1998,ANDREA BOCELLI
La Dolcissima Effigie,../lyrics/andreabocelli/ladolcissimaeffigie.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Musetta! Testa Adorata,../lyrics/andreabocelli/musettatestaadorata.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Tombe Degli Avi Miei,../lyrics/andreabocelli/tombedegliavimiei.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Pourquoi Me RÃ©veiller,../lyrics/andreabocelli/pourquoimerveiller.html,Aria: The Opera Album,1998,ANDREA BOCELLI
La Fleur Que Tu M'avais JetÃ©e,../lyrics/andreabocelli/lafleurquetumavaisjete.html,Aria: The Opera Album,1998,ANDREA BOCELLI
Pour Mon Ãme,../lyrics/andreabocelli/pourmonme.html,Aria: The Opera Album,1998,ANDREA BOCELLI
,,Aria: The Opera Album,1998,ANDREA BOCELLI
Caccini/Mercurio: Ave Maria,../lyrics/andreabocelli/caccinimercurioavemaria.html,Sacred Arias,1999,ANDREA BOCELLI
