song,link,album,year,artist
Boom,../lyrics/anjulie/boom.html,Anjulie,2009,ANJULIE
Rain,../lyrics/anjulie/rain.html,Anjulie,2009,ANJULIE
Some Dumb Girl,../lyrics/anjulie/somedumbgirl.html,Anjulie,2009,ANJULIE
Addicted2Me,../lyrics/anjulie/addicted2me.html,Anjulie,2009,ANJULIE
Crazy That Way,../lyrics/anjulie/crazythatway.html,Anjulie,2009,ANJULIE
Fatal Attraction,../lyrics/anjulie/fatalattraction.html,Anjulie,2009,ANJULIE
The Heat,../lyrics/anjulie/theheat.html,Anjulie,2009,ANJULIE
Colombia,../lyrics/anjulie/colombia.html,Anjulie,2009,ANJULIE
Same Damn Thing,../lyrics/anjulie/samedamnthing.html,Anjulie,2009,ANJULIE
I Want The World To Know,../lyrics/anjulie/iwanttheworldtoknow.html,Anjulie,2009,ANJULIE
Love Songs,../lyrics/anjulie/lovesongs.html,Anjulie,2009,ANJULIE
Day Will Soon Come,../lyrics/anjulie/daywillsooncome.html,Anjulie,2009,ANJULIE
Brand New Bitch,../lyrics/anjulie/brandnewbitch.html,,,ANJULIE
Brand New Chick,../lyrics/anjulie/brandnewchick.html,,,ANJULIE
Dragonflies,../lyrics/anjulie/dragonflies.html,,,ANJULIE
Stand Behind The Music,../lyrics/anjulie/standbehindthemusic.html,,,ANJULIE
