song,link,album,year,artist
Clean & Sober,../lyrics/anyamarina/cleansober.html,Miss Halfway,2005,ANYA MARINA
Miss Halfway,../lyrics/anyamarina/misshalfway.html,Miss Halfway,2005,ANYA MARINA
Lovesick,../lyrics/anyamarina/lovesick.html,Miss Halfway,2005,ANYA MARINA
Space Monkey,../lyrics/anyamarina/spacemonkey.html,Miss Halfway,2005,ANYA MARINA
Someday,../lyrics/anyamarina/someday.html,Miss Halfway,2005,ANYA MARINA
If It Feels Right,../lyrics/anyamarina/ifitfeelsright.html,Miss Halfway,2005,ANYA MARINA
Sociopath,../lyrics/anyamarina/sociopath.html,Miss Halfway,2005,ANYA MARINA
Someday My Prince Will Come,../lyrics/anyamarina/somedaymyprincewillcome.html,Miss Halfway,2005,ANYA MARINA
Fantasy,../lyrics/anyamarina/fantasy.html,Miss Halfway,2005,ANYA MARINA
Morning's A Peach (Come Back To Bed),../lyrics/anyamarina/morningsapeachcomebacktobed.html,Miss Halfway,2005,ANYA MARINA
Krikor's Waltz Redux,../lyrics/anyamarina/krikorswaltzredux.html,Miss Halfway,2005,ANYA MARINA
,,Miss Halfway,2005,ANYA MARINA
Move You,../lyrics/anyamarina/moveyou.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
All The Same To Me,../lyrics/anyamarina/allthesametome.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Cut It Out,../lyrics/anyamarina/cutitout.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Afterparty At Jimmy's,../lyrics/anyamarina/afterpartyatjimmys.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Drop Dead Blues,../lyrics/anyamarina/dropdeadblues.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Vertigo,../lyrics/anyamarina/vertigo.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Lullaby For A Realist,../lyrics/anyamarina/lullabyforarealist.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Two Left Feet,../lyrics/anyamarina/twoleftfeet.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Waters Of March,../lyrics/anyamarina/watersofmarch.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Not A Through Street,../lyrics/anyamarina/notathroughstreet.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Cowboy,../lyrics/anyamarina/cowboy.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
High On The Ceiling,../lyrics/anyamarina/highontheceiling.html,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
,,Slow & Steady Seduction: Phase II,2009,ANYA MARINA
Body Knows Best,../lyrics/anyamarina/bodyknowsbest.html,Felony Flats,2012,ANYA MARINA
Notice Me,../lyrics/anyamarina/noticeme.html,Felony Flats,2012,ANYA MARINA
Believe Me I Believe,../lyrics/anyamarina/believemeibelieve.html,Felony Flats,2012,ANYA MARINA
Hot Button,../lyrics/anyamarina/hotbutton.html,Felony Flats,2012,ANYA MARINA
Nothing To Go On,../lyrics/anyamarina/nothingtogoon.html,Felony Flats,2012,ANYA MARINA
Flinty,../lyrics/anyamarina/flinty.html,Felony Flats,2012,ANYA MARINA
You Are Invisible,../lyrics/anyamarina/youareinvisible.html,Felony Flats,2012,ANYA MARINA
Heart Stops,../lyrics/anyamarina/heartstops.html,Felony Flats,2012,ANYA MARINA
Speakeasy,../lyrics/anyamarina/speakeasy.html,Felony Flats,2012,ANYA MARINA
Felony Flats,../lyrics/anyamarina/felonyflats.html,Felony Flats,2012,ANYA MARINA
Los Angeles,../lyrics/anyamarina/losangeles.html,Felony Flats,2012,ANYA MARINA
Destroy Everything,../lyrics/anyamarina/destroyeverything.html,Felony Flats,2012,ANYA MARINA
,,Felony Flats,2012,ANYA MARINA
Gimme Resurrection,../lyrics/anyamarina/gimmeresurrection.html,Paper Plane,2016,ANYA MARINA
Ordinary Dude,../lyrics/anyamarina/ordinarydude.html,Paper Plane,2016,ANYA MARINA
My Mama Said It,../lyrics/anyamarina/mymamasaidit.html,Paper Plane,2016,ANYA MARINA
Shut Up,../lyrics/anyamarina/shutup.html,Paper Plane,2016,ANYA MARINA
Is This Love,../lyrics/anyamarina/isthislove.html,Paper Plane,2016,ANYA MARINA
Not Mine,../lyrics/anyamarina/notmine.html,Paper Plane,2016,ANYA MARINA
Something Sweet,../lyrics/anyamarina/somethingsweet.html,Paper Plane,2016,ANYA MARINA
Power Of Love,../lyrics/anyamarina/poweroflove.html,Paper Plane,2016,ANYA MARINA
Candy #1,../lyrics/anyamarina/candy1.html,Paper Plane,2016,ANYA MARINA
Snowflake,../lyrics/anyamarina/snowflake.html,Paper Plane,2016,ANYA MARINA
We Were Happy Once,../lyrics/anyamarina/wewerehappyonce.html,Paper Plane,2016,ANYA MARINA
Go To Bed,../lyrics/anyamarina/gotobed.html,Paper Plane,2016,ANYA MARINA
Apple Of My Eye,../lyrics/anyamarina/appleofmyeye.html,,,ANYA MARINA
Come Back To Bed,../lyrics/anyamarina/comebacktobed.html,,,ANYA MARINA
Nothing To Something,../lyrics/anyamarina/nothingtosomething.html,,,ANYA MARINA
