song,link,album,year,artist
Add Mission,../lyrics/apextheory/addmission.html,Topsy-Turvy,2002,APEX THEORY
Mucus Shifters,../lyrics/apextheory/mucusshifters.html,Topsy-Turvy,2002,APEX THEORY
Come Forth,../lyrics/apextheory/comeforth.html,Topsy-Turvy,2002,APEX THEORY
Sssh... (Hope Diggy),../lyrics/apextheory/ssshhopediggy.html,Topsy-Turvy,2002,APEX THEORY
Drown Ink,../lyrics/apextheory/drownink.html,Topsy-Turvy,2002,APEX THEORY
Bullshed,../lyrics/apextheory/bullshed.html,Topsy-Turvy,2002,APEX THEORY
That's All!,../lyrics/apextheory/thatsall.html,Topsy-Turvy,2002,APEX THEORY
Bravo,../lyrics/apextheory/bravo.html,Topsy-Turvy,2002,APEX THEORY
Apossibly,../lyrics/apextheory/apossibly.html,Topsy-Turvy,2002,APEX THEORY
Right Foot,../lyrics/apextheory/rightfoot.html,Topsy-Turvy,2002,APEX THEORY
Aisle Always,../lyrics/apextheory/aislealways.html,Topsy-Turvy,2002,APEX THEORY
In Books,../lyrics/apextheory/inbooks.html,Topsy-Turvy,2002,APEX THEORY
