song,link,album,year,artist
Punish Me,../lyrics/aranda/punishme.html,Aranda,2008,ARANDA
It Ain't Easy,../lyrics/aranda/itainteasy.html,Aranda,2008,ARANDA
Whyyawannabringmedown,../lyrics/aranda/whyyawannabringmedown.html,Aranda,2008,ARANDA
All I Ever Wanted,../lyrics/aranda/allieverwanted.html,Aranda,2008,ARANDA
Still In The Dark,../lyrics/aranda/stillinthedark.html,Aranda,2008,ARANDA
Waiting On A Sign,../lyrics/aranda/waitingonasign.html,Aranda,2008,ARANDA
Testify,../lyrics/aranda/testify.html,Aranda,2008,ARANDA
Hooked On You,../lyrics/aranda/hookedonyou.html,Aranda,2008,ARANDA
Another Day,../lyrics/aranda/anotherday.html,Aranda,2008,ARANDA
Do You Feel,../lyrics/aranda/doyoufeel.html,Aranda,2008,ARANDA
Gravity,../lyrics/aranda/gravity.html,Aranda,2008,ARANDA
,,Aranda,2008,ARANDA
The Upside Of Vanity,../lyrics/aranda/theupsideofvanity.html,Stop The World,2012,ARANDA
Undone,../lyrics/aranda/undone.html,Stop The World,2012,ARANDA
Stop The World,../lyrics/aranda/stoptheworld.html,Stop The World,2012,ARANDA
Satisfied,../lyrics/aranda/satisfied.html,Stop The World,2012,ARANDA
One More Lie,../lyrics/aranda/onemorelie.html,Stop The World,2012,ARANDA
Stand,../lyrics/aranda/stand.html,Stop The World,2012,ARANDA
Love Hitchhiker,../lyrics/aranda/lovehitchhiker.html,Stop The World,2012,ARANDA
Hey Sally,../lyrics/aranda/heysally.html,Stop The World,2012,ARANDA
Break Away,../lyrics/aranda/breakaway.html,Stop The World,2012,ARANDA
The Rest Of My Life,../lyrics/aranda/therestofmylife.html,Stop The World,2012,ARANDA
,,Stop The World,2012,ARANDA
We Are The Enemy,../lyrics/aranda/wearetheenemy.html,Not The Same,2015,ARANDA
Don't Wake Me,../lyrics/aranda/dontwakeme.html,Not The Same,2015,ARANDA
