song,link,album,year,artist
Woman's Work,../lyrics/tinaarena/womanswork.html,Strong As Steel,1990,"ARENA, TINA"
I Need Your Body,../lyrics/tinaarena/ineedyourbody.html,Strong As Steel,1990,"ARENA, TINA"
Close To My Heart,../lyrics/tinaarena/closetomyheart.html,Strong As Steel,1990,"ARENA, TINA"
For The Sake Of Talking,../lyrics/tinaarena/forthesakeoftalking.html,Strong As Steel,1990,"ARENA, TINA"
Rumour Has It,../lyrics/tinaarena/rumourhasit.html,Strong As Steel,1990,"ARENA, TINA"
Images Of Love,../lyrics/tinaarena/imagesoflove.html,Strong As Steel,1990,"ARENA, TINA"
Strong As Steel,../lyrics/tinaarena/strongassteel.html,Strong As Steel,1990,"ARENA, TINA"
The Machine's Breaking Down,../lyrics/tinaarena/themachinesbreakingdown.html,Strong As Steel,1990,"ARENA, TINA"
I'll Be Here,../lyrics/tinaarena/illbehere.html,Strong As Steel,1990,"ARENA, TINA"
Stagefright,../lyrics/tinaarena/stagefright.html,Strong As Steel,1990,"ARENA, TINA"
I Believe,../lyrics/tinaarena/ibelieve.html,Strong As Steel,1990,"ARENA, TINA"
Wouldn't Change A Thing,../lyrics/tinaarena/wouldntchangeathing.html,Strong As Steel,1990,"ARENA, TINA"
Best For You,../lyrics/tinaarena/bestforyou.html,Strong As Steel,1990,"ARENA, TINA"
On The Line,../lyrics/tinaarena/ontheline.html,Strong As Steel,1990,"ARENA, TINA"
You Make Me Feel Good,../lyrics/tinaarena/youmakemefeelgood.html,Strong As Steel,1990,"ARENA, TINA"
,,Strong As Steel,1990,"ARENA, TINA"
Chains,../lyrics/tinaarena/chains.html,Don't Ask,1994,"ARENA, TINA"
Heaven Help My Heart,../lyrics/tinaarena/heavenhelpmyheart.html,Don't Ask,1994,"ARENA, TINA"
Sorrento Moon (I Remember),../lyrics/tinaarena/sorrentomooniremember.html,Don't Ask,1994,"ARENA, TINA"
Wasn't It Good,../lyrics/tinaarena/wasntitgood.html,Don't Ask,1994,"ARENA, TINA"
Message,../lyrics/tinaarena/message.html,Don't Ask,1994,"ARENA, TINA"
Show Me Heaven,../lyrics/tinaarena/showmeheaven.html,Don't Ask,1994,"ARENA, TINA"
Love Is The Answer,../lyrics/tinaarena/loveistheanswer.html,Don't Ask,1994,"ARENA, TINA"
Greatest Gift,../lyrics/tinaarena/greatestgift.html,Don't Ask,1994,"ARENA, TINA"
That's The Way A Woman Feels,../lyrics/tinaarena/thatsthewayawomanfeels.html,Don't Ask,1994,"ARENA, TINA"
Be A Man,../lyrics/tinaarena/beaman.html,Don't Ask,1994,"ARENA, TINA"
Standing Up,../lyrics/tinaarena/standingup.html,Don't Ask,1994,"ARENA, TINA"
,,Don't Ask,1994,"ARENA, TINA"
Burn,../lyrics/tinaarena/burn.html,In Deep,1997,"ARENA, TINA"
If I Didn't Love You,../lyrics/tinaarena/ifididntloveyou.html,In Deep,1997,"ARENA, TINA"
Sixteen Years,../lyrics/tinaarena/sixteenyears.html,In Deep,1997,"ARENA, TINA"
In Command,../lyrics/tinaarena/incommand.html,In Deep,1997,"ARENA, TINA"
Not For Sale,../lyrics/tinaarena/notforsale.html,In Deep,1997,"ARENA, TINA"
Unsung Hero,../lyrics/tinaarena/unsunghero.html,In Deep,1997,"ARENA, TINA"
I Want To Live With You,../lyrics/tinaarena/iwanttolivewithyou.html,In Deep,1997,"ARENA, TINA"
Welcome To My World,../lyrics/tinaarena/welcometomyworld.html,In Deep,1997,"ARENA, TINA"
I Want To Know What Love Is,../lyrics/tinaarena/iwanttoknowwhatloveis.html,In Deep,1997,"ARENA, TINA"
Flashback,../lyrics/tinaarena/flashback.html,In Deep,1997,"ARENA, TINA"
Now I Can Dance,../lyrics/tinaarena/nowicandance.html,In Deep,1997,"ARENA, TINA"
Stay,../lyrics/tinaarena/stay.html,In Deep,1997,"ARENA, TINA"
Burn (Acoustic Version),../lyrics/tinaarena/burnacousticversion.html,In Deep,1997,"ARENA, TINA"
