song,link,album,year,artist
Let It Go,../lyrics/asapferg/letitgo.html,Trap Lord,2013,ASAP FERG
Shabba,../lyrics/asapferg/shabba.html,Trap Lord,2013,ASAP FERG
Lord,../lyrics/asapferg/lord.html,Trap Lord,2013,ASAP FERG
Hood Pope,../lyrics/asapferg/hoodpope.html,Trap Lord,2013,ASAP FERG
Fergivicious,../lyrics/asapferg/fergivicious.html,Trap Lord,2013,ASAP FERG
4:02,../lyrics/asapferg/402.html,Trap Lord,2013,ASAP FERG
Dump Dump,../lyrics/asapferg/dumpdump.html,Trap Lord,2013,ASAP FERG
Work (Remix),../lyrics/asapferg/workremix.html,Trap Lord,2013,ASAP FERG
Didn't Wanna Do That,../lyrics/asapferg/didntwannadothat.html,Trap Lord,2013,ASAP FERG
Murda Something,../lyrics/asapferg/murdasomething.html,Trap Lord,2013,ASAP FERG
Make A Scene,../lyrics/asapferg/makeascene.html,Trap Lord,2013,ASAP FERG
Fuck Out My Face,../lyrics/asapferg/fuckoutmyface.html,Trap Lord,2013,ASAP FERG
Cocaine Castle,../lyrics/asapferg/cocainecastle.html,Trap Lord,2013,ASAP FERG
,,Trap Lord,2013,ASAP FERG
Perfume,../lyrics/asapferg/perfume.html,Ferg Forever,2014,ASAP FERG
Jungle,../lyrics/asapferg/jungle.html,Ferg Forever,2014,ASAP FERG
Fergsomnia,../lyrics/asapferg/fergsomnia.html,Ferg Forever,2014,ASAP FERG
Bonnaroo,../lyrics/asapferg/bonnaroo.html,Ferg Forever,2014,ASAP FERG
Uncle,../lyrics/asapferg/uncle.html,Ferg Forever,2014,ASAP FERG
Thug Cry,../lyrics/asapferg/thugcry.html,Ferg Forever,2014,ASAP FERG
Now,../lyrics/asapferg/now.html,Ferg Forever,2014,ASAP FERG
Jolly,../lyrics/asapferg/jolly.html,Ferg Forever,2014,ASAP FERG
Weaves,../lyrics/asapferg/weaves.html,Ferg Forever,2014,ASAP FERG
This Side,../lyrics/asapferg/thisside.html,Ferg Forever,2014,ASAP FERG
"Reloaded (Let It Go, Pt. 2)",../lyrics/asapferg/reloadedletitgopt2.html,Ferg Forever,2014,ASAP FERG
Commitment Issues,../lyrics/asapferg/commitmentissues.html,Ferg Forever,2014,ASAP FERG
Doe-Active,../lyrics/asapferg/doeactive.html,Ferg Forever,2014,ASAP FERG
Dope Walk,../lyrics/asapferg/dopewalk.html,Ferg Forever,2014,ASAP FERG
NV,../lyrics/asapferg/nv.html,Ferg Forever,2014,ASAP FERG
Ja-Rule,../lyrics/asapferg/jarule.html,Ferg Forever,2014,ASAP FERG
Real Thing,../lyrics/asapferg/realthing.html,Ferg Forever,2014,ASAP FERG
Talk It,../lyrics/asapferg/talkit.html,Ferg Forever,2014,ASAP FERG
,,Ferg Forever,2014,ASAP FERG
Rebirth,../lyrics/asapferg/rebirth.html,Always Strive And Prosper,2016,ASAP FERG
Hungry Ham,../lyrics/asapferg/hungryham.html,Always Strive And Prosper,2016,ASAP FERG
Strive,../lyrics/asapferg/strive.html,Always Strive And Prosper,2016,ASAP FERG
Meet My Crazy Uncle (Skit),../lyrics/asapferg/meetmycrazyuncleskit.html,Always Strive And Prosper,2016,ASAP FERG
Psycho,../lyrics/asapferg/psycho.html,Always Strive And Prosper,2016,ASAP FERG
Let It Bang,../lyrics/asapferg/letitbang.html,Always Strive And Prosper,2016,ASAP FERG
New Level,../lyrics/asapferg/newlevel.html,Always Strive And Prosper,2016,ASAP FERG
Yammy Gang,../lyrics/asapferg/yammygang.html,Always Strive And Prosper,2016,ASAP FERG
Swipe Life,../lyrics/asapferg/swipelife.html,Always Strive And Prosper,2016,ASAP FERG
Uzi Gang,../lyrics/asapferg/uzigang.html,Always Strive And Prosper,2016,ASAP FERG
