song,link,album,year,artist
Roth Boyz,../lyrics/asherroth/rothboyz.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
Cannon,../lyrics/asherroth/cannon.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
Black Mags,../lyrics/asherroth/blackmags.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
The Lounge,../lyrics/asherroth/thelounge.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
Just Listen,../lyrics/asherroth/justlisten.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
Morning Do,../lyrics/asherroth/morningdo.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
Demonic,../lyrics/asherroth/demonic.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
Keep Bouncing,../lyrics/asherroth/keepbouncing.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
Morris Roth,../lyrics/asherroth/morrisroth.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
Cartoon Chick,../lyrics/asherroth/cartoonchick.html,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
,,The Greenhouse Effect (A.K.A. The Greatest Mixtape Ever!),2008,ASHER ROTH
Lark On My Go Kart,../lyrics/asherroth/larkonmygokart.html,Asleep In The Bread Aisle,2009,ASHER ROTH
Blunt Cruisin',../lyrics/asherroth/bluntcruisin.html,Asleep In The Bread Aisle,2009,ASHER ROTH
I Love College,../lyrics/asherroth/ilovecollege.html,Asleep In The Bread Aisle,2009,ASHER ROTH
La Di Da,../lyrics/asherroth/ladida.html,Asleep In The Bread Aisle,2009,ASHER ROTH
Be By Myself,../lyrics/asherroth/bebymyself.html,Asleep In The Bread Aisle,2009,ASHER ROTH
She Don't Wanna Man,../lyrics/asherroth/shedontwannaman.html,Asleep In The Bread Aisle,2009,ASHER ROTH
Sour Patch Kids,../lyrics/asherroth/sourpatchkids.html,Asleep In The Bread Aisle,2009,ASHER ROTH
As I Em,../lyrics/asherroth/asiem.html,Asleep In The Bread Aisle,2009,ASHER ROTH
Lion's Roar,../lyrics/asherroth/lionsroar.html,Asleep In The Bread Aisle,2009,ASHER ROTH
Bad Day,../lyrics/asherroth/badday.html,Asleep In The Bread Aisle,2009,ASHER ROTH
His Dream,../lyrics/asherroth/hisdream.html,Asleep In The Bread Aisle,2009,ASHER ROTH
Fallin',../lyrics/asherroth/fallin.html,Asleep In The Bread Aisle,2009,ASHER ROTH
Perfectionist,../lyrics/asherroth/perfectionist.html,Asleep In The Bread Aisle,2009,ASHER ROTH
The Lounge,../lyrics/asherroth/thelounge.html,Asleep In The Bread Aisle,2009,ASHER ROTH
Y.O.U.,../lyrics/asherroth/you.html,Asleep In The Bread Aisle,2009,ASHER ROTH
,,Asleep In The Bread Aisle,2009,ASHER ROTH
Gotta Get Up,../lyrics/asherroth/gottagetup.html,,,ASHER ROTH
Enforce The Law,../lyrics/asherroth/enforcethelaw.html,,,ASHER ROTH
Break Bread,../lyrics/asherroth/breakbread.html,,,ASHER ROTH
In My Mind,../lyrics/asherroth/inmymind.html,,,ASHER ROTH
Nothing You Can't Do,../lyrics/asherroth/nothingyoucantdo.html,,,ASHER ROTH
,,,,ASHER ROTH
Pabst And Jazz,../lyrics/asherroth/pabstandjazz.html,Pabst & Jazz: Blended Babies & Friends,2011,ASHER ROTH
Choices,../lyrics/asherroth/choices.html,Pabst & Jazz: Blended Babies & Friends,2011,ASHER ROTH
In The Kitchen,../lyrics/asherroth/inthekitchen.html,Pabst & Jazz: Blended Babies & Friends,2011,ASHER ROTH
More Cowbell,../lyrics/asherroth/morecowbell.html,Pabst & Jazz: Blended Babies & Friends,2011,ASHER ROTH
Bastermating,../lyrics/asherroth/bastermating.html,Pabst & Jazz: Blended Babies & Friends,2011,ASHER ROTH
Common Knowledge,../lyrics/asherroth/commonknowledge.html,Pabst & Jazz: Blended Babies & Friends,2011,ASHER ROTH
Golden Midas,../lyrics/asherroth/goldenmidas.html,Pabst & Jazz: Blended Babies & Friends,2011,ASHER ROTH
Insurance,../lyrics/asherroth/insurance.html,Pabst & Jazz: Blended Babies & Friends,2011,ASHER ROTH
Hard Times,../lyrics/asherroth/hardtimes.html,Pabst & Jazz: Blended Babies & Friends,2011,ASHER ROTH
