song,link,album,year,artist
Star Slight,../lyrics/atthedrivein/starslight.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Schaffino,../lyrics/atthedrivein/schaffino.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Embroglio,../lyrics/atthedrivein/embroglio.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Initiation,../lyrics/atthedrivein/initiation.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Communication Drive-In,../lyrics/atthedrivein/communicationdrivein.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Skips On The Record,../lyrics/atthedrivein/skipsontherecord.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Paid Vacation Time,../lyrics/atthedrivein/paidvacationtime.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Ticklish,../lyrics/atthedrivein/ticklish.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Blue Tag,../lyrics/atthedrivein/bluetag.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Coating Of Arms,../lyrics/atthedrivein/coatingofarms.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
Porfirio Diaz,../lyrics/atthedrivein/porfiriodiaz.html,Acrobatic Tenement,1996,AT THE DRIVE-IN
,,Acrobatic Tenement,1996,AT THE DRIVE-IN
Give It A Name,../lyrics/atthedrivein/giveitaname.html,El Gran Orgo,1997,AT THE DRIVE-IN
Honest To A Fault,../lyrics/atthedrivein/honesttoafault.html,El Gran Orgo,1997,AT THE DRIVE-IN
Winter Month Novelty,../lyrics/atthedrivein/wintermonthnovelty.html,El Gran Orgo,1997,AT THE DRIVE-IN
Fahrenheit,../lyrics/atthedrivein/fahrenheit.html,El Gran Orgo,1997,AT THE DRIVE-IN
Picket Fence Cartel,../lyrics/atthedrivein/picketfencecartel.html,El Gran Orgo,1997,AT THE DRIVE-IN
Speehless,../lyrics/atthedrivein/speehless.html,El Gran Orgo,1997,AT THE DRIVE-IN
,,El Gran Orgo,1997,AT THE DRIVE-IN
Alpha Centauri,../lyrics/atthedrivein/alphacentauri.html,In/Casino/Out,1998,AT THE DRIVE-IN
Chanbara,../lyrics/atthedrivein/chanbara.html,In/Casino/Out,1998,AT THE DRIVE-IN
Hulahoop Wounds,../lyrics/atthedrivein/hulahoopwounds.html,In/Casino/Out,1998,AT THE DRIVE-IN
Napolean Solo,../lyrics/atthedrivein/napoleansolo.html,In/Casino/Out,1998,AT THE DRIVE-IN
Pick Pocket,../lyrics/atthedrivein/pickpocket.html,In/Casino/Out,1998,AT THE DRIVE-IN
For Now...We Toast,../lyrics/atthedrivein/fornowwetoast.html,In/Casino/Out,1998,AT THE DRIVE-IN
A Devil Among The Tailors,../lyrics/atthedrivein/adevilamongthetailors.html,In/Casino/Out,1998,AT THE DRIVE-IN
Shaking Hand Incision,../lyrics/atthedrivein/shakinghandincision.html,In/Casino/Out,1998,AT THE DRIVE-IN
Lopsided,../lyrics/atthedrivein/lopsided.html,In/Casino/Out,1998,AT THE DRIVE-IN
Hourglass,../lyrics/atthedrivein/hourglass.html,In/Casino/Out,1998,AT THE DRIVE-IN
Transatlantic Foe,../lyrics/atthedrivein/transatlanticfoe.html,In/Casino/Out,1998,AT THE DRIVE-IN
,,In/Casino/Out,1998,AT THE DRIVE-IN
Rascuache,../lyrics/atthedrivein/rascuache.html,Vaya,1999,AT THE DRIVE-IN
Proxima Centauri,../lyrics/atthedrivein/proximacentauri.html,Vaya,1999,AT THE DRIVE-IN
Ursa Minor,../lyrics/atthedrivein/ursaminor.html,Vaya,1999,AT THE DRIVE-IN
Heliotrope,../lyrics/atthedrivein/heliotrope.html,Vaya,1999,AT THE DRIVE-IN
Metronome Arthritis,../lyrics/atthedrivein/metronomearthritis.html,Vaya,1999,AT THE DRIVE-IN
300 Mhz,../lyrics/atthedrivein/300mhz.html,Vaya,1999,AT THE DRIVE-IN
198d,../lyrics/atthedrivein/198d.html,Vaya,1999,AT THE DRIVE-IN
,,Vaya,1999,AT THE DRIVE-IN
Arc Arsenal,../lyrics/atthedrivein/arcarsenal.html,Relationship Of Command,2000,AT THE DRIVE-IN
Pattern Against User,../lyrics/atthedrivein/patternagainstuser.html,Relationship Of Command,2000,AT THE DRIVE-IN
One Armed Scissor,../lyrics/atthedrivein/onearmedscissor.html,Relationship Of Command,2000,AT THE DRIVE-IN
Sleepwalk Capsules,../lyrics/atthedrivein/sleepwalkcapsules.html,Relationship Of Command,2000,AT THE DRIVE-IN
Invalid Litter Dept.,../lyrics/atthedrivein/invalidlitterdept.html,Relationship Of Command,2000,AT THE DRIVE-IN
Mannequin Republic,../lyrics/atthedrivein/mannequinrepublic.html,Relationship Of Command,2000,AT THE DRIVE-IN
Enfilade,../lyrics/atthedrivein/enfilade.html,Relationship Of Command,2000,AT THE DRIVE-IN
Rolodex Propaganda,../lyrics/atthedrivein/rolodexpropaganda.html,Relationship Of Command,2000,AT THE DRIVE-IN
Quarantined,../lyrics/atthedrivein/quarantined.html,Relationship Of Command,2000,AT THE DRIVE-IN
Cosmonaut,../lyrics/atthedrivein/cosmonaut.html,Relationship Of Command,2000,AT THE DRIVE-IN
Non-Zero Possibility,../lyrics/atthedrivein/nonzeropossibility.html,Relationship Of Command,2000,AT THE DRIVE-IN
Extracurricular,../lyrics/atthedrivein/extracurricular.html,Relationship Of Command,2000,AT THE DRIVE-IN
Catacombs,../lyrics/atthedrivein/catacombs.html,Relationship Of Command,2000,AT THE DRIVE-IN
,,Relationship Of Command,2000,AT THE DRIVE-IN
Governed By Contagions,../lyrics/atthedrivein/governedbycontagions.html,inâ¢ter aâ¢liâ¢a,2017,AT THE DRIVE-IN
Incurably Innocent,../lyrics/atthedrivein/incurablyinnocent.html,inâ¢ter aâ¢liâ¢a,2017,AT THE DRIVE-IN
