song,link,album,year,artist
All I Need Is Me,../lyrics/athenacage/allineedisme.html,The Art Of A Woman,2001,ATHENA CAGE
Hey Hey,../lyrics/athenacage/heyhey.html,The Art Of A Woman,2001,ATHENA CAGE
Until You Come Back,../lyrics/athenacage/untilyoucomeback.html,The Art Of A Woman,2001,ATHENA CAGE
Let Me Know,../lyrics/athenacage/letmeknow.html,The Art Of A Woman,2001,ATHENA CAGE
In The Mood,../lyrics/athenacage/inthemood.html,The Art Of A Woman,2001,ATHENA CAGE
Respect,../lyrics/athenacage/respect.html,The Art Of A Woman,2001,ATHENA CAGE
Take It Out On Me,../lyrics/athenacage/takeitoutonme.html,The Art Of A Woman,2001,ATHENA CAGE
You,../lyrics/athenacage/you.html,The Art Of A Woman,2001,ATHENA CAGE
All Or Nothing,../lyrics/athenacage/allornothing.html,The Art Of A Woman,2001,ATHENA CAGE
Nobody,../lyrics/athenacage/nobody.html,,,ATHENA CAGE
