song,link,album,year,artist
Cochise,../lyrics/audioslave/cochise.html,Audioslave,2002,AUDIOSLAVE
Show Me How To Live,../lyrics/audioslave/showmehowtolive.html,Audioslave,2002,AUDIOSLAVE
Gasoline,../lyrics/audioslave/gasoline.html,Audioslave,2002,AUDIOSLAVE
What You Are,../lyrics/audioslave/whatyouare.html,Audioslave,2002,AUDIOSLAVE
Like A Stone,../lyrics/audioslave/likeastone.html,Audioslave,2002,AUDIOSLAVE
Set It Off,../lyrics/audioslave/setitoff.html,Audioslave,2002,AUDIOSLAVE
Shadow Of The Sun,../lyrics/audioslave/shadowofthesun.html,Audioslave,2002,AUDIOSLAVE
I Am The Highway,../lyrics/audioslave/iamthehighway.html,Audioslave,2002,AUDIOSLAVE
Exploder,../lyrics/audioslave/exploder.html,Audioslave,2002,AUDIOSLAVE
Hypnotize,../lyrics/audioslave/hypnotize.html,Audioslave,2002,AUDIOSLAVE
Bring 'Em Back Alive,../lyrics/audioslave/bringembackalive.html,Audioslave,2002,AUDIOSLAVE
Light My Way,../lyrics/audioslave/lightmyway.html,Audioslave,2002,AUDIOSLAVE
Getaway Car,../lyrics/audioslave/getawaycar.html,Audioslave,2002,AUDIOSLAVE
The Last Remaining Light,../lyrics/audioslave/thelastremaininglight.html,Audioslave,2002,AUDIOSLAVE
,,Audioslave,2002,AUDIOSLAVE
Your Time Has Come,../lyrics/audioslave/yourtimehascome.html,Out Of Exile,2005,AUDIOSLAVE
Out Of Exile,../lyrics/audioslave/outofexile.html,Out Of Exile,2005,AUDIOSLAVE
Be Yourself,../lyrics/audioslave/beyourself.html,Out Of Exile,2005,AUDIOSLAVE
Doesn't Remind Me,../lyrics/audioslave/doesntremindme.html,Out Of Exile,2005,AUDIOSLAVE
Drown Me Slowly,../lyrics/audioslave/drownmeslowly.html,Out Of Exile,2005,AUDIOSLAVE
Heaven's Dead,../lyrics/audioslave/heavensdead.html,Out Of Exile,2005,AUDIOSLAVE
The Worm,../lyrics/audioslave/theworm.html,Out Of Exile,2005,AUDIOSLAVE
Man Or Animal,../lyrics/audioslave/manoranimal.html,Out Of Exile,2005,AUDIOSLAVE
Yesterday To Tomorrow,../lyrics/audioslave/yesterdaytotomorrow.html,Out Of Exile,2005,AUDIOSLAVE
Dandelion,../lyrics/audioslave/dandelion.html,Out Of Exile,2005,AUDIOSLAVE
#1 Zero,../lyrics/audioslave/1zero.html,Out Of Exile,2005,AUDIOSLAVE
The Curse,../lyrics/audioslave/thecurse.html,Out Of Exile,2005,AUDIOSLAVE
,,Out Of Exile,2005,AUDIOSLAVE
Revelations,../lyrics/audioslave/revelations.html,Revelations,2006,AUDIOSLAVE
One And The Same,../lyrics/audioslave/oneandthesame.html,Revelations,2006,AUDIOSLAVE
Sound Of A Gun,../lyrics/audioslave/soundofagun.html,Revelations,2006,AUDIOSLAVE
Until We Fall,../lyrics/audioslave/untilwefall.html,Revelations,2006,AUDIOSLAVE
Original Fire,../lyrics/audioslave/originalfire.html,Revelations,2006,AUDIOSLAVE
Broken City,../lyrics/audioslave/brokencity.html,Revelations,2006,AUDIOSLAVE
Somedays,../lyrics/audioslave/somedays.html,Revelations,2006,AUDIOSLAVE
Shape Of Things To Come,../lyrics/audioslave/shapeofthingstocome.html,Revelations,2006,AUDIOSLAVE
Jewel Of The Summertime,../lyrics/audioslave/jewelofthesummertime.html,Revelations,2006,AUDIOSLAVE
Wide Awake,../lyrics/audioslave/wideawake.html,Revelations,2006,AUDIOSLAVE
Nothing Left To Say But Goodbye,../lyrics/audioslave/nothinglefttosaybutgoodbye.html,Revelations,2006,AUDIOSLAVE
Moth,../lyrics/audioslave/moth.html,Revelations,2006,AUDIOSLAVE
