song,link,album,year,artist
Runaway,../lyrics/aurora/runaway.html,Running With The Wolves,2015,AURORA
Running With The Wolves,../lyrics/aurora/runningwiththewolves.html,Running With The Wolves,2015,AURORA
In Boxes,../lyrics/aurora/inboxes.html,Running With The Wolves,2015,AURORA
Little Boy In The Grass,../lyrics/aurora/littleboyinthegrass.html,Running With The Wolves,2015,AURORA
,,Running With The Wolves,2015,AURORA
Runaway,../lyrics/aurora/runaway.html,All My Demons Greeting Me As A Friend,2016,AURORA
Conqueror,../lyrics/aurora/conqueror.html,All My Demons Greeting Me As A Friend,2016,AURORA
Running With The Wolves,../lyrics/aurora/runningwiththewolves.html,All My Demons Greeting Me As A Friend,2016,AURORA
Lucky,../lyrics/aurora/lucky.html,All My Demons Greeting Me As A Friend,2016,AURORA
Winter Bird,../lyrics/aurora/winterbird.html,All My Demons Greeting Me As A Friend,2016,AURORA
I Went Too Far,../lyrics/aurora/iwenttoofar.html,All My Demons Greeting Me As A Friend,2016,AURORA
Through The Eyes Of A Child,../lyrics/aurora/throughtheeyesofachild.html,All My Demons Greeting Me As A Friend,2016,AURORA
Warrior,../lyrics/aurora/warrior.html,All My Demons Greeting Me As A Friend,2016,AURORA
"Murder Song (5, 4, 3, 2, 1)",../lyrics/aurora/murdersong54321.html,All My Demons Greeting Me As A Friend,2016,AURORA
Home,../lyrics/aurora/home.html,All My Demons Greeting Me As A Friend,2016,AURORA
Under The Water,../lyrics/aurora/underthewater.html,All My Demons Greeting Me As A Friend,2016,AURORA
Black Water Lilies,../lyrics/aurora/blackwaterlilies.html,All My Demons Greeting Me As A Friend,2016,AURORA
Half The World Away,../lyrics/aurora/halftheworldaway.html,All My Demons Greeting Me As A Friend,2016,AURORA
Nature Boy,../lyrics/aurora/natureboy.html,All My Demons Greeting Me As A Friend,2016,AURORA
Wisdom Cries,../lyrics/aurora/wisdomcries.html,All My Demons Greeting Me As A Friend,2016,AURORA
All My Demons,../lyrics/aurora/allmydemons.html,,,AURORA
Animal Soul,../lyrics/aurora/animalsoul.html,,,AURORA
Awakening,../lyrics/aurora/awakening.html,,,AURORA
Blue Valentine,../lyrics/aurora/bluevalentine.html,,,AURORA
I Had A Dream,../lyrics/aurora/ihadadream.html,,,AURORA
My Heart Is A Storm,../lyrics/aurora/myheartisastorm.html,,,AURORA
Puppet,../lyrics/aurora/puppet.html,,,AURORA
Runaway (Demo),../lyrics/aurora/runawaydemo.html,,,AURORA
Silhouettes,../lyrics/aurora/silhouettes.html,,,AURORA
Under Stars,../lyrics/aurora/understars.html,,,AURORA
We Were Going To Do That,../lyrics/aurora/weweregoingtodothat.html,,,AURORA
When I'm Gone (Getting Colder),../lyrics/aurora/whenimgonegettingcolder.html,,,AURORA
