song,link,album,year,artist
Prologue: Across The Sky,../lyrics/emilieautumn/prologueacrossthesky.html,Enchant,2003,"AUTUMN, EMILIE"
How Strange,../lyrics/emilieautumn/howstrange.html,Enchant,2003,"AUTUMN, EMILIE"
Chambermaid,../lyrics/emilieautumn/chambermaid.html,Enchant,2003,"AUTUMN, EMILIE"
Rapunzel,../lyrics/emilieautumn/rapunzel.html,Enchant,2003,"AUTUMN, EMILIE"
Ever,../lyrics/emilieautumn/ever.html,Enchant,2003,"AUTUMN, EMILIE"
Second Hand Faith,../lyrics/emilieautumn/secondhandfaith.html,Enchant,2003,"AUTUMN, EMILIE"
Juliet,../lyrics/emilieautumn/juliet.html,Enchant,2003,"AUTUMN, EMILIE"
Remember,../lyrics/emilieautumn/remember.html,Enchant,2003,"AUTUMN, EMILIE"
Rose Red,../lyrics/emilieautumn/rosered.html,Enchant,2003,"AUTUMN, EMILIE"
Castle Down,../lyrics/emilieautumn/castledown.html,Enchant,2003,"AUTUMN, EMILIE"
Heard It All,../lyrics/emilieautumn/hearditall.html,Enchant,2003,"AUTUMN, EMILIE"
If You Feel Better,../lyrics/emilieautumn/ifyoufeelbetter.html,Enchant,2003,"AUTUMN, EMILIE"
Save You,../lyrics/emilieautumn/saveyou.html,Enchant,2003,"AUTUMN, EMILIE"
Epilogue: What If,../lyrics/emilieautumn/epiloguewhatif.html,Enchant,2003,"AUTUMN, EMILIE"
,,Enchant,2003,"AUTUMN, EMILIE"
Opheliac,../lyrics/emilieautumn/opheliac.html,Opheliac,2006,"AUTUMN, EMILIE"
Swallow,../lyrics/emilieautumn/swallow.html,Opheliac,2006,"AUTUMN, EMILIE"
Liar,../lyrics/emilieautumn/liar.html,Opheliac,2006,"AUTUMN, EMILIE"
The Art Of Suicide,../lyrics/emilieautumn/theartofsuicide.html,Opheliac,2006,"AUTUMN, EMILIE"
I Want My Innocence Back,../lyrics/emilieautumn/iwantmyinnocenceback.html,Opheliac,2006,"AUTUMN, EMILIE"
Misery Loves Company,../lyrics/emilieautumn/miserylovescompany.html,Opheliac,2006,"AUTUMN, EMILIE"
God Help Me,../lyrics/emilieautumn/godhelpme.html,Opheliac,2006,"AUTUMN, EMILIE"
Shalott,../lyrics/emilieautumn/shalott.html,Opheliac,2006,"AUTUMN, EMILIE"
Gothic Lolita,../lyrics/emilieautumn/gothiclolita.html,Opheliac,2006,"AUTUMN, EMILIE"
Dead Is The New Alive,../lyrics/emilieautumn/deadisthenewalive.html,Opheliac,2006,"AUTUMN, EMILIE"
I Know Where You Sleep,../lyrics/emilieautumn/iknowwhereyousleep.html,Opheliac,2006,"AUTUMN, EMILIE"
Let The Record Show,../lyrics/emilieautumn/lettherecordshow.html,Opheliac,2006,"AUTUMN, EMILIE"
306,../lyrics/emilieautumn/306.html,Opheliac,2006,"AUTUMN, EMILIE"
Thank God I'm Pretty,../lyrics/emilieautumn/thankgodimpretty.html,Opheliac,2006,"AUTUMN, EMILIE"
Marry Me,../lyrics/emilieautumn/marryme.html,Opheliac,2006,"AUTUMN, EMILIE"
Poem: How To Break A Heart,../lyrics/emilieautumn/poemhowtobreakaheart.html,Opheliac,2006,"AUTUMN, EMILIE"
Poem: Ghost,../lyrics/emilieautumn/poemghost.html,Opheliac,2006,"AUTUMN, EMILIE"
Poem: At What Point Does A Shakespeare Say,../lyrics/emilieautumn/poematwhatpointdoesashakespearesay.html,Opheliac,2006,"AUTUMN, EMILIE"
,,Opheliac,2006,"AUTUMN, EMILIE"
What If,../lyrics/emilieautumn/whatif.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
Hollow Like My Soul,../lyrics/emilieautumn/hollowlikemysoul.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
By The Sword,../lyrics/emilieautumn/bythesword.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
I Don't Care Much,../lyrics/emilieautumn/idontcaremuch.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
I Know It's Over (Live),../lyrics/emilieautumn/iknowitsoverlive.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
Find Me A Man,../lyrics/emilieautumn/findmeaman.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
O Mistress Mine,../lyrics/emilieautumn/omistressmine.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
The Star Spangled Banner,../lyrics/emilieautumn/thestarspangledbanner.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
All My Loving,../lyrics/emilieautumn/allmyloving.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
With Every Passing Day,../lyrics/emilieautumn/witheverypassingday.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
Miss Lucy Had Some Leeches,../lyrics/emilieautumn/misslucyhadsomeleeches.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
Photographic Memory,../lyrics/emilieautumn/photographicmemory.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
Crazy He Calls Me,../lyrics/emilieautumn/crazyhecallsme.html,A Bit O' This & That,2007,"AUTUMN, EMILIE"
,,A Bit O' This & That,2007,"AUTUMN, EMILIE"
Girls Just Wanna Have Fun,../lyrics/emilieautumn/girlsjustwannahavefun.html,Girls Just Wanna Have Fun & Bohemian Rhapsody,2008,"AUTUMN, EMILIE"
Bohemian Rhapsody,../lyrics/emilieautumn/bohemianrhapsody.html,Girls Just Wanna Have Fun & Bohemian Rhapsody,2008,"AUTUMN, EMILIE"
Asleep,../lyrics/emilieautumn/asleep.html,Girls Just Wanna Have Fun & Bohemian Rhapsody,2008,"AUTUMN, EMILIE"
Mad Girl,../lyrics/emilieautumn/madgirl.html,Girls Just Wanna Have Fun & Bohemian Rhapsody,2008,"AUTUMN, EMILIE"
Gentlemen Aren't Nice,../lyrics/emilieautumn/gentlemenarentnice.html,Girls Just Wanna Have Fun & Bohemian Rhapsody,2008,"AUTUMN, EMILIE"
,,Girls Just Wanna Have Fun & Bohemian Rhapsody,2008,"AUTUMN, EMILIE"
Fight Like A Girl,../lyrics/emilieautumn/fightlikeagirl.html,Fight Like A Girl,2012,"AUTUMN, EMILIE"
Time For Tea,../lyrics/emilieautumn/timefortea.html,Fight Like A Girl,2012,"AUTUMN, EMILIE"
4 o'Clock,../lyrics/emilieautumn/4oclock.html,Fight Like A Girl,2012,"AUTUMN, EMILIE"
What Will I Remember?,../lyrics/emilieautumn/whatwilliremember.html,Fight Like A Girl,2012,"AUTUMN, EMILIE"
Take The Pill,../lyrics/emilieautumn/takethepill.html,Fight Like A Girl,2012,"AUTUMN, EMILIE"
Girls! Girls! Girls!,../lyrics/emilieautumn/girlsgirlsgirls.html,Fight Like A Girl,2012,"AUTUMN, EMILIE"
I Don't Understand,../lyrics/emilieautumn/idontunderstand.html,Fight Like A Girl,2012,"AUTUMN, EMILIE"
