song,link,album,year,artist
Fade Out Lines,../lyrics/avener/fadeoutlines.html,The Wanderings Of The Avener,2015,"AVENER, THE"
Celestial Blues (The Avener Rework),../lyrics/avener/celestialbluestheavenerrework.html,The Wanderings Of The Avener,2015,"AVENER, THE"
Castle In The Snow,../lyrics/avener/castleinthesnow.html,The Wanderings Of The Avener,2015,"AVENER, THE"
To Let Myself Go,../lyrics/avener/toletmyselfgo.html,The Wanderings Of The Avener,2015,"AVENER, THE"
Lonely Boy,../lyrics/avener/lonelyboy.html,The Wanderings Of The Avener,2015,"AVENER, THE"
It Serves You Right To Suffer (The Avener Rework),../lyrics/avener/itservesyourighttosuffertheavenerrework.html,The Wanderings Of The Avener,2015,"AVENER, THE"
Hate Street Dialogue,../lyrics/avener/hatestreetdialogue.html,The Wanderings Of The Avener,2015,"AVENER, THE"
Your Love Rocks,../lyrics/avener/yourloverocks.html,The Wanderings Of The Avener,2015,"AVENER, THE"
Waitin' Round To Die,../lyrics/avener/waitinroundtodie.html,The Wanderings Of The Avener,2015,"AVENER, THE"
We Go Home,../lyrics/avener/wegohome.html,The Wanderings Of The Avener,2015,"AVENER, THE"
Waiting Here,../lyrics/avener/waitinghere.html,The Wanderings Of The Avener,2015,"AVENER, THE"
Fade Into You (The Avener Rework),../lyrics/avener/fadeintoyoutheavenerrework.html,The Wanderings Of The Avener,2015,"AVENER, THE"
I Need A Good One,../lyrics/avener/ineedagoodone.html,,,"AVENER, THE"
You Belong,../lyrics/avener/youbelong.html,,,"AVENER, THE"
