song,link,album,year,artist
Hello,../lyrics/iggyazalea/hello.html,Ignorant Art,2011,"AZALEA, IGGY"
My World,../lyrics/iggyazalea/myworld.html,Ignorant Art,2011,"AZALEA, IGGY"
Pu$$y,../lyrics/iggyazalea/puy.html,Ignorant Art,2011,"AZALEA, IGGY"
You,../lyrics/iggyazalea/you.html,Ignorant Art,2011,"AZALEA, IGGY"
Backseat,../lyrics/iggyazalea/backseat.html,Ignorant Art,2011,"AZALEA, IGGY"
Treasure Island,../lyrics/iggyazalea/treasureisland.html,Ignorant Art,2011,"AZALEA, IGGY"
Drop That Shit,../lyrics/iggyazalea/dropthatshit.html,Ignorant Art,2011,"AZALEA, IGGY"
The Last Song,../lyrics/iggyazalea/thelastsong.html,Ignorant Art,2011,"AZALEA, IGGY"
,,Ignorant Art,2011,"AZALEA, IGGY"
Million Dollar Misfits,../lyrics/iggyazalea/milliondollarmisfits.html,Glory,2012,"AZALEA, IGGY"
Murda Bizness,../lyrics/iggyazalea/murdabizness.html,Glory,2012,"AZALEA, IGGY"
Runway,../lyrics/iggyazalea/runway.html,Glory,2012,"AZALEA, IGGY"
"Me, Myself, My Money",../lyrics/iggyazalea/memyselfmymoney.html,Glory,2012,"AZALEA, IGGY"
Flash,../lyrics/iggyazalea/flash.html,Glory,2012,"AZALEA, IGGY"
Glory,../lyrics/iggyazalea/glory.html,Glory,2012,"AZALEA, IGGY"
,,Glory,2012,"AZALEA, IGGY"
Yo El Ray,../lyrics/iggyazalea/yoelray.html,Trap Gold,2012,"AZALEA, IGGY"
Down South,../lyrics/iggyazalea/downsouth.html,Trap Gold,2012,"AZALEA, IGGY"
Demons,../lyrics/iggyazalea/demons.html,Trap Gold,2012,"AZALEA, IGGY"
Slo,../lyrics/iggyazalea/slo.html,Trap Gold,2012,"AZALEA, IGGY"
Quicktime,../lyrics/iggyazalea/quicktime.html,Trap Gold,2012,"AZALEA, IGGY"
Flexin Finessin,../lyrics/iggyazalea/flexinfinessin.html,Trap Gold,2012,"AZALEA, IGGY"
1 800 Bone,../lyrics/iggyazalea/1800bone.html,Trap Gold,2012,"AZALEA, IGGY"
Bac 2 Tha Future (My Time),../lyrics/iggyazalea/bac2thafuturemytime.html,Trap Gold,2012,"AZALEA, IGGY"
Golddust,../lyrics/iggyazalea/golddust.html,Trap Gold,2012,"AZALEA, IGGY"
,,Trap Gold,2012,"AZALEA, IGGY"
Walk The Line,../lyrics/iggyazalea/walktheline.html,The New Classic,2014,"AZALEA, IGGY"
Don't Need Y'all,../lyrics/iggyazalea/dontneedyall.html,The New Classic,2014,"AZALEA, IGGY"
100,../lyrics/iggyazalea/100.html,The New Classic,2014,"AZALEA, IGGY"
