song,link,album,year,artist
1991,../lyrics/azealiabanks/1991.html,1991,2012,"BANKS, AZEALIA"
Van Vogue,../lyrics/azealiabanks/vanvogue.html,1991,2012,"BANKS, AZEALIA"
212,../lyrics/azealiabanks/212.html,1991,2012,"BANKS, AZEALIA"
Liquorice,../lyrics/azealiabanks/liquorice.html,1991,2012,"BANKS, AZEALIA"
,,1991,2012,"BANKS, AZEALIA"
Out Of Space,../lyrics/azealiabanks/outofspace.html,Fantasea,2012,"BANKS, AZEALIA"
Neptune,../lyrics/azealiabanks/neptune.html,Fantasea,2012,"BANKS, AZEALIA"
Atlantis,../lyrics/azealiabanks/atlantis.html,Fantasea,2012,"BANKS, AZEALIA"
Fantasea,../lyrics/azealiabanks/fantasea.html,Fantasea,2012,"BANKS, AZEALIA"
Fuck Up The Fun,../lyrics/azealiabanks/fuckupthefun.html,Fantasea,2012,"BANKS, AZEALIA"
Ima Read,../lyrics/azealiabanks/imaread.html,Fantasea,2012,"BANKS, AZEALIA"
Fierce,../lyrics/azealiabanks/fierce.html,Fantasea,2012,"BANKS, AZEALIA"
Chips,../lyrics/azealiabanks/chips.html,Fantasea,2012,"BANKS, AZEALIA"
Nathan,../lyrics/azealiabanks/nathan.html,Fantasea,2012,"BANKS, AZEALIA"
L8R,../lyrics/azealiabanks/l8r.html,Fantasea,2012,"BANKS, AZEALIA"
Aquababe,../lyrics/azealiabanks/aquababe.html,Fantasea,2012,"BANKS, AZEALIA"
Jumanji,../lyrics/azealiabanks/jumanji.html,Fantasea,2012,"BANKS, AZEALIA"
Runnin',../lyrics/azealiabanks/runnin.html,Fantasea,2012,"BANKS, AZEALIA"
US,../lyrics/azealiabanks/us.html,Fantasea,2012,"BANKS, AZEALIA"
Paradiso,../lyrics/azealiabanks/paradiso.html,Fantasea,2012,"BANKS, AZEALIA"
Luxury,../lyrics/azealiabanks/luxury.html,Fantasea,2012,"BANKS, AZEALIA"
Azealia Skit,../lyrics/azealiabanks/azealiaskit.html,Fantasea,2012,"BANKS, AZEALIA"
Esta Noche,../lyrics/azealiabanks/estanoche.html,Fantasea,2012,"BANKS, AZEALIA"
Salute,../lyrics/azealiabanks/salute.html,Fantasea,2012,"BANKS, AZEALIA"
,,Fantasea,2012,"BANKS, AZEALIA"
Idle Delilah,../lyrics/azealiabanks/idledelilah.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Gimme A Chance,../lyrics/azealiabanks/gimmeachance.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Desperado,../lyrics/azealiabanks/desperado.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
JFK,../lyrics/azealiabanks/jfk.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
212,../lyrics/azealiabanks/212.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Wallace,../lyrics/azealiabanks/wallace.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Heavy Metal & Reflective,../lyrics/azealiabanks/heavymetalreflective.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
BBD,../lyrics/azealiabanks/bbd.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Ice Princess,../lyrics/azealiabanks/iceprincess.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Yung Rapunxel,../lyrics/azealiabanks/yungrapunxel.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Soda,../lyrics/azealiabanks/soda.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Chasing Time,../lyrics/azealiabanks/chasingtime.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Luxury,../lyrics/azealiabanks/luxury.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Nude Beach A-Go-Go,../lyrics/azealiabanks/nudebeachagogo.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Miss Amor,../lyrics/azealiabanks/missamor.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Miss Camaraderie,../lyrics/azealiabanks/misscamaraderie.html,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
,,Broke With Expensive Taste,2014,"BANKS, AZEALIA"
Riot,../lyrics/azealiabanks/riot.html,Slay-Z,2016,"BANKS, AZEALIA"
Skylar Diggins,../lyrics/azealiabanks/skylardiggins.html,Slay-Z,2016,"BANKS, AZEALIA"
Big Talk,../lyrics/azealiabanks/bigtalk.html,Slay-Z,2016,"BANKS, AZEALIA"
Can't Do It Like Me,../lyrics/azealiabanks/cantdoitlikeme.html,Slay-Z,2016,"BANKS, AZEALIA"
The Big Big Beat,../lyrics/azealiabanks/thebigbigbeat.html,Slay-Z,2016,"BANKS, AZEALIA"
Used To Being Alone,../lyrics/azealiabanks/usedtobeingalone.html,Slay-Z,2016,"BANKS, AZEALIA"
Queen Of Clubs,../lyrics/azealiabanks/queenofclubs.html,Slay-Z,2016,"BANKS, AZEALIA"
Along The Coast,../lyrics/azealiabanks/alongthecoast.html,Slay-Z,2016,"BANKS, AZEALIA"
ATM Jam,../lyrics/azealiabanks/atmjam.html,,,"BANKS, AZEALIA"
Barbie Shit,../lyrics/azealiabanks/barbieshit.html,,,"BANKS, AZEALIA"
Barely Legal,../lyrics/azealiabanks/barelylegal.html,,,"BANKS, AZEALIA"
Blossom,../lyrics/azealiabanks/blossom.html,,,"BANKS, AZEALIA"
Count Contessa,../lyrics/azealiabanks/countcontessa.html,,,"BANKS, AZEALIA"
Crown,../lyrics/azealiabanks/crown.html,,,"BANKS, AZEALIA"
Grand Scam,../lyrics/azealiabanks/grandscam.html,,,"BANKS, AZEALIA"
Hood Bitch,../lyrics/azealiabanks/hoodbitch.html,,,"BANKS, AZEALIA"
NEEDSUMLUV,../lyrics/azealiabanks/needsumluv.html,,,"BANKS, AZEALIA"
No Problems,../lyrics/azealiabanks/noproblems.html,,,"BANKS, AZEALIA"
P-U-S-S-Y,../lyrics/azealiabanks/pussy.html,,,"BANKS, AZEALIA"
Succubi,../lyrics/azealiabanks/succubi.html,,,"BANKS, AZEALIA"
The Chill$,../lyrics/azealiabanks/thechill.html,,,"BANKS, AZEALIA"
Venus,../lyrics/azealiabanks/venus.html,,,"BANKS, AZEALIA"
