song,link,album,year,artist
Sticks And Stones,../lyrics/davebarnes/sticksandstones.html,"Three, Then Four",2002,"BARNES, DAVE"
Close Your Eyes,../lyrics/davebarnes/closeyoureyes.html,"Three, Then Four",2002,"BARNES, DAVE"
Graces Amazing Hands,../lyrics/davebarnes/gracesamazinghands.html,"Three, Then Four",2002,"BARNES, DAVE"
Love In The Remains,../lyrics/davebarnes/loveintheremains.html,"Three, Then Four",2002,"BARNES, DAVE"
Nothing Fancy,../lyrics/davebarnes/nothingfancy.html,"Three, Then Four",2002,"BARNES, DAVE"
,,"Three, Then Four",2002,"BARNES, DAVE"
Crazyboutya,../lyrics/davebarnes/crazyboutya.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
Until You,../lyrics/davebarnes/untilyou.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
Graces Amazing Hands,../lyrics/davebarnes/gracesamazinghands.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
Can't Grow Tired Of Your Love,../lyrics/davebarnes/cantgrowtiredofyourlove.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
The L.A. Song,../lyrics/davebarnes/thelasong.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
Prayers Of The Saints,../lyrics/davebarnes/prayersofthesaints.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
Your Love Will Never Change,../lyrics/davebarnes/yourlovewillneverchange.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
What Am I Gonna Do,../lyrics/davebarnes/whatamigonnado.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
Nothing Fancy,../lyrics/davebarnes/nothingfancy.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
The Inbetween,../lyrics/davebarnes/theinbetween.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
On A Night Like This,../lyrics/davebarnes/onanightlikethis.html,"Brother, Bring The Sun",2004,"BARNES, DAVE"
,,"Brother, Bring The Sun",2004,"BARNES, DAVE"
A Lot Like Me,../lyrics/davebarnes/alotlikeme.html,Chasing Mississippi,2006,"BARNES, DAVE"
Everybody But You,../lyrics/davebarnes/everybodybutyou.html,Chasing Mississippi,2006,"BARNES, DAVE"
Butterflies,../lyrics/davebarnes/butterflies.html,Chasing Mississippi,2006,"BARNES, DAVE"
"Someday, Sarah",../lyrics/davebarnes/somedaysarah.html,Chasing Mississippi,2006,"BARNES, DAVE"
Jackson,../lyrics/davebarnes/jackson.html,Chasing Mississippi,2006,"BARNES, DAVE"
Miles To Go,../lyrics/davebarnes/milestogo.html,Chasing Mississippi,2006,"BARNES, DAVE"
All That Noise,../lyrics/davebarnes/allthatnoise.html,Chasing Mississippi,2006,"BARNES, DAVE"
More Than A Man,../lyrics/davebarnes/morethanaman.html,Chasing Mississippi,2006,"BARNES, DAVE"
Greyhound,../lyrics/davebarnes/greyhound.html,Chasing Mississippi,2006,"BARNES, DAVE"
Stay Away,../lyrics/davebarnes/stayaway.html,Chasing Mississippi,2006,"BARNES, DAVE"
I Have And I Always Will,../lyrics/davebarnes/ihaveandialwayswill.html,Chasing Mississippi,2006,"BARNES, DAVE"
,,Chasing Mississippi,2006,"BARNES, DAVE"
Brothers & Sisters,../lyrics/davebarnes/brotherssisters.html,Me And You And The World,2008,"BARNES, DAVE"
Since You Said I Do,../lyrics/davebarnes/sinceyousaidido.html,Me And You And The World,2008,"BARNES, DAVE"
Until You,../lyrics/davebarnes/untilyou.html,Me And You And The World,2008,"BARNES, DAVE"
When A Heart Breaks,../lyrics/davebarnes/whenaheartbreaks.html,Me And You And The World,2008,"BARNES, DAVE"
Good World Gone Bad,../lyrics/davebarnes/goodworldgonebad.html,Me And You And The World,2008,"BARNES, DAVE"
On A Night Like This,../lyrics/davebarnes/onanightlikethis.html,Me And You And The World,2008,"BARNES, DAVE"
Carry Me Through,../lyrics/davebarnes/carrymethrough.html,Me And You And The World,2008,"BARNES, DAVE"
Believe,../lyrics/davebarnes/believe.html,Me And You And The World,2008,"BARNES, DAVE"
Someday,../lyrics/davebarnes/someday.html,Me And You And The World,2008,"BARNES, DAVE"
"10,000 Children",../lyrics/davebarnes/10000children.html,Me And You And The World,2008,"BARNES, DAVE"
Nothing Else,../lyrics/davebarnes/nothingelse.html,Me And You And The World,2008,"BARNES, DAVE"
Annie,../lyrics/davebarnes/annie.html,Me And You And The World,2008,"BARNES, DAVE"
Adeline,../lyrics/davebarnes/adeline.html,Me And You And The World,2008,"BARNES, DAVE"
,,Me And You And The World,2008,"BARNES, DAVE"
"Loving You, Loving Me",../lyrics/davebarnes/lovingyoulovingme.html,"You, The Night, And Candlelight",2009,"BARNES, DAVE"
I Have And Always Will,../lyrics/davebarnes/ihaveandalwayswill.html,"You, The Night, And Candlelight",2009,"BARNES, DAVE"
Until You,../lyrics/davebarnes/untilyou.html,"You, The Night, And Candlelight",2009,"BARNES, DAVE"
Home,../lyrics/davebarnes/home.html,"You, The Night, And Candlelight",2009,"BARNES, DAVE"
,,"You, The Night, And Candlelight",2009,"BARNES, DAVE"
Little Lies,../lyrics/davebarnes/littlelies.html,"What We Want, What We Get",2010,"BARNES, DAVE"
God Gave Me You,../lyrics/davebarnes/godgavemeyou.html,"What We Want, What We Get",2010,"BARNES, DAVE"
What I Need,../lyrics/davebarnes/whatineed.html,"What We Want, What We Get",2010,"BARNES, DAVE"
"What We Want, What We Get",../lyrics/davebarnes/whatwewantwhatweget.html,"What We Want, What We Get",2010,"BARNES, DAVE"
Chameleon,../lyrics/davebarnes/chameleon.html,"What We Want, What We Get",2010,"BARNES, DAVE"
Someone's Somebody,../lyrics/davebarnes/someonessomebody.html,"What We Want, What We Get",2010,"BARNES, DAVE"
Look So Easy,../lyrics/davebarnes/looksoeasy.html,"What We Want, What We Get",2010,"BARNES, DAVE"
You Do The Same For Me,../lyrics/davebarnes/youdothesameforme.html,"What We Want, What We Get",2010,"BARNES, DAVE"
"My Love, My Enemy",../lyrics/davebarnes/mylovemyenemy.html,"What We Want, What We Get",2010,"BARNES, DAVE"
Amen,../lyrics/davebarnes/amen.html,"What We Want, What We Get",2010,"BARNES, DAVE"
,,"What We Want, What We Get",2010,"BARNES, DAVE"
White Flag,../lyrics/davebarnes/whiteflag.html,Stories To Tell,2012,"BARNES, DAVE"
How Long,../lyrics/davebarnes/howlong.html,Stories To Tell,2012,"BARNES, DAVE"
Mine To Love,../lyrics/davebarnes/minetolove.html,Stories To Tell,2012,"BARNES, DAVE"
Heaven Help Me,../lyrics/davebarnes/heavenhelpme.html,Stories To Tell,2012,"BARNES, DAVE"
Love Will Be Enough For Us,../lyrics/davebarnes/lovewillbeenoughforus.html,Stories To Tell,2012,"BARNES, DAVE"
Seventeen,../lyrics/davebarnes/seventeen.html,Stories To Tell,2012,"BARNES, DAVE"
Missing You,../lyrics/davebarnes/missingyou.html,Stories To Tell,2012,"BARNES, DAVE"
Find Your Way Home,../lyrics/davebarnes/findyourwayhome.html,Stories To Tell,2012,"BARNES, DAVE"
Stories To Tell,../lyrics/davebarnes/storiestotell.html,Stories To Tell,2012,"BARNES, DAVE"
Warm Heart In A Cold World,../lyrics/davebarnes/warmheartinacoldworld.html,Stories To Tell,2012,"BARNES, DAVE"
One Of Us,../lyrics/davebarnes/oneofus.html,Stories To Tell,2012,"BARNES, DAVE"
,,Stories To Tell,2012,"BARNES, DAVE"
In Bethlehem,../lyrics/davebarnes/inbethlehem.html,A December To Remember,2013,"BARNES, DAVE"
Christmas Eve,../lyrics/davebarnes/christmaseve.html,A December To Remember,2013,"BARNES, DAVE"
When Love Was Born,../lyrics/davebarnes/whenlovewasborn.html,A December To Remember,2013,"BARNES, DAVE"
