song,link,album,year,artist
Terrapin,../lyrics/sydbarrett/terrapin.html,The Madcap Laughs,1970,"BARRETT, SYD"
No Good Trying,../lyrics/sydbarrett/nogoodtrying.html,The Madcap Laughs,1970,"BARRETT, SYD"
Love You,../lyrics/sydbarrett/loveyou.html,The Madcap Laughs,1970,"BARRETT, SYD"
No Man's Land,../lyrics/sydbarrett/nomansland.html,The Madcap Laughs,1970,"BARRETT, SYD"
Dark Globe,../lyrics/sydbarrett/darkglobe.html,The Madcap Laughs,1970,"BARRETT, SYD"
Here I Go,../lyrics/sydbarrett/hereigo.html,The Madcap Laughs,1970,"BARRETT, SYD"
Octopus,../lyrics/sydbarrett/octopus.html,The Madcap Laughs,1970,"BARRETT, SYD"
Golden Hair,../lyrics/sydbarrett/goldenhair.html,The Madcap Laughs,1970,"BARRETT, SYD"
Long Gone,../lyrics/sydbarrett/longgone.html,The Madcap Laughs,1970,"BARRETT, SYD"
She Took A Long Cold Look,../lyrics/sydbarrett/shetookalongcoldlook.html,The Madcap Laughs,1970,"BARRETT, SYD"
Feel,../lyrics/sydbarrett/feel.html,The Madcap Laughs,1970,"BARRETT, SYD"
If It's In You,../lyrics/sydbarrett/ifitsinyou.html,The Madcap Laughs,1970,"BARRETT, SYD"
Late Night,../lyrics/sydbarrett/latenight.html,The Madcap Laughs,1970,"BARRETT, SYD"
,,The Madcap Laughs,1970,"BARRETT, SYD"
Baby Lemonade,../lyrics/sydbarrett/babylemonade.html,Barrett,1970,"BARRETT, SYD"
Love Song,../lyrics/sydbarrett/lovesong.html,Barrett,1970,"BARRETT, SYD"
Dominoes,../lyrics/sydbarrett/dominoes.html,Barrett,1970,"BARRETT, SYD"
It Is Obvious,../lyrics/sydbarrett/itisobvious.html,Barrett,1970,"BARRETT, SYD"
Rats,../lyrics/sydbarrett/rats.html,Barrett,1970,"BARRETT, SYD"
Maisie,../lyrics/sydbarrett/maisie.html,Barrett,1970,"BARRETT, SYD"
Gigolo Aunt,../lyrics/sydbarrett/gigoloaunt.html,Barrett,1970,"BARRETT, SYD"
Waving My Arms In The Air,../lyrics/sydbarrett/wavingmyarmsintheair.html,Barrett,1970,"BARRETT, SYD"
I Never Lied To You,../lyrics/sydbarrett/ineverliedtoyou.html,Barrett,1970,"BARRETT, SYD"
Wined And Dined,../lyrics/sydbarrett/winedanddined.html,Barrett,1970,"BARRETT, SYD"
Wolfpack,../lyrics/sydbarrett/wolfpack.html,Barrett,1970,"BARRETT, SYD"
Effervescing Elephant,../lyrics/sydbarrett/effervescingelephant.html,Barrett,1970,"BARRETT, SYD"
,,Barrett,1970,"BARRETT, SYD"
Opel,../lyrics/sydbarrett/opel.html,Opel,1988,"BARRETT, SYD"
Clowns And Jugglers,../lyrics/sydbarrett/clownsandjugglers.html,Opel,1988,"BARRETT, SYD"
Rats,../lyrics/sydbarrett/rats.html,Opel,1988,"BARRETT, SYD"
Golden Hair,../lyrics/sydbarrett/goldenhair.html,Opel,1988,"BARRETT, SYD"
Dolly Rocker,../lyrics/sydbarrett/dollyrocker.html,Opel,1988,"BARRETT, SYD"
Word Song,../lyrics/sydbarrett/wordsong.html,Opel,1988,"BARRETT, SYD"
Wined And Dined,../lyrics/sydbarrett/winedanddined.html,Opel,1988,"BARRETT, SYD"
Swan Lee (Silas Lang),../lyrics/sydbarrett/swanleesilaslang.html,Opel,1988,"BARRETT, SYD"
Birdie Hop,../lyrics/sydbarrett/birdiehop.html,Opel,1988,"BARRETT, SYD"
Let's Split,../lyrics/sydbarrett/letssplit.html,Opel,1988,"BARRETT, SYD"
Wouldn't You Miss Me (Dark Globe),../lyrics/sydbarrett/wouldntyoumissmedarkglobe.html,Opel,1988,"BARRETT, SYD"
Milky Way,../lyrics/sydbarrett/milkyway.html,Opel,1988,"BARRETT, SYD"
Two Of A Kind,../lyrics/sydbarrett/twoofakind.html,,,"BARRETT, SYD"
