song,link,album,year,artist
I'm Not Paying Â£10 For Car Lube,../lyrics/basement/imnotpaying10forcarlube.html,Demo,2009,BASEMENT
Thon Kurnt,../lyrics/basement/thonkurnt.html,Demo,2009,BASEMENT
Day By Day,../lyrics/basement/daybyday.html,Demo,2009,BASEMENT
,,Demo,2009,BASEMENT
Skip Town,../lyrics/basement/skiptown.html,Songs About The Weather,2010,BASEMENT
1104 Porter St.,../lyrics/basement/1104porterst.html,Songs About The Weather,2010,BASEMENT
D.U.I.,../lyrics/basement/dui.html,Songs About The Weather,2010,BASEMENT
Meet Me In St. Louis,../lyrics/basement/meetmeinstlouis.html,Songs About The Weather,2010,BASEMENT
White Elephant,../lyrics/basement/whiteelephant.html,Songs About The Weather,2010,BASEMENT
,,Songs About The Weather,2010,BASEMENT
Fading,../lyrics/basement/fading.html,I Wish I Could Stay Here,2011,BASEMENT
Plan To Be Surprised,../lyrics/basement/plantobesurprised.html,I Wish I Could Stay Here,2011,BASEMENT
Canada Square,../lyrics/basement/canadasquare.html,I Wish I Could Stay Here,2011,BASEMENT
Crickets Throw Their Voice,../lyrics/basement/cricketsthrowtheirvoice.html,I Wish I Could Stay Here,2011,BASEMENT
Earl Grey,../lyrics/basement/earlgrey.html,I Wish I Could Stay Here,2011,BASEMENT
Every Single Word,../lyrics/basement/everysingleword.html,I Wish I Could Stay Here,2011,BASEMENT
Yoke,../lyrics/basement/yoke.html,I Wish I Could Stay Here,2011,BASEMENT
Grayscale,../lyrics/basement/grayscale.html,I Wish I Could Stay Here,2011,BASEMENT
March,../lyrics/basement/march.html,I Wish I Could Stay Here,2011,BASEMENT
,,I Wish I Could Stay Here,2011,BASEMENT
Whole,../lyrics/basement/whole.html,Colourmeinkindness,2012,BASEMENT
Covet,../lyrics/basement/covet.html,Colourmeinkindness,2012,BASEMENT
Spoiled,../lyrics/basement/spoiled.html,Colourmeinkindness,2012,BASEMENT
Pine,../lyrics/basement/pine.html,Colourmeinkindness,2012,BASEMENT
Bad Apple,../lyrics/basement/badapple.html,Colourmeinkindness,2012,BASEMENT
Breathe,../lyrics/basement/breathe.html,Colourmeinkindness,2012,BASEMENT
Control,../lyrics/basement/control.html,Colourmeinkindness,2012,BASEMENT
Black,../lyrics/basement/black.html,Colourmeinkindness,2012,BASEMENT
Comfort,../lyrics/basement/comfort.html,Colourmeinkindness,2012,BASEMENT
Wish,../lyrics/basement/wish.html,Colourmeinkindness,2012,BASEMENT
,,Colourmeinkindness,2012,BASEMENT
Summer's Colour,../lyrics/basement/summerscolour.html,Further Sky,2014,BASEMENT
Jet,../lyrics/basement/jet.html,Further Sky,2014,BASEMENT
Animal Nitrate,../lyrics/basement/animalnitrate.html,Further Sky,2014,BASEMENT
Untitled Track,../lyrics/basement/untitledtrack.html,Further Sky,2014,BASEMENT
,,Further Sky,2014,BASEMENT
Brother's Keeper,../lyrics/basement/brotherskeeper.html,Promise Everything,2016,BASEMENT
Hanging Around,../lyrics/basement/hangingaround.html,Promise Everything,2016,BASEMENT
Lose Your Grip,../lyrics/basement/loseyourgrip.html,Promise Everything,2016,BASEMENT
Aquasun,../lyrics/basement/aquasun.html,Promise Everything,2016,BASEMENT
Submission,../lyrics/basement/submission.html,Promise Everything,2016,BASEMENT
Oversized,../lyrics/basement/oversized.html,Promise Everything,2016,BASEMENT
Blinded Bye,../lyrics/basement/blindedbye.html,Promise Everything,2016,BASEMENT
For You The Moon,../lyrics/basement/foryouthemoon.html,Promise Everything,2016,BASEMENT
Promise Everything,../lyrics/basement/promiseeverything.html,Promise Everything,2016,BASEMENT
Halo,../lyrics/basement/halo.html,Promise Everything,2016,BASEMENT
Cloud (Demo),../lyrics/basement/clouddemo.html,,,BASEMENT
