song,link,album,year,artist
The Way You Look At Me,../lyrics/christianbautista/thewayyoulookatme.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
Colour Everywhere,../lyrics/christianbautista/coloureverywhere.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
Kailan Pa Ma'y Ikaw,../lyrics/christianbautista/kailanpamayikaw.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
Away From You,../lyrics/christianbautista/awayfromyou.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
Kelan Kaya,../lyrics/christianbautista/kelankaya.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
Hands To Heaven,../lyrics/christianbautista/handstoheaven.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
Ang Tangi Kong Kasama,../lyrics/christianbautista/angtangikongkasama.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
Miracle,../lyrics/christianbautista/miracle.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
The Way You Look At Me (Acoustic),../lyrics/christianbautista/thewayyoulookatmeacoustic.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
I Don't Want To See You Cry Again,../lyrics/christianbautista/idontwanttoseeyoucryagain.html,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
,,Christian Bautista,2004,"BAUTISTA, CHRISTIAN"
Everything You Do,../lyrics/christianbautista/everythingyoudo.html,Completely,2005,"BAUTISTA, CHRISTIAN"
I Can Love You Easy,../lyrics/christianbautista/icanloveyoueasy.html,Completely,2005,"BAUTISTA, CHRISTIAN"
My Heart Has A Mind Of Its Own,../lyrics/christianbautista/myhearthasamindofitsown.html,Completely,2005,"BAUTISTA, CHRISTIAN"
Invincible,../lyrics/christianbautista/invincible.html,Completely,2005,"BAUTISTA, CHRISTIAN"
She Could Be,../lyrics/christianbautista/shecouldbe.html,Completely,2005,"BAUTISTA, CHRISTIAN"
Now That You Are Here,../lyrics/christianbautista/nowthatyouarehere.html,Completely,2005,"BAUTISTA, CHRISTIAN"
After You,../lyrics/christianbautista/afteryou.html,Completely,2005,"BAUTISTA, CHRISTIAN"
Please Don't Go,../lyrics/christianbautista/pleasedontgo.html,Completely,2005,"BAUTISTA, CHRISTIAN"
Since I Found You,../lyrics/christianbautista/sinceifoundyou.html,Completely,2005,"BAUTISTA, CHRISTIAN"
Completely,../lyrics/christianbautista/completely.html,Completely,2005,"BAUTISTA, CHRISTIAN"
For Everything I Am,../lyrics/christianbautista/foreverythingiam.html,Completely,2005,"BAUTISTA, CHRISTIAN"
Nais Ko,../lyrics/christianbautista/naisko.html,Completely,2005,"BAUTISTA, CHRISTIAN"
,,Completely,2005,"BAUTISTA, CHRISTIAN"
Trying To Get The Feeling Again,../lyrics/christianbautista/tryingtogetthefeelingagain.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
More Than You'll Ever Know,../lyrics/christianbautista/morethanyoulleverknow.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Only Reminds Me Of You,../lyrics/christianbautista/onlyremindsmeofyou.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Beautiful In My Eyes,../lyrics/christianbautista/beautifulinmyeyes.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Make It With You,../lyrics/christianbautista/makeitwithyou.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Got To Believe In Magic,../lyrics/christianbautista/gottobelieveinmagic.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Fixing A Broken Heart,../lyrics/christianbautista/fixingabrokenheart.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
I Could Not Ask For More,../lyrics/christianbautista/icouldnotaskformore.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Of All The Things,../lyrics/christianbautista/ofallthethings.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Nothing Can Stop Us Now,../lyrics/christianbautista/nothingcanstopusnow.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Be My Number Two,../lyrics/christianbautista/bemynumbertwo.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Finding Out The Hard Way,../lyrics/christianbautista/findingoutthehardway.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Blue Eyes Blue,../lyrics/christianbautista/blueeyesblue.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Cry For Help,../lyrics/christianbautista/cryforhelp.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Heaven Help,../lyrics/christianbautista/heavenhelp.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
I Won't Hold You Back,../lyrics/christianbautista/iwontholdyouback.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
If Ever You're In My Arms Again,../lyrics/christianbautista/ifeveryoureinmyarmsagain.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
You,../lyrics/christianbautista/you.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
Just A Love Song,../lyrics/christianbautista/justalovesong.html,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
,,Just A Love Song...Live!,2007,"BAUTISTA, CHRISTIAN"
The One Who Won My Heart,../lyrics/christianbautista/theonewhowonmyheart.html,Captured,2008,"BAUTISTA, CHRISTIAN"
Creation,../lyrics/christianbautista/creation.html,Captured,2008,"BAUTISTA, CHRISTIAN"
Take A Ride,../lyrics/christianbautista/takearide.html,Captured,2008,"BAUTISTA, CHRISTIAN"
Limutin Na Lang,../lyrics/christianbautista/limutinnalang.html,Captured,2008,"BAUTISTA, CHRISTIAN"
Just This Time,../lyrics/christianbautista/justthistime.html,Captured,2008,"BAUTISTA, CHRISTIAN"
Nakalimutan Kong Sabihin,../lyrics/christianbautista/nakalimutankongsabihin.html,Captured,2008,"BAUTISTA, CHRISTIAN"
Could Have Been The One,../lyrics/christianbautista/couldhavebeentheone.html,Captured,2008,"BAUTISTA, CHRISTIAN"
Captured,../lyrics/christianbautista/captured.html,Captured,2008,"BAUTISTA, CHRISTIAN"
I Want To Be The One,../lyrics/christianbautista/iwanttobetheone.html,Captured,2008,"BAUTISTA, CHRISTIAN"
,,Captured,2008,"BAUTISTA, CHRISTIAN"
Tell Me Your Name,../lyrics/christianbautista/tellmeyourname.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
I Remember The Girl,../lyrics/christianbautista/irememberthegirl.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Afraid For Love To Fade,../lyrics/christianbautista/afraidforlovetofade.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
I Have Fallen In Love,../lyrics/christianbautista/ihavefalleninlove.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Please Be Careful With My Heart,../lyrics/christianbautista/pleasebecarefulwithmyheart.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
My Girl My Woman My Friend,../lyrics/christianbautista/mygirlmywomanmyfriend.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Beautiful Girl,../lyrics/christianbautista/beautifulgirl.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Can't We Start Over Again,../lyrics/christianbautista/cantwestartoveragain.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Be Gentle,../lyrics/christianbautista/begentle.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Stay My Love,../lyrics/christianbautista/staymylove.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Afterglow,../lyrics/christianbautista/afterglow.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
A Love To Last A Lifetime,../lyrics/christianbautista/alovetolastalifetime.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Here And Now,../lyrics/christianbautista/hereandnow.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Constant Change,../lyrics/christianbautista/constantchange.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Deep In My Heart,../lyrics/christianbautista/deepinmyheart.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Refrain,../lyrics/christianbautista/refrain.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
Can We Just Stop And Talk A While,../lyrics/christianbautista/canwejuststopandtalkawhile.html,Romance Revisited: The Love Songs Of Jose Mari Chan,2009,"BAUTISTA, CHRISTIAN"
