song,link,album,year,artist
Sometimes,../lyrics/beachfossils/sometimes.html,Beach Fossils,2010,BEACH FOSSILS
Youth,../lyrics/beachfossils/youth.html,Beach Fossils,2010,BEACH FOSSILS
Vacation,../lyrics/beachfossils/vacation.html,Beach Fossils,2010,BEACH FOSSILS
Lazy Day,../lyrics/beachfossils/lazyday.html,Beach Fossils,2010,BEACH FOSSILS
Twelve Roses,../lyrics/beachfossils/twelveroses.html,Beach Fossils,2010,BEACH FOSSILS
Daydream,../lyrics/beachfossils/daydream.html,Beach Fossils,2010,BEACH FOSSILS
Golden Age,../lyrics/beachfossils/goldenage.html,Beach Fossils,2010,BEACH FOSSILS
Window View,../lyrics/beachfossils/windowview.html,Beach Fossils,2010,BEACH FOSSILS
The Horse,../lyrics/beachfossils/thehorse.html,Beach Fossils,2010,BEACH FOSSILS
Wide Awake,../lyrics/beachfossils/wideawake.html,Beach Fossils,2010,BEACH FOSSILS
,,Beach Fossils,2010,BEACH FOSSILS
What A Pleasure,../lyrics/beachfossils/whatapleasure.html,What A Pleasure,2011,BEACH FOSSILS
Fall Right In,../lyrics/beachfossils/fallrightin.html,What A Pleasure,2011,BEACH FOSSILS
Out In The Way,../lyrics/beachfossils/outintheway.html,What A Pleasure,2011,BEACH FOSSILS
Face It,../lyrics/beachfossils/faceit.html,What A Pleasure,2011,BEACH FOSSILS
Distance,../lyrics/beachfossils/distance.html,What A Pleasure,2011,BEACH FOSSILS
Calyer,../lyrics/beachfossils/calyer.html,What A Pleasure,2011,BEACH FOSSILS
Adversity,../lyrics/beachfossils/adversity.html,What A Pleasure,2011,BEACH FOSSILS
,,What A Pleasure,2011,BEACH FOSSILS
Clash The Truth,../lyrics/beachfossils/clashthetruth.html,Clash The Truth,2013,BEACH FOSSILS
Generational Synthetic,../lyrics/beachfossils/generationalsynthetic.html,Clash The Truth,2013,BEACH FOSSILS
Sleep Apnea,../lyrics/beachfossils/sleepapnea.html,Clash The Truth,2013,BEACH FOSSILS
Careless,../lyrics/beachfossils/careless.html,Clash The Truth,2013,BEACH FOSSILS
Taking Off,../lyrics/beachfossils/takingoff.html,Clash The Truth,2013,BEACH FOSSILS
Shallow,../lyrics/beachfossils/shallow.html,Clash The Truth,2013,BEACH FOSSILS
Burn You Down,../lyrics/beachfossils/burnyoudown.html,Clash The Truth,2013,BEACH FOSSILS
Birthday,../lyrics/beachfossils/birthday.html,Clash The Truth,2013,BEACH FOSSILS
In Vertigo,../lyrics/beachfossils/invertigo.html,Clash The Truth,2013,BEACH FOSSILS
Caustic Cross,../lyrics/beachfossils/causticcross.html,Clash The Truth,2013,BEACH FOSSILS
Crashed Out,../lyrics/beachfossils/crashedout.html,Clash The Truth,2013,BEACH FOSSILS
Desert Sand,../lyrics/beachfossils/desertsand.html,,,BEACH FOSSILS
Lessons,../lyrics/beachfossils/lessons.html,,,BEACH FOSSILS
Plastic Flowers,../lyrics/beachfossils/plasticflowers.html,,,BEACH FOSSILS
Time,../lyrics/beachfossils/time.html,,,BEACH FOSSILS
Vertigo (Demo),../lyrics/beachfossils/vertigodemo.html,,,BEACH FOSSILS
