song,link,album,year,artist
The Fucked Up Blues,../lyrics/beck/thefuckedupblues.html,Golden Feelings,1993,BECK
Special People,../lyrics/beck/specialpeople.html,Golden Feelings,1993,BECK
Magic Stationwagon,../lyrics/beck/magicstationwagon.html,Golden Feelings,1993,BECK
No Money No Honey,../lyrics/beck/nomoneynohoney.html,Golden Feelings,1993,BECK
Trouble All My Days,../lyrics/beck/troubleallmydays.html,Golden Feelings,1993,BECK
Bad Energy,../lyrics/beck/badenergy.html,Golden Feelings,1993,BECK
Schmoozer,../lyrics/beck/schmoozer.html,Golden Feelings,1993,BECK
Heartland Feeling,../lyrics/beck/heartlandfeeling.html,Golden Feelings,1993,BECK
Super Golden Black Sunchild,../lyrics/beck/supergoldenblacksunchild.html,Golden Feelings,1993,BECK
Soul Sucked Dry,../lyrics/beck/soulsuckeddry.html,Golden Feelings,1993,BECK
Feelings,../lyrics/beck/feelings.html,Golden Feelings,1993,BECK
Gettin' Home,../lyrics/beck/gettinhome.html,Golden Feelings,1993,BECK
Will I Be Ignored By The Lord,../lyrics/beck/willibeignoredbythelord.html,Golden Feelings,1993,BECK
Bogus Soul,../lyrics/beck/bogussoul.html,Golden Feelings,1993,BECK
Totally Confused,../lyrics/beck/totallyconfused.html,Golden Feelings,1993,BECK
Mutherfukka,../lyrics/beck/mutherfukka.html,Golden Feelings,1993,BECK
People Gettin Busy,../lyrics/beck/peoplegettinbusy.html,Golden Feelings,1993,BECK
,,Golden Feelings,1993,BECK
Totally Confused,../lyrics/beck/totallyconfused.html,A Western Harvest Field By Moonlight,1994,BECK
Gettin' Home,../lyrics/beck/gettinhome.html,A Western Harvest Field By Moonlight,1994,BECK
Blackfire Choked Our Death,../lyrics/beck/blackfirechokedourdeath.html,A Western Harvest Field By Moonlight,1994,BECK
Feel Like A Piece Of Shit (Mind Control),../lyrics/beck/feellikeapieceofshitmindcontrol.html,A Western Harvest Field By Moonlight,1994,BECK
She Is All (Gimme Something To Eat),../lyrics/beck/sheisallgimmesomethingtoeat.html,A Western Harvest Field By Moonlight,1994,BECK
Lampshade,../lyrics/beck/lampshade.html,A Western Harvest Field By Moonlight,1994,BECK
Feel Like A Piece Of Shit (Crossover Potential),../lyrics/beck/feellikeapieceofshitcrossoverpotential.html,A Western Harvest Field By Moonlight,1994,BECK
Mango (Vader Rocks!),../lyrics/beck/mangovaderrocks.html,A Western Harvest Field By Moonlight,1994,BECK
Feel Like A Piece Of Shit (Cheetoes Time),../lyrics/beck/feellikeapieceofshitcheetoestime.html,A Western Harvest Field By Moonlight,1994,BECK
,,A Western Harvest Field By Moonlight,1994,BECK
Pink Noise (Rock Me Amadeus),../lyrics/beck/pinknoiserockmeamadeus.html,Stereopathetic Soulmanure,1994,BECK
Rowboat,../lyrics/beck/rowboat.html,Stereopathetic Soulmanure,1994,BECK
Thunder Peel,../lyrics/beck/thunderpeel.html,Stereopathetic Soulmanure,1994,BECK
Waitin' For A Train,../lyrics/beck/waitinforatrain.html,Stereopathetic Soulmanure,1994,BECK
The Spirit Moves Me,../lyrics/beck/thespiritmovesme.html,Stereopathetic Soulmanure,1994,BECK
Crystal Clear (Beer),../lyrics/beck/crystalclearbeer.html,Stereopathetic Soulmanure,1994,BECK
No Money No Honey,../lyrics/beck/nomoneynohoney.html,Stereopathetic Soulmanure,1994,BECK
'8.6.82',../lyrics/beck/8682.html,Stereopathetic Soulmanure,1994,BECK
Total Soul Future (Eat It),../lyrics/beck/totalsoulfutureeatit.html,Stereopathetic Soulmanure,1994,BECK
One Foot In The Grave,../lyrics/beck/onefootinthegrave.html,Stereopathetic Soulmanure,1994,BECK
Aphid Manure Heist,../lyrics/beck/aphidmanureheist.html,Stereopathetic Soulmanure,1994,BECK
Today Has Been A Fucked Up Day,../lyrics/beck/todayhasbeenafuckedupday.html,Stereopathetic Soulmanure,1994,BECK
"""Rollins Power Sauce""",../lyrics/beck/rollinspowersauce.html,Stereopathetic Soulmanure,1994,BECK
