song,link,album,year,artist
Show Me The Way,../lyrics/reginabelle/showmetheway.html,All By Myself,1987,"BELLE, REGINA"
After The Love Has Lost It's Shine,../lyrics/reginabelle/afterthelovehaslostitsshine.html,All By Myself,1987,"BELLE, REGINA"
So Many Tears,../lyrics/reginabelle/somanytears.html,All By Myself,1987,"BELLE, REGINA"
,,All By Myself,1987,"BELLE, REGINA"
Baby Come To Me,../lyrics/reginabelle/babycometome.html,Stay With Me,1989,"BELLE, REGINA"
Make It Like It Was,../lyrics/reginabelle/makeitlikeitwas.html,Stay With Me,1989,"BELLE, REGINA"
Good Lovin',../lyrics/reginabelle/goodlovin.html,Stay With Me,1989,"BELLE, REGINA"
It Doesn't Hurt Anymore,../lyrics/reginabelle/itdoesnthurtanymore.html,Stay With Me,1989,"BELLE, REGINA"
This Is Love,../lyrics/reginabelle/thisislove.html,Stay With Me,1989,"BELLE, REGINA"
All I Want Is Forever,../lyrics/reginabelle/alliwantisforever.html,Stay With Me,1989,"BELLE, REGINA"
,,Stay With Me,1989,"BELLE, REGINA"
If I Could,../lyrics/reginabelle/ificould.html,Passion,1993,"BELLE, REGINA"
Do You Wanna Get Serious,../lyrics/reginabelle/doyouwannagetserious.html,Passion,1993,"BELLE, REGINA"
Dream In Color,../lyrics/reginabelle/dreamincolor.html,Passion,1993,"BELLE, REGINA"
My Man,../lyrics/reginabelle/myman.html,Passion,1993,"BELLE, REGINA"
A Whole New World,../lyrics/reginabelle/awholenewworld.html,Passion,1993,"BELLE, REGINA"
Heaven Is Just A Whisper Away,../lyrics/reginabelle/heavenisjustawhisperaway.html,Passion,1993,"BELLE, REGINA"
,,Passion,1993,"BELLE, REGINA"
Love T.K.O.,../lyrics/reginabelle/lovetko.html,Reachin' Back,1995,"BELLE, REGINA"
You Are Everything,../lyrics/reginabelle/youareeverything.html,Reachin' Back,1995,"BELLE, REGINA"
Let Me Make Love To You,../lyrics/reginabelle/letmemakelovetoyou.html,Reachin' Back,1995,"BELLE, REGINA"
I'll Be Around,../lyrics/reginabelle/illbearound.html,Reachin' Back,1995,"BELLE, REGINA"
Just Don't Want To Be Lonely,../lyrics/reginabelle/justdontwanttobelonely.html,Reachin' Back,1995,"BELLE, REGINA"
,,Reachin' Back,1995,"BELLE, REGINA"
From Now On,../lyrics/reginabelle/fromnowon.html,This Is Regina!,2001,"BELLE, REGINA"
,,This Is Regina!,2001,"BELLE, REGINA"
For The Love Of You,../lyrics/reginabelle/fortheloveofyou.html,Lazy Afternoon,2004,"BELLE, REGINA"
,,Lazy Afternoon,2004,"BELLE, REGINA"
God Is Good,../lyrics/reginabelle/godisgood.html,Love Forever Shines,2008,"BELLE, REGINA"
I Hope He Understands,../lyrics/reginabelle/ihopeheunderstands.html,Love Forever Shines,2008,"BELLE, REGINA"
I Call On Jesus,../lyrics/reginabelle/icallonjesus.html,Love Forever Shines,2008,"BELLE, REGINA"
I'll Never Leave You Alone,../lyrics/reginabelle/illneverleaveyoualone.html,Love Forever Shines,2008,"BELLE, REGINA"
A Far Cry From Him,../lyrics/reginabelle/afarcryfromhim.html,,,"BELLE, REGINA"
Asking For The Moon,../lyrics/reginabelle/askingforthemoon.html,,,"BELLE, REGINA"
Before I Knew About You,../lyrics/reginabelle/beforeiknewaboutyou.html,,,"BELLE, REGINA"
Better Together,../lyrics/reginabelle/bettertogether.html,,,"BELLE, REGINA"
Border Town Road,../lyrics/reginabelle/bordertownroad.html,,,"BELLE, REGINA"
Far Longer Than Forever,../lyrics/reginabelle/farlongerthanforever.html,,,"BELLE, REGINA"
I Should Be Laughing,../lyrics/reginabelle/ishouldbelaughing.html,,,"BELLE, REGINA"
More Than I Wanted To Know,../lyrics/reginabelle/morethaniwantedtoknow.html,,,"BELLE, REGINA"
"Right Plan, Wrong Man",../lyrics/reginabelle/rightplanwrongman.html,,,"BELLE, REGINA"
She'll Let That Telephone Ring,../lyrics/reginabelle/shellletthattelephonering.html,,,"BELLE, REGINA"
The Big Bad Broken Heart,../lyrics/reginabelle/thebigbadbrokenheart.html,,,"BELLE, REGINA"
Ticket Out Of Kansas,../lyrics/reginabelle/ticketoutofkansas.html,,,"BELLE, REGINA"
