song,link,album,year,artist
Bright Lights,../lyrics/benrector/brightlights.html,Twenty Tomorrow,2007,BEN RECTOR
Amazing,../lyrics/benrector/amazing.html,Twenty Tomorrow,2007,BEN RECTOR
Twenty Tomorrow,../lyrics/benrector/twentytomorrow.html,Twenty Tomorrow,2007,BEN RECTOR
Disarm,../lyrics/benrector/disarm.html,Twenty Tomorrow,2007,BEN RECTOR
Who I Am,../lyrics/benrector/whoiam.html,Twenty Tomorrow,2007,BEN RECTOR
I'm Okay,../lyrics/benrector/imokay.html,Twenty Tomorrow,2007,BEN RECTOR
Hank,../lyrics/benrector/hank.html,Twenty Tomorrow,2007,BEN RECTOR
,,Twenty Tomorrow,2007,BEN RECTOR
The Kill,../lyrics/benrector/thekill.html,Songs That Duke Wrote,2008,BEN RECTOR
The Sophomore,../lyrics/benrector/thesophomore.html,Songs That Duke Wrote,2008,BEN RECTOR
Associated,../lyrics/benrector/associated.html,Songs That Duke Wrote,2008,BEN RECTOR
The Feeling,../lyrics/benrector/thefeeling.html,Songs That Duke Wrote,2008,BEN RECTOR
Ready For Change,../lyrics/benrector/readyforchange.html,Songs That Duke Wrote,2008,BEN RECTOR
Need You Tonight,../lyrics/benrector/needyoutonight.html,Songs That Duke Wrote,2008,BEN RECTOR
After All,../lyrics/benrector/afterall.html,Songs That Duke Wrote,2008,BEN RECTOR
Early Morning Riser,../lyrics/benrector/earlymorningriser.html,Songs That Duke Wrote,2008,BEN RECTOR
When She Comes Around,../lyrics/benrector/whenshecomesaround.html,Songs That Duke Wrote,2008,BEN RECTOR
Thank God I Miss You,../lyrics/benrector/thankgodimissyou.html,Songs That Duke Wrote,2008,BEN RECTOR
Hank,../lyrics/benrector/hank.html,Songs That Duke Wrote,2008,BEN RECTOR
,,Songs That Duke Wrote,2008,BEN RECTOR
The Beat,../lyrics/benrector/thebeat.html,Into The Morning,2010,BEN RECTOR
Loving You Is Easy,../lyrics/benrector/lovingyouiseasy.html,Into The Morning,2010,BEN RECTOR
When A Heart Breaks,../lyrics/benrector/whenaheartbreaks.html,Into The Morning,2010,BEN RECTOR
White Dress,../lyrics/benrector/whitedress.html,Into The Morning,2010,BEN RECTOR
Out Of My Head,../lyrics/benrector/outofmyhead.html,Into The Morning,2010,BEN RECTOR
Autumn,../lyrics/benrector/autumn.html,Into The Morning,2010,BEN RECTOR
Moving Backwards,../lyrics/benrector/movingbackwards.html,Into The Morning,2010,BEN RECTOR
When I Get There,../lyrics/benrector/whenigetthere.html,Into The Morning,2010,BEN RECTOR
And Then You Love Someone,../lyrics/benrector/andthenyoulovesomeone.html,Into The Morning,2010,BEN RECTOR
Dance With Me Baby,../lyrics/benrector/dancewithmebaby.html,Into The Morning,2010,BEN RECTOR
,,Into The Morning,2010,BEN RECTOR
Let The Good Times Roll,../lyrics/benrector/letthegoodtimesroll.html,Something Like This,2011,BEN RECTOR
Song For The Suburbs,../lyrics/benrector/songforthesuburbs.html,Something Like This,2011,BEN RECTOR
Never Gonna Let You Go,../lyrics/benrector/nevergonnaletyougo.html,Something Like This,2011,BEN RECTOR
Without You,../lyrics/benrector/withoutyou.html,Something Like This,2011,BEN RECTOR
Hide Away,../lyrics/benrector/hideaway.html,Something Like This,2011,BEN RECTOR
You And Me,../lyrics/benrector/youandme.html,Something Like This,2011,BEN RECTOR
She Is,../lyrics/benrector/sheis.html,Something Like This,2011,BEN RECTOR
Wanna Be Loved,../lyrics/benrector/wannabeloved.html,Something Like This,2011,BEN RECTOR
Way I Am,../lyrics/benrector/wayiam.html,Something Like This,2011,BEN RECTOR
Falling In Love,../lyrics/benrector/fallinginlove.html,Something Like This,2011,BEN RECTOR
,,Something Like This,2011,BEN RECTOR
Ordinary Love,../lyrics/benrector/ordinarylove.html,The Walking In Between,2013,BEN RECTOR
When I'm With You,../lyrics/benrector/whenimwithyou.html,The Walking In Between,2013,BEN RECTOR
Beautiful,../lyrics/benrector/beautiful.html,The Walking In Between,2013,BEN RECTOR
Making Money,../lyrics/benrector/makingmoney.html,The Walking In Between,2013,BEN RECTOR
I Like You,../lyrics/benrector/ilikeyou.html,The Walking In Between,2013,BEN RECTOR
Sailboat,../lyrics/benrector/sailboat.html,The Walking In Between,2013,BEN RECTOR
Follow You,../lyrics/benrector/followyou.html,The Walking In Between,2013,BEN RECTOR
If You Can Hear Me,../lyrics/benrector/ifyoucanhearme.html,The Walking In Between,2013,BEN RECTOR
Wildfire,../lyrics/benrector/wildfire.html,The Walking In Between,2013,BEN RECTOR
Forever Like That,../lyrics/benrector/foreverlikethat.html,The Walking In Between,2013,BEN RECTOR
Life Keeps Moving On,../lyrics/benrector/lifekeepsmovingon.html,The Walking In Between,2013,BEN RECTOR
Thank God For The Summertime,../lyrics/benrector/thankgodforthesummertime.html,The Walking In Between,2013,BEN RECTOR
,,The Walking In Between,2013,BEN RECTOR
