song,link,album,year,artist
What Was I Thinkin',../lyrics/dierksbentley/whatwasithinkin.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
Wish It Would Break,../lyrics/dierksbentley/wishitwouldbreak.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
Forget About You,../lyrics/dierksbentley/forgetaboutyou.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
I Can Only Think Of One,../lyrics/dierksbentley/icanonlythinkofone.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
My Last Name,../lyrics/dierksbentley/mylastname.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
"Bartenders, Etc...",../lyrics/dierksbentley/bartendersetc.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
Is Anybody Loving You These Days,../lyrics/dierksbentley/isanybodylovingyouthesedays.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
My Love Will Follow You,../lyrics/dierksbentley/mylovewillfollowyou.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
How Am I Doin',../lyrics/dierksbentley/howamidoin.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
Distant Shore,../lyrics/dierksbentley/distantshore.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
I Bought The Shoes,../lyrics/dierksbentley/iboughttheshoes.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
Whiskey Tears,../lyrics/dierksbentley/whiskeytears.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
Train Travelin',../lyrics/dierksbentley/traintravelin.html,Dierks Bentley,2003,"BENTLEY, DIERKS"
,,Dierks Bentley,2003,"BENTLEY, DIERKS"
Lot Of Leavin' Left To Do,../lyrics/dierksbentley/lotofleavinlefttodo.html,Modern Day Drifter,2005,"BENTLEY, DIERKS"
Come A Little Closer,../lyrics/dierksbentley/comealittlecloser.html,Modern Day Drifter,2005,"BENTLEY, DIERKS"
Cab Of My Truck,../lyrics/dierksbentley/cabofmytruck.html,Modern Day Drifter,2005,"BENTLEY, DIERKS"
Settle For A Slowdown,../lyrics/dierksbentley/settleforaslowdown.html,Modern Day Drifter,2005,"BENTLEY, DIERKS"
"Domestic, Light And Cold",../lyrics/dierksbentley/domesticlightandcold.html,Modern Day Drifter,2005,"BENTLEY, DIERKS"
Good Things Happen,../lyrics/dierksbentley/goodthingshappen.html,Modern Day Drifter,2005,"BENTLEY, DIERKS"
Down On Easy Street,../lyrics/dierksbentley/downoneasystreet.html,Modern Day Drifter,2005,"BENTLEY, DIERKS"
So So Long,../lyrics/dierksbentley/sosolong.html,Modern Day Drifter,2005,"BENTLEY, DIERKS"
Modern Day Drifter,../lyrics/dierksbentley/moderndaydrifter.html,Modern Day Drifter,2005,"BENTLEY, DIERKS"
