song,link,album,year,artist
Overpopulated,../lyrics/bethanyjoylenz/overpopulated.html,Preincarnate,2002,BETHANY JOY LENZ
1972,../lyrics/bethanyjoylenz/1972.html,Preincarnate,2002,BETHANY JOY LENZ
Day After Today,../lyrics/bethanyjoylenz/dayaftertoday.html,Preincarnate,2002,BETHANY JOY LENZ
Honestly,../lyrics/bethanyjoylenz/honestly.html,Preincarnate,2002,BETHANY JOY LENZ
Josiah,../lyrics/bethanyjoylenz/josiah.html,Preincarnate,2002,BETHANY JOY LENZ
Don't Walk Away,../lyrics/bethanyjoylenz/dontwalkaway.html,Preincarnate,2002,BETHANY JOY LENZ
Las Palmas,../lyrics/bethanyjoylenz/laspalmas.html,Preincarnate,2002,BETHANY JOY LENZ
Mr. Radioman,../lyrics/bethanyjoylenz/mrradioman.html,Preincarnate,2002,BETHANY JOY LENZ
,,Preincarnate,2002,BETHANY JOY LENZ
Songs In My Pockets,../lyrics/bethanyjoylenz/songsinmypockets.html,Come On Home,2005,BETHANY JOY LENZ
Leaving Town Alive,../lyrics/bethanyjoylenz/leavingtownalive.html,Come On Home,2005,BETHANY JOY LENZ
Crazy Girls,../lyrics/bethanyjoylenz/crazygirls.html,Come On Home,2005,BETHANY JOY LENZ
Sunday Train,../lyrics/bethanyjoylenz/sundaytrain.html,Come On Home,2005,BETHANY JOY LENZ
If You're Missing (Come On Home),../lyrics/bethanyjoylenz/ifyouremissingcomeonhome.html,Come On Home,2005,BETHANY JOY LENZ
,,Come On Home,2005,BETHANY JOY LENZ
Songs In My Pockets,../lyrics/bethanyjoylenz/songsinmypockets.html,,,BETHANY JOY LENZ
Devil Archerist,../lyrics/bethanyjoylenz/devilarcherist.html,,,BETHANY JOY LENZ
Then Slowly Grows,../lyrics/bethanyjoylenz/thenslowlygrows.html,,,BETHANY JOY LENZ
Sunday Storm,../lyrics/bethanyjoylenz/sundaystorm.html,,,BETHANY JOY LENZ
Never Gonna Be (C'mon C'mon),../lyrics/bethanyjoylenz/nevergonnabecmoncmon.html,,,BETHANY JOY LENZ
Quicksand,../lyrics/bethanyjoylenz/quicksand.html,,,BETHANY JOY LENZ
Shiver,../lyrics/bethanyjoylenz/shiver.html,,,BETHANY JOY LENZ
Blue Sky,../lyrics/bethanyjoylenz/bluesky.html,,,BETHANY JOY LENZ
Desperate Gown,../lyrics/bethanyjoylenz/desperategown.html,,,BETHANY JOY LENZ
,,,,BETHANY JOY LENZ
Home Is Me - You Are Mine,../lyrics/bethanyjoylenz/homeismeyouaremine.html,,,BETHANY JOY LENZ
Stars,../lyrics/bethanyjoylenz/stars.html,,,BETHANY JOY LENZ
Little Children,../lyrics/bethanyjoylenz/littlechildren.html,,,BETHANY JOY LENZ
Mrs. Scott,../lyrics/bethanyjoylenz/mrsscott.html,,,BETHANY JOY LENZ
Scheming Star,../lyrics/bethanyjoylenz/schemingstar.html,,,BETHANY JOY LENZ
