song,link,album,year,artist
Walking Disaster,../lyrics/big104/walkingdisaster.html,Testing The Atmosphere,2006,BIG 10-4
Long Night (Sleepless),../lyrics/big104/longnightsleepless.html,Testing The Atmosphere,2006,BIG 10-4
Irony Is Thick,../lyrics/big104/ironyisthick.html,Testing The Atmosphere,2006,BIG 10-4
Deadman,../lyrics/big104/deadman.html,Testing The Atmosphere,2006,BIG 10-4
Tangled,../lyrics/big104/tangled.html,Testing The Atmosphere,2006,BIG 10-4
Superpowers,../lyrics/big104/superpowers.html,Testing The Atmosphere,2006,BIG 10-4
Crazy,../lyrics/big104/crazy.html,Testing The Atmosphere,2006,BIG 10-4
Hold That Thought,../lyrics/big104/holdthatthought.html,Testing The Atmosphere,2006,BIG 10-4
Undertow,../lyrics/big104/undertow.html,Testing The Atmosphere,2006,BIG 10-4
Long Distance,../lyrics/big104/longdistance.html,Testing The Atmosphere,2006,BIG 10-4
The Smell Of Familiar,../lyrics/big104/thesmelloffamiliar.html,Testing The Atmosphere,2006,BIG 10-4
Oxygen,../lyrics/big104/oxygen.html,Testing The Atmosphere,2006,BIG 10-4
