song,link,album,year,artist
In A Big Country,../lyrics/bigcountry/inabigcountry.html,The Crossing,1983,BIG COUNTRY
Inwards,../lyrics/bigcountry/inwards.html,The Crossing,1983,BIG COUNTRY
Chance,../lyrics/bigcountry/chance.html,The Crossing,1983,BIG COUNTRY
1000 Stars,../lyrics/bigcountry/1000stars.html,The Crossing,1983,BIG COUNTRY
The Storm,../lyrics/bigcountry/thestorm.html,The Crossing,1983,BIG COUNTRY
Harvest Home,../lyrics/bigcountry/harvesthome.html,The Crossing,1983,BIG COUNTRY
Lost Patrol,../lyrics/bigcountry/lostpatrol.html,The Crossing,1983,BIG COUNTRY
Close Action,../lyrics/bigcountry/closeaction.html,The Crossing,1983,BIG COUNTRY
Fields Of Fire,../lyrics/bigcountry/fieldsoffire.html,The Crossing,1983,BIG COUNTRY
Porrohman,../lyrics/bigcountry/porrohman.html,The Crossing,1983,BIG COUNTRY
All Of Us,../lyrics/bigcountry/allofus.html,The Crossing,1983,BIG COUNTRY
Balcony,../lyrics/bigcountry/balcony.html,The Crossing,1983,BIG COUNTRY
Tracks Of My Tears,../lyrics/bigcountry/tracksofmytears.html,The Crossing,1983,BIG COUNTRY
We Could Laugh,../lyrics/bigcountry/wecouldlaugh.html,The Crossing,1983,BIG COUNTRY
Big City,../lyrics/bigcountry/bigcity.html,The Crossing,1983,BIG COUNTRY
Ring Out Bells,../lyrics/bigcountry/ringoutbells.html,The Crossing,1983,BIG COUNTRY
,,The Crossing,1983,BIG COUNTRY
Wonderland,../lyrics/bigcountry/wonderland.html,Wonderland,1983,BIG COUNTRY
All Fall Together,../lyrics/bigcountry/allfalltogether.html,Wonderland,1983,BIG COUNTRY
Angle Park,../lyrics/bigcountry/anglepark.html,Wonderland,1983,BIG COUNTRY
Chance,../lyrics/bigcountry/chance.html,Wonderland,1983,BIG COUNTRY
Heart And Soul,../lyrics/bigcountry/heartandsoul.html,Wonderland,1983,BIG COUNTRY
The Crossing,../lyrics/bigcountry/thecrossing.html,Wonderland,1983,BIG COUNTRY
,,Wonderland,1983,BIG COUNTRY
Flame Of The West,../lyrics/bigcountry/flameofthewest.html,Steeltown,1984,BIG COUNTRY
East Of Eden,../lyrics/bigcountry/eastofeden.html,Steeltown,1984,BIG COUNTRY
Steeltown,../lyrics/bigcountry/steeltown.html,Steeltown,1984,BIG COUNTRY
Where The Rose Is Sown,../lyrics/bigcountry/wheretheroseissown.html,Steeltown,1984,BIG COUNTRY
