song,link,album,year,artist
Beware,../lyrics/bigpunisher/beware.html,Capital Punishment,1998,BIG PUNISHER
Super Lyrical,../lyrics/bigpunisher/superlyrical.html,Capital Punishment,1998,BIG PUNISHER
Still Not A Player,../lyrics/bigpunisher/stillnotaplayer.html,Capital Punishment,1998,BIG PUNISHER
Intermission,../lyrics/bigpunisher/intermission.html,Capital Punishment,1998,BIG PUNISHER
The Dream Shatterer,../lyrics/bigpunisher/thedreamshatterer.html,Capital Punishment,1998,BIG PUNISHER
Punish Me,../lyrics/bigpunisher/punishme.html,Capital Punishment,1998,BIG PUNISHER
You Ain't A Killer,../lyrics/bigpunisher/youaintakiller.html,Capital Punishment,1998,BIG PUNISHER
Pakinamac Pt. 2 (Skit),../lyrics/bigpunisher/pakinamacpt2skit.html,Capital Punishment,1998,BIG PUNISHER
Caribbean Connection,../lyrics/bigpunisher/caribbeanconnection.html,Capital Punishment,1998,BIG PUNISHER
Glamour Life,../lyrics/bigpunisher/glamourlife.html,Capital Punishment,1998,BIG PUNISHER
Capital Punishment,../lyrics/bigpunisher/capitalpunishment.html,Capital Punishment,1998,BIG PUNISHER
Uncensored,../lyrics/bigpunisher/uncensored.html,Capital Punishment,1998,BIG PUNISHER
I'm Not A Player,../lyrics/bigpunisher/imnotaplayer.html,Capital Punishment,1998,BIG PUNISHER
Twinz (Deep Cover '98),../lyrics/bigpunisher/twinzdeepcover98.html,Capital Punishment,1998,BIG PUNISHER
Boomerang,../lyrics/bigpunisher/boomerang.html,Capital Punishment,1998,BIG PUNISHER
You Came Up,../lyrics/bigpunisher/youcameup.html,Capital Punishment,1998,BIG PUNISHER
Tres Leches (Triboro Trilogy),../lyrics/bigpunisher/treslechestriborotrilogy.html,Capital Punishment,1998,BIG PUNISHER
Fast Money,../lyrics/bigpunisher/fastmoney.html,Capital Punishment,1998,BIG PUNISHER
Parental Discretion,../lyrics/bigpunisher/parentaldiscretion.html,Capital Punishment,1998,BIG PUNISHER
,,Capital Punishment,1998,BIG PUNISHER
Watch Those,../lyrics/bigpunisher/watchthose.html,Yeeeah Baby,2000,BIG PUNISHER
Off Wit His Head,../lyrics/bigpunisher/offwithishead.html,Yeeeah Baby,2000,BIG PUNISHER
It's So Hard,../lyrics/bigpunisher/itssohard.html,Yeeeah Baby,2000,BIG PUNISHER
We Don't Care,../lyrics/bigpunisher/wedontcare.html,Yeeeah Baby,2000,BIG PUNISHER
New York Giants,../lyrics/bigpunisher/newyorkgiants.html,Yeeeah Baby,2000,BIG PUNISHER
My Dick,../lyrics/bigpunisher/mydick.html,Yeeeah Baby,2000,BIG PUNISHER
Leather Face,../lyrics/bigpunisher/leatherface.html,Yeeeah Baby,2000,BIG PUNISHER
100%,../lyrics/bigpunisher/100.html,Yeeeah Baby,2000,BIG PUNISHER
Wrong Ones,../lyrics/bigpunisher/wrongones.html,Yeeeah Baby,2000,BIG PUNISHER
Laughing At You,../lyrics/bigpunisher/laughingatyou.html,Yeeeah Baby,2000,BIG PUNISHER
Nigga Shit,../lyrics/bigpunisher/niggashit.html,Yeeeah Baby,2000,BIG PUNISHER
Ms. Martin,../lyrics/bigpunisher/msmartin.html,Yeeeah Baby,2000,BIG PUNISHER
My Turn,../lyrics/bigpunisher/myturn.html,Yeeeah Baby,2000,BIG PUNISHER
You Was Wrong,../lyrics/bigpunisher/youwaswrong.html,Yeeeah Baby,2000,BIG PUNISHER
,,Yeeeah Baby,2000,BIG PUNISHER
You Ain't A Killer,../lyrics/bigpunisher/youaintakiller.html,Endangered Species,2001,BIG PUNISHER
