song,link,album,year,artist
Mesopotamia,../lyrics/blacklightburns/mesopotamia.html,Cruel Melody,2007,BLACK LIGHT BURNS
Animal,../lyrics/blacklightburns/animal.html,Cruel Melody,2007,BLACK LIGHT BURNS
Lie,../lyrics/blacklightburns/lie.html,Cruel Melody,2007,BLACK LIGHT BURNS
Coward,../lyrics/blacklightburns/coward.html,Cruel Melody,2007,BLACK LIGHT BURNS
Cruel Melody,../lyrics/blacklightburns/cruelmelody.html,Cruel Melody,2007,BLACK LIGHT BURNS
The Mark,../lyrics/blacklightburns/themark.html,Cruel Melody,2007,BLACK LIGHT BURNS
I Have A Need,../lyrics/blacklightburns/ihaveaneed.html,Cruel Melody,2007,BLACK LIGHT BURNS
4 Walls,../lyrics/blacklightburns/4walls.html,Cruel Melody,2007,BLACK LIGHT BURNS
Stop A Bullet,../lyrics/blacklightburns/stopabullet.html,Cruel Melody,2007,BLACK LIGHT BURNS
One Of Yours,../lyrics/blacklightburns/oneofyours.html,Cruel Melody,2007,BLACK LIGHT BURNS
New Hunger,../lyrics/blacklightburns/newhunger.html,Cruel Melody,2007,BLACK LIGHT BURNS
I Am Where It Takes Me,../lyrics/blacklightburns/iamwhereittakesme.html,Cruel Melody,2007,BLACK LIGHT BURNS
Iodine Sky,../lyrics/blacklightburns/iodinesky.html,Cruel Melody,2007,BLACK LIGHT BURNS
Kill The Queen,../lyrics/blacklightburns/killthequeen.html,Cruel Melody,2007,BLACK LIGHT BURNS
Fall Below,../lyrics/blacklightburns/fallbelow.html,Cruel Melody,2007,BLACK LIGHT BURNS
,,Cruel Melody,2007,BLACK LIGHT BURNS
Forkboy,../lyrics/blacklightburns/forkboy.html,Cover Your Heart,2008,BLACK LIGHT BURNS
So Alive,../lyrics/blacklightburns/soalive.html,Cover Your Heart,2008,BLACK LIGHT BURNS
Hungry Like The Wolf,../lyrics/blacklightburns/hungrylikethewolf.html,Cover Your Heart,2008,BLACK LIGHT BURNS
Lucretia My Reflection,../lyrics/blacklightburns/lucretiamyreflection.html,Cover Your Heart,2008,BLACK LIGHT BURNS
Rid Of Me,../lyrics/blacklightburns/ridofme.html,Cover Your Heart,2008,BLACK LIGHT BURNS
The Art Of Self Defense,../lyrics/blacklightburns/theartofselfdefense.html,Cover Your Heart,2008,BLACK LIGHT BURNS
On The Bound,../lyrics/blacklightburns/onthebound.html,Cover Your Heart,2008,BLACK LIGHT BURNS
I Am The Sun,../lyrics/blacklightburns/iamthesun.html,Cover Your Heart,2008,BLACK LIGHT BURNS
Blood Red Head On Fire,../lyrics/blacklightburns/bloodredheadonfire.html,Cover Your Heart,2008,BLACK LIGHT BURNS
Search And Destroy,../lyrics/blacklightburns/searchanddestroy.html,Cover Your Heart,2008,BLACK LIGHT BURNS
,,Cover Your Heart,2008,BLACK LIGHT BURNS
How To Look Naked,../lyrics/blacklightburns/howtolooknaked.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
We Light Up,../lyrics/blacklightburns/welightup.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
I Want You To,../lyrics/blacklightburns/iwantyouto.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
The Girl In Black,../lyrics/blacklightburns/thegirlinblack.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
The Colour Escapes,../lyrics/blacklightburns/thecolourescapes.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
Tiger By The Tail,../lyrics/blacklightburns/tigerbythetail.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
Your Head Will Be Rotting On A Spike,../lyrics/blacklightburns/yourheadwillberottingonaspike.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
Torch From The Sky,../lyrics/blacklightburns/torchfromthesky.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
Because Of You,../lyrics/blacklightburns/becauseofyou.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
Splayed,../lyrics/blacklightburns/splayed.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
Scream Hallelujah,../lyrics/blacklightburns/screamhallelujah.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
Bakelite,../lyrics/blacklightburns/bakelite.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
Burn The World,../lyrics/blacklightburns/burntheworld.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
Grinning Like A Slit,../lyrics/blacklightburns/grinninglikeaslit.html,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
,,The Moment You Realize You're Going To Fall,2012,BLACK LIGHT BURNS
It's Good To Be Gold,../lyrics/blacklightburns/itsgoodtobegold.html,Lotus Island,2013,BLACK LIGHT BURNS
It Rapes All In It's Path,../lyrics/blacklightburns/itrapesallinitspath.html,Lotus Island,2013,BLACK LIGHT BURNS
My Love Is Coming For You,../lyrics/blacklightburns/myloveiscomingforyou.html,Lotus Island,2013,BLACK LIGHT BURNS
