song,link,album,year,artist
Halloween,../lyrics/blindguardian/halloween.html,Lucifer's Heritage: Symphonies Of Doom,1985,BLIND GUARDIAN
Brian,../lyrics/blindguardian/brian.html,Lucifer's Heritage: Symphonies Of Doom,1985,BLIND GUARDIAN
Dead Of The Night,../lyrics/blindguardian/deadofthenight.html,Lucifer's Heritage: Symphonies Of Doom,1985,BLIND GUARDIAN
Symphonies Of Doom,../lyrics/blindguardian/symphoniesofdoom.html,Lucifer's Heritage: Symphonies Of Doom,1985,BLIND GUARDIAN
,,Lucifer's Heritage: Symphonies Of Doom,1985,BLIND GUARDIAN
Majesty,../lyrics/blindguardian/majesty.html,Battalions Of Fear,1988,BLIND GUARDIAN
Guardian Of The Blind,../lyrics/blindguardian/guardianoftheblind.html,Battalions Of Fear,1988,BLIND GUARDIAN
Wizard's Crown,../lyrics/blindguardian/wizardscrown.html,Battalions Of Fear,1988,BLIND GUARDIAN
Run For The Night,../lyrics/blindguardian/runforthenight.html,Battalions Of Fear,1988,BLIND GUARDIAN
The Martyr,../lyrics/blindguardian/themartyr.html,Battalions Of Fear,1988,BLIND GUARDIAN
Battalions Of Fear,../lyrics/blindguardian/battalionsoffear.html,Battalions Of Fear,1988,BLIND GUARDIAN
,,Battalions Of Fear,1988,BLIND GUARDIAN
Banish From Sanctuary,../lyrics/blindguardian/banishfromsanctuary.html,Follow The Blind,1989,BLIND GUARDIAN
Damned For All Time,../lyrics/blindguardian/damnedforalltime.html,Follow The Blind,1989,BLIND GUARDIAN
Follow The Blind,../lyrics/blindguardian/followtheblind.html,Follow The Blind,1989,BLIND GUARDIAN
Hall Of The King,../lyrics/blindguardian/halloftheking.html,Follow The Blind,1989,BLIND GUARDIAN
Fast To Madness,../lyrics/blindguardian/fasttomadness.html,Follow The Blind,1989,BLIND GUARDIAN
Valhalla,../lyrics/blindguardian/valhalla.html,Follow The Blind,1989,BLIND GUARDIAN
Don't Break The Circle,../lyrics/blindguardian/dontbreakthecircle.html,Follow The Blind,1989,BLIND GUARDIAN
Barbara Ann,../lyrics/blindguardian/barbaraann.html,Follow The Blind,1989,BLIND GUARDIAN
,,Follow The Blind,1989,BLIND GUARDIAN
Traveler In Time,../lyrics/blindguardian/travelerintime.html,Tales From The Twilight World,1990,BLIND GUARDIAN
Welcome To Dying,../lyrics/blindguardian/welcometodying.html,Tales From The Twilight World,1990,BLIND GUARDIAN
Lord Of The Rings,../lyrics/blindguardian/lordoftherings.html,Tales From The Twilight World,1990,BLIND GUARDIAN
Goodbye My Friend,../lyrics/blindguardian/goodbyemyfriend.html,Tales From The Twilight World,1990,BLIND GUARDIAN
Lost In The Twilight Hall,../lyrics/blindguardian/lostinthetwilighthall.html,Tales From The Twilight World,1990,BLIND GUARDIAN
Tommyknockers,../lyrics/blindguardian/tommyknockers.html,Tales From The Twilight World,1990,BLIND GUARDIAN
Altair 4,../lyrics/blindguardian/altair4.html,Tales From The Twilight World,1990,BLIND GUARDIAN
The Last Candle,../lyrics/blindguardian/thelastcandle.html,Tales From The Twilight World,1990,BLIND GUARDIAN
Run For The Night,../lyrics/blindguardian/runforthenight411002.html,Tales From The Twilight World,1990,BLIND GUARDIAN
,,Tales From The Twilight World,1990,BLIND GUARDIAN
Time What Is Time,../lyrics/blindguardian/timewhatistime.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
Journey Through The Dark,../lyrics/blindguardian/journeythroughthedark.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
Black Chamber,../lyrics/blindguardian/blackchamber.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
Theatre Of Pain,../lyrics/blindguardian/theatreofpain.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
The Quest For Tanelorn,../lyrics/blindguardian/thequestfortanelorn.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
Ashes To Ashes,../lyrics/blindguardian/ashestoashes.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
The Bard's Song - In The Forest,../lyrics/blindguardian/thebardssongintheforest.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
The Bard's Song - The Hobbit,../lyrics/blindguardian/thebardssongthehobbit.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
Somewhere Far Beyond,../lyrics/blindguardian/somewherefarbeyond.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
Spread Your Wings,../lyrics/blindguardian/spreadyourwings.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
Trial By Fire,../lyrics/blindguardian/trialbyfire.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
Theatre Of Pain (Classic Version),../lyrics/blindguardian/theatreofpainclassicversion.html,Somewhere Far Beyond,1992,BLIND GUARDIAN
,,Somewhere Far Beyond,1992,BLIND GUARDIAN
Imaginations From The Other Side,../lyrics/blindguardian/imaginationsfromtheotherside.html,Imaginations From The Other Side,1995,BLIND GUARDIAN
I'm Alive,../lyrics/blindguardian/imalive.html,Imaginations From The Other Side,1995,BLIND GUARDIAN
A Past And Future Secret,../lyrics/blindguardian/apastandfuturesecret.html,Imaginations From The Other Side,1995,BLIND GUARDIAN
The Script For My Requiem,../lyrics/blindguardian/thescriptformyrequiem.html,Imaginations From The Other Side,1995,BLIND GUARDIAN
Mordred's Song,../lyrics/blindguardian/mordredssong.html,Imaginations From The Other Side,1995,BLIND GUARDIAN
Born In A Morning Hall,../lyrics/blindguardian/borninamorninghall.html,Imaginations From The Other Side,1995,BLIND GUARDIAN
