song,link,album,year,artist
Girlfriend,../lyrics/bobbybrown/girlfriend.html,King Of Stage,1986,BOBBY BROWN
Girl Next Door,../lyrics/bobbybrown/girlnextdoor.html,King Of Stage,1986,BOBBY BROWN
"Baby, I Wanna Tell You Something",../lyrics/bobbybrown/babyiwannatellyousomething.html,King Of Stage,1986,BOBBY BROWN
Spending Time,../lyrics/bobbybrown/spendingtime.html,King Of Stage,1986,BOBBY BROWN
,,King Of Stage,1986,BOBBY BROWN
Cruel Prelude,../lyrics/bobbybrown/cruelprelude.html,Don't Be Cruel,1988,BOBBY BROWN
Don't Be Cruel,../lyrics/bobbybrown/dontbecruel.html,Don't Be Cruel,1988,BOBBY BROWN
My Prerogative,../lyrics/bobbybrown/myprerogative.html,Don't Be Cruel,1988,BOBBY BROWN
Roni,../lyrics/bobbybrown/roni.html,Don't Be Cruel,1988,BOBBY BROWN
Rock Wit'cha,../lyrics/bobbybrown/rockwitcha.html,Don't Be Cruel,1988,BOBBY BROWN
Every Little Step,../lyrics/bobbybrown/everylittlestep.html,Don't Be Cruel,1988,BOBBY BROWN
I'll Be Good To You,../lyrics/bobbybrown/illbegoodtoyou.html,Don't Be Cruel,1988,BOBBY BROWN
Take It Slow,../lyrics/bobbybrown/takeitslow.html,Don't Be Cruel,1988,BOBBY BROWN
All Day All Night,../lyrics/bobbybrown/alldayallnight.html,Don't Be Cruel,1988,BOBBY BROWN
I Really Love You Girl,../lyrics/bobbybrown/ireallyloveyougirl.html,Don't Be Cruel,1988,BOBBY BROWN
Cruel Reprise,../lyrics/bobbybrown/cruelreprise.html,Don't Be Cruel,1988,BOBBY BROWN
,,Don't Be Cruel,1988,BOBBY BROWN
Humpin' Around (Prelude),../lyrics/bobbybrown/humpinaroundprelude.html,Bobby,1992,BOBBY BROWN
Humpin' Around,../lyrics/bobbybrown/humpinaround.html,Bobby,1992,BOBBY BROWN
Two Can Play That Game,../lyrics/bobbybrown/twocanplaythatgame.html,Bobby,1992,BOBBY BROWN
Get Away,../lyrics/bobbybrown/getaway.html,Bobby,1992,BOBBY BROWN
Til The End Of Time,../lyrics/bobbybrown/tiltheendoftime.html,Bobby,1992,BOBBY BROWN
Good Enough,../lyrics/bobbybrown/goodenough.html,Bobby,1992,BOBBY BROWN
Pretty Little Girl,../lyrics/bobbybrown/prettylittlegirl.html,Bobby,1992,BOBBY BROWN
Lovin' You Down,../lyrics/bobbybrown/lovinyoudown.html,Bobby,1992,BOBBY BROWN
One More Night,../lyrics/bobbybrown/onemorenight.html,Bobby,1992,BOBBY BROWN
Something In Common,../lyrics/bobbybrown/somethingincommon.html,Bobby,1992,BOBBY BROWN
That's The Way Love Is,../lyrics/bobbybrown/thatsthewayloveis.html,Bobby,1992,BOBBY BROWN
College Girl,../lyrics/bobbybrown/collegegirl.html,Bobby,1992,BOBBY BROWN
Storm Away,../lyrics/bobbybrown/stormaway.html,Bobby,1992,BOBBY BROWN
I'm Your Friend,../lyrics/bobbybrown/imyourfriend.html,Bobby,1992,BOBBY BROWN
,,Bobby,1992,BOBBY BROWN
Intro,../lyrics/bobbybrown/intro.html,Forever,1997,BOBBY BROWN
It's Still My Thang,../lyrics/bobbybrown/itsstillmythang.html,Forever,1997,BOBBY BROWN
Feelin' Inside,../lyrics/bobbybrown/feelininside.html,Forever,1997,BOBBY BROWN
My Place,../lyrics/bobbybrown/myplace.html,Forever,1997,BOBBY BROWN
Been Around the World,../lyrics/bobbybrown/beenaroundtheworld.html,Forever,1997,BOBBY BROWN
Give It Up,../lyrics/bobbybrown/giveitup.html,Forever,1997,BOBBY BROWN
Happy Days,../lyrics/bobbybrown/happydays.html,Forever,1997,BOBBY BROWN
Forever,../lyrics/bobbybrown/forever.html,Forever,1997,BOBBY BROWN
Sunday Afternoon,../lyrics/bobbybrown/sundayafternoon.html,Forever,1997,BOBBY BROWN
,,Forever,1997,BOBBY BROWN
Don't Let Me Die,../lyrics/bobbybrown/dontletmedie.html,The Masterpiece,2012,BOBBY BROWN
Get Out The Way,../lyrics/bobbybrown/getouttheway.html,The Masterpiece,2012,BOBBY BROWN
On Our Own,../lyrics/bobbybrown/onourown.html,,,BOBBY BROWN
