song,link,album,year,artist
The Plug,../lyrics/bonobo/theplug.html,Animal Magic,2001,BONOBO
Sugar Rhyme,../lyrics/bonobo/sugarrhyme.html,Animal Magic,2001,BONOBO
,,Animal Magic,2001,BONOBO
Days To Come,../lyrics/bonobo/daystocome.html,Days To Come,2006,BONOBO
Between The Lines,../lyrics/bonobo/betweenthelines.html,Days To Come,2006,BONOBO
Nightlite,../lyrics/bonobo/nightlite.html,Days To Come,2006,BONOBO
If You Stayed Over,../lyrics/bonobo/ifyoustayedover.html,Days To Come,2006,BONOBO
Walk In The Sky,../lyrics/bonobo/walkinthesky.html,Days To Come,2006,BONOBO
,,Days To Come,2006,BONOBO
Eyesdown,../lyrics/bonobo/eyesdown.html,Black Sands,2010,BONOBO
The Keeper,../lyrics/bonobo/thekeeper.html,Black Sands,2010,BONOBO
Stay The Same,../lyrics/bonobo/staythesame.html,Black Sands,2010,BONOBO
,,Black Sands,2010,BONOBO
First Fires,../lyrics/bonobo/firstfires.html,The North Borders,2013,BONOBO
Heaven For The Sinner,../lyrics/bonobo/heavenforthesinner.html,The North Borders,2013,BONOBO
Towers,../lyrics/bonobo/towers.html,The North Borders,2013,BONOBO
Transits,../lyrics/bonobo/transits.html,The North Borders,2013,BONOBO
Pieces,../lyrics/bonobo/pieces.html,The North Borders,2013,BONOBO
,,The North Borders,2013,BONOBO
Break Apart,../lyrics/bonobo/breakapart.html,Migration,2017,BONOBO
Surface,../lyrics/bonobo/surface.html,Migration,2017,BONOBO
No Reason,../lyrics/bonobo/noreason.html,Migration,2017,BONOBO
Figures,../lyrics/bonobo/figures.html,Migration,2017,BONOBO
