song,link,album,year,artist
Uncle Arthur,../lyrics/davidbowie/unclearthur.html,David Bowie,1967,"BOWIE, DAVID"
Sell Me A Coat,../lyrics/davidbowie/sellmeacoat.html,David Bowie,1967,"BOWIE, DAVID"
Rubber Band,../lyrics/davidbowie/rubberband.html,David Bowie,1967,"BOWIE, DAVID"
Love You Till Tuesday,../lyrics/davidbowie/loveyoutilltuesday.html,David Bowie,1967,"BOWIE, DAVID"
There Is A Happy Land,../lyrics/davidbowie/thereisahappyland.html,David Bowie,1967,"BOWIE, DAVID"
We Are Hungry Men,../lyrics/davidbowie/wearehungrymen.html,David Bowie,1967,"BOWIE, DAVID"
When I Live My Dream,../lyrics/davidbowie/whenilivemydream.html,David Bowie,1967,"BOWIE, DAVID"
Little Bombadier,../lyrics/davidbowie/littlebombadier.html,David Bowie,1967,"BOWIE, DAVID"
Silly Boy Blue,../lyrics/davidbowie/sillyboyblue.html,David Bowie,1967,"BOWIE, DAVID"
Come And Buy My Toys,../lyrics/davidbowie/comeandbuymytoys.html,David Bowie,1967,"BOWIE, DAVID"
Join The Gang,../lyrics/davidbowie/jointhegang.html,David Bowie,1967,"BOWIE, DAVID"
She's Got Medals,../lyrics/davidbowie/shesgotmedals.html,David Bowie,1967,"BOWIE, DAVID"
Maid Of Bond Street,../lyrics/davidbowie/maidofbondstreet.html,David Bowie,1967,"BOWIE, DAVID"
Please Mr. Gravedigger,../lyrics/davidbowie/pleasemrgravedigger.html,David Bowie,1967,"BOWIE, DAVID"
,,David Bowie,1967,"BOWIE, DAVID"
Space Oddity,../lyrics/davidbowie/spaceoddity.html,Space Oddity,1969,"BOWIE, DAVID"
Unwashed And Somewhat Slightly Dazed,../lyrics/davidbowie/unwashedandsomewhatslightlydazed.html,Space Oddity,1969,"BOWIE, DAVID"
Letter To Hermione,../lyrics/davidbowie/lettertohermione.html,Space Oddity,1969,"BOWIE, DAVID"
Cygnet Committee,../lyrics/davidbowie/cygnetcommittee.html,Space Oddity,1969,"BOWIE, DAVID"
Janine,../lyrics/davidbowie/janine.html,Space Oddity,1969,"BOWIE, DAVID"
An Occasional Dream,../lyrics/davidbowie/anoccasionaldream.html,Space Oddity,1969,"BOWIE, DAVID"
Wild Eyed Boy From Freecloud,../lyrics/davidbowie/wildeyedboyfromfreecloud.html,Space Oddity,1969,"BOWIE, DAVID"
God Knows I'm Good,../lyrics/davidbowie/godknowsimgood.html,Space Oddity,1969,"BOWIE, DAVID"
Memory Of A Free Festival,../lyrics/davidbowie/memoryofafreefestival.html,Space Oddity,1969,"BOWIE, DAVID"
,,Space Oddity,1969,"BOWIE, DAVID"
Width Of A Circle,../lyrics/davidbowie/widthofacircle.html,The Man Who Sold The World,1970,"BOWIE, DAVID"
All The Madmen,../lyrics/davidbowie/allthemadmen.html,The Man Who Sold The World,1970,"BOWIE, DAVID"
Black Country Rock,../lyrics/davidbowie/blackcountryrock.html,The Man Who Sold The World,1970,"BOWIE, DAVID"
After All,../lyrics/davidbowie/afterall.html,The Man Who Sold The World,1970,"BOWIE, DAVID"
Running Gun Blues,../lyrics/davidbowie/runninggunblues.html,The Man Who Sold The World,1970,"BOWIE, DAVID"
Saviour Machine,../lyrics/davidbowie/saviourmachine.html,The Man Who Sold The World,1970,"BOWIE, DAVID"
She Shook Me Cold,../lyrics/davidbowie/sheshookmecold.html,The Man Who Sold The World,1970,"BOWIE, DAVID"
The Man Who Sold The World,../lyrics/davidbowie/themanwhosoldtheworld.html,The Man Who Sold The World,1970,"BOWIE, DAVID"
The Supermen,../lyrics/davidbowie/thesupermen.html,The Man Who Sold The World,1970,"BOWIE, DAVID"
,,The Man Who Sold The World,1970,"BOWIE, DAVID"
Changes,../lyrics/davidbowie/changes.html,Hunky Dory,1971,"BOWIE, DAVID"
Oh! You Pretty Things,../lyrics/davidbowie/ohyouprettythings.html,Hunky Dory,1971,"BOWIE, DAVID"
Eight Line Poem,../lyrics/davidbowie/eightlinepoem.html,Hunky Dory,1971,"BOWIE, DAVID"
Life On Mars?,../lyrics/davidbowie/lifeonmars.html,Hunky Dory,1971,"BOWIE, DAVID"
Kooks,../lyrics/davidbowie/kooks.html,Hunky Dory,1971,"BOWIE, DAVID"
Quicksand,../lyrics/davidbowie/quicksand.html,Hunky Dory,1971,"BOWIE, DAVID"
Fill Your Heart,../lyrics/davidbowie/fillyourheart.html,Hunky Dory,1971,"BOWIE, DAVID"
Andy Warhol,../lyrics/davidbowie/andywarhol.html,Hunky Dory,1971,"BOWIE, DAVID"
Song For Bob Dylan,../lyrics/davidbowie/songforbobdylan.html,Hunky Dory,1971,"BOWIE, DAVID"
Queen Bitch,../lyrics/davidbowie/queenbitch.html,Hunky Dory,1971,"BOWIE, DAVID"
The Bewlay Brothers,../lyrics/davidbowie/thebewlaybrothers.html,Hunky Dory,1971,"BOWIE, DAVID"
Bombers,../lyrics/davidbowie/bombers.html,Hunky Dory,1971,"BOWIE, DAVID"
,,Hunky Dory,1971,"BOWIE, DAVID"
Five Years,../lyrics/davidbowie/fiveyears.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Soul Love,../lyrics/davidbowie/soullove.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Moonage Daydream,../lyrics/davidbowie/moonagedaydream.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Starman,../lyrics/davidbowie/starman.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
It Ain't Easy,../lyrics/davidbowie/itainteasy.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Lady Stardust,../lyrics/davidbowie/ladystardust.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Star,../lyrics/davidbowie/star.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Hang On To Yourself,../lyrics/davidbowie/hangontoyourself.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Ziggy Stardust,../lyrics/davidbowie/ziggystardust.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Suffragette City,../lyrics/davidbowie/suffragettecity.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Rock 'N' Roll Suicide,../lyrics/davidbowie/rocknrollsuicide.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
,,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,"BOWIE, DAVID"
Watch That Man,../lyrics/davidbowie/watchthatman.html,Aladdin Sane,1973,"BOWIE, DAVID"
Aladdin Sane,../lyrics/davidbowie/aladdinsane.html,Aladdin Sane,1973,"BOWIE, DAVID"
Drive-In Saturday,../lyrics/davidbowie/driveinsaturday.html,Aladdin Sane,1973,"BOWIE, DAVID"
