song,link,album,year,artist
Sold,../lyrics/boygeorge/sold.html,Sold,1987,BOY GEORGE
I Asked For Love,../lyrics/boygeorge/iaskedforlove.html,Sold,1987,BOY GEORGE
Keep Me In Mind,../lyrics/boygeorge/keepmeinmind.html,Sold,1987,BOY GEORGE
Everything I Own,../lyrics/boygeorge/everythingiown.html,Sold,1987,BOY GEORGE
Freedom,../lyrics/boygeorge/freedom.html,Sold,1987,BOY GEORGE
Just Ain't Enough,../lyrics/boygeorge/justaintenough.html,Sold,1987,BOY GEORGE
Where Are You Now (When I Need You),../lyrics/boygeorge/whereareyounowwhenineedyou.html,Sold,1987,BOY GEORGE
Little Ghost,../lyrics/boygeorge/littleghost.html,Sold,1987,BOY GEORGE
Next Time,../lyrics/boygeorge/nexttime.html,Sold,1987,BOY GEORGE
We've Got The Right,../lyrics/boygeorge/wevegottheright.html,Sold,1987,BOY GEORGE
To Be Reborn,../lyrics/boygeorge/tobereborn.html,Sold,1987,BOY GEORGE
Are You Too Afraid,../lyrics/boygeorge/areyoutooafraid.html,Sold,1987,BOY GEORGE
Use Me,../lyrics/boygeorge/useme.html,Sold,1987,BOY GEORGE
State Of Love,../lyrics/boygeorge/stateoflove.html,Sold,1987,BOY GEORGE
,,Sold,1987,BOY GEORGE
Don't Cry,../lyrics/boygeorge/dontcry.html,Tense Nervous Headache,1988,BOY GEORGE
You Are My Heroin,../lyrics/boygeorge/youaremyheroin.html,Tense Nervous Headache,1988,BOY GEORGE
I Go Where I Go,../lyrics/boygeorge/igowhereigo.html,Tense Nervous Headache,1988,BOY GEORGE
Girl With Combination Skin,../lyrics/boygeorge/girlwithcombinationskin.html,Tense Nervous Headache,1988,BOY GEORGE
Whisper,../lyrics/boygeorge/whisper.html,Tense Nervous Headache,1988,BOY GEORGE
Something Strange Called Love,../lyrics/boygeorge/somethingstrangecalledlove.html,Tense Nervous Headache,1988,BOY GEORGE
I Love You,../lyrics/boygeorge/iloveyou.html,Tense Nervous Headache,1988,BOY GEORGE
Kipsy,../lyrics/boygeorge/kipsy.html,Tense Nervous Headache,1988,BOY GEORGE
Mama Never Knew,../lyrics/boygeorge/mamaneverknew.html,Tense Nervous Headache,1988,BOY GEORGE
,,Tense Nervous Headache,1988,BOY GEORGE
Don't Take My Mind On A Trip,../lyrics/boygeorge/donttakemymindonatrip.html,Boyfriend,1989,BOY GEORGE
You Found Another Guy,../lyrics/boygeorge/youfoundanotherguy.html,Boyfriend,1989,BOY GEORGE
Whether They Like It Or Not,../lyrics/boygeorge/whethertheylikeitornot.html,Boyfriend,1989,BOY GEORGE
I'm Not Sleeping Anymore,../lyrics/boygeorge/imnotsleepinganymore.html,Boyfriend,1989,BOY GEORGE
Lies,../lyrics/boygeorge/lies.html,Boyfriend,1989,BOY GEORGE
Big Dark Man (Waiting),../lyrics/boygeorge/bigdarkmanwaiting.html,Boyfriend,1989,BOY GEORGE
Girlfriend,../lyrics/boygeorge/girlfriend.html,Boyfriend,1989,BOY GEORGE
No Clause 28,../lyrics/boygeorge/noclause28.html,Boyfriend,1989,BOY GEORGE
Live My Life,../lyrics/boygeorge/livemylife.html,Boyfriend,1989,BOY GEORGE
,,Boyfriend,1989,BOY GEORGE
Generations Of Love,../lyrics/boygeorge/generationsoflove.html,Jesus Loves You: The Martyr Mantras,1991,BOY GEORGE
One On One,../lyrics/boygeorge/oneonone.html,Jesus Loves You: The Martyr Mantras,1991,BOY GEORGE
Love's Gonna Let You Down,../lyrics/boygeorge/lovesgonnaletyoudown.html,Jesus Loves You: The Martyr Mantras,1991,BOY GEORGE
After The Love,../lyrics/boygeorge/afterthelove.html,Jesus Loves You: The Martyr Mantras,1991,BOY GEORGE
