song,link,album,year,artist
Shower Scene,../lyrics/brandnew/showerscene.html,Your Favorite Weapon,2001,BRAND NEW
Jude Law And A Semester Abroad,../lyrics/brandnew/judelawandasemesterabroad.html,Your Favorite Weapon,2001,BRAND NEW
Sudden Death In Carolina,../lyrics/brandnew/suddendeathincarolina.html,Your Favorite Weapon,2001,BRAND NEW
Mix Tape,../lyrics/brandnew/mixtape.html,Your Favorite Weapon,2001,BRAND NEW
Failure By Design,../lyrics/brandnew/failurebydesign.html,Your Favorite Weapon,2001,BRAND NEW
Last Chance To Lose Your Keys,../lyrics/brandnew/lastchancetoloseyourkeys.html,Your Favorite Weapon,2001,BRAND NEW
Logan To Government Center,../lyrics/brandnew/logantogovernmentcenter.html,Your Favorite Weapon,2001,BRAND NEW
No Seatbelt Song,../lyrics/brandnew/noseatbeltsong.html,Your Favorite Weapon,2001,BRAND NEW
Seventy Times 7,../lyrics/brandnew/seventytimes7.html,Your Favorite Weapon,2001,BRAND NEW
Secondary,../lyrics/brandnew/secondary.html,Your Favorite Weapon,2001,BRAND NEW
Magazines,../lyrics/brandnew/magazines.html,Your Favorite Weapon,2001,BRAND NEW
Soco Amaretto Lime,../lyrics/brandnew/socoamarettolime.html,Your Favorite Weapon,2001,BRAND NEW
,,Your Favorite Weapon,2001,BRAND NEW
Tautou,../lyrics/brandnew/tautou.html,Deja Entendu,2003,BRAND NEW
Sic Transit Gloria...Glory Fades,../lyrics/brandnew/sictransitgloriagloryfades.html,Deja Entendu,2003,BRAND NEW
I Will Play My Game Beneath the Spin Light,../lyrics/brandnew/iwillplaymygamebeneaththespinlight.html,Deja Entendu,2003,BRAND NEW
"Okay I Believe You, But My Tommy Gun Don't",../lyrics/brandnew/okayibelieveyoubutmytommygundont.html,Deja Entendu,2003,BRAND NEW
The Quiet Things That No One Ever Knows,../lyrics/brandnew/thequietthingsthatnooneeverknows.html,Deja Entendu,2003,BRAND NEW
The Boy Who Blocked His Own Shot,../lyrics/brandnew/theboywhoblockedhisownshot.html,Deja Entendu,2003,BRAND NEW
Jaws Theme Swimming,../lyrics/brandnew/jawsthemeswimming.html,Deja Entendu,2003,BRAND NEW
Me Vs. Maradona Vs. Elvis,../lyrics/brandnew/mevsmaradonavselvis.html,Deja Entendu,2003,BRAND NEW
Guernica,../lyrics/brandnew/guernica.html,Deja Entendu,2003,BRAND NEW
Good To Know That If I Ever Need Attention All I Have To Do Is Die,../lyrics/brandnew/goodtoknowthatifieverneedattentionallihavetodoisdie.html,Deja Entendu,2003,BRAND NEW
Play Crack The Sky,../lyrics/brandnew/playcrackthesky.html,Deja Entendu,2003,BRAND NEW
,,Deja Entendu,2003,BRAND NEW
Untitled 1,../lyrics/brandnew/untitled1.html,Fight Off Your Demons,2006,BRAND NEW
Untitled 2,../lyrics/brandnew/untitled2.html,Fight Off Your Demons,2006,BRAND NEW
Untitled 3,../lyrics/brandnew/untitled3.html,Fight Off Your Demons,2006,BRAND NEW
Untitled 4,../lyrics/brandnew/untitled4.html,Fight Off Your Demons,2006,BRAND NEW
Untitled 5,../lyrics/brandnew/untitled5.html,Fight Off Your Demons,2006,BRAND NEW
Untitled 6,../lyrics/brandnew/untitled6.html,Fight Off Your Demons,2006,BRAND NEW
Untitled 7,../lyrics/brandnew/untitled7.html,Fight Off Your Demons,2006,BRAND NEW
Untitled 8,../lyrics/brandnew/untitled8.html,Fight Off Your Demons,2006,BRAND NEW
Untitled 9,../lyrics/brandnew/untitled9.html,Fight Off Your Demons,2006,BRAND NEW
,,Fight Off Your Demons,2006,BRAND NEW
Sowing Season (Yeah),../lyrics/brandnew/sowingseasonyeah.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Millstone,../lyrics/brandnew/millstone.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Jesus / Jesus Christ,../lyrics/brandnew/jesusjesuschrist.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Degausser,../lyrics/brandnew/degausser.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Limousine (MS Rebridge),../lyrics/brandnew/limousinemsrebridge.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
You Won't Know,../lyrics/brandnew/youwontknow.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Welcome To Bangkok,../lyrics/brandnew/welcometobangkok.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Not The Sun,../lyrics/brandnew/notthesun.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Luca,../lyrics/brandnew/luca.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Untitled,../lyrics/brandnew/untitled.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
The Archer's Bows Are Broken,../lyrics/brandnew/thearchersbowsarebroken.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Handcuffs,../lyrics/brandnew/handcuffs.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Luca (Reprise),../lyrics/brandnew/lucareprise.html,The Devil And God Are Raging Inside Me,2006,BRAND NEW
,,The Devil And God Are Raging Inside Me,2006,BRAND NEW
Vices,../lyrics/brandnew/vices.html,Daisy,2009,BRAND NEW
Bed,../lyrics/brandnew/bed.html,Daisy,2009,BRAND NEW
At The Bottom,../lyrics/brandnew/atthebottom.html,Daisy,2009,BRAND NEW
Gasoline,../lyrics/brandnew/gasoline.html,Daisy,2009,BRAND NEW
You Stole,../lyrics/brandnew/youstole.html,Daisy,2009,BRAND NEW
Be Gone,../lyrics/brandnew/begone.html,Daisy,2009,BRAND NEW
Sink,../lyrics/brandnew/sink.html,Daisy,2009,BRAND NEW
Bought A Bride,../lyrics/brandnew/boughtabride.html,Daisy,2009,BRAND NEW
Daisy,../lyrics/brandnew/daisy.html,Daisy,2009,BRAND NEW
In A Jar,../lyrics/brandnew/inajar.html,Daisy,2009,BRAND NEW
Noro,../lyrics/brandnew/noro.html,Daisy,2009,BRAND NEW
,,Daisy,2009,BRAND NEW
Good Man,../lyrics/brandnew/goodman.html,Leaked Demos 2006,2015,BRAND NEW
1996,../lyrics/brandnew/1996.html,Leaked Demos 2006,2015,BRAND NEW
Brother's Song,../lyrics/brandnew/brotherssong.html,Leaked Demos 2006,2015,BRAND NEW
Missing You,../lyrics/brandnew/missingyou.html,Leaked Demos 2006,2015,BRAND NEW
Nobody Moves,../lyrics/brandnew/nobodymoves.html,Leaked Demos 2006,2015,BRAND NEW
Luca (Demo),../lyrics/brandnew/lucademo.html,Leaked Demos 2006,2015,BRAND NEW
Fork And Knife (Demo),../lyrics/brandnew/forkandknifedemo.html,Leaked Demos 2006,2015,BRAND NEW
Yeah (Sowing Season),../lyrics/brandnew/yeahsowingseason.html,Leaked Demos 2006,2015,BRAND NEW
Battalions,../lyrics/brandnew/battalions.html,Leaked Demos 2006,2015,BRAND NEW
(Fork And Knife),../lyrics/brandnew/forkandknife.html,,,BRAND NEW
Am I Wrong,../lyrics/brandnew/amiwrong.html,,,BRAND NEW
Brothers,../lyrics/brandnew/brothers.html,,,BRAND NEW
Coca-Cola,../lyrics/brandnew/cocacola.html,,,BRAND NEW
Flying At Tree Level (Version 1.0),../lyrics/brandnew/flyingattreelevelversion10.html,,,BRAND NEW
I Am A Nightmare,../lyrics/brandnew/iamanightmare.html,,,BRAND NEW
Mene,../lyrics/brandnew/mene.html,,,BRAND NEW
Moshi Moshi,../lyrics/brandnew/moshimoshi.html,,,BRAND NEW
My Nine Rides Shotgun,../lyrics/brandnew/mynineridesshotgun.html,,,BRAND NEW
Out Of Range,../lyrics/brandnew/outofrange.html,,,BRAND NEW
Sealed To Me,../lyrics/brandnew/sealedtome.html,,,BRAND NEW
