song,link,album,year,artist
Coming Home,../lyrics/leonbridges/cominghome.html,Coming Home,2015,"BRIDGES, LEON"
Better Man,../lyrics/leonbridges/betterman.html,Coming Home,2015,"BRIDGES, LEON"
Brown Skin Girl,../lyrics/leonbridges/brownskingirl.html,Coming Home,2015,"BRIDGES, LEON"
Smooth Sailin',../lyrics/leonbridges/smoothsailin.html,Coming Home,2015,"BRIDGES, LEON"
Shine,../lyrics/leonbridges/shine.html,Coming Home,2015,"BRIDGES, LEON"
Lisa Sawyer,../lyrics/leonbridges/lisasawyer.html,Coming Home,2015,"BRIDGES, LEON"
Flowers,../lyrics/leonbridges/flowers.html,Coming Home,2015,"BRIDGES, LEON"
Pull Away,../lyrics/leonbridges/pullaway.html,Coming Home,2015,"BRIDGES, LEON"
Twistin' And Groovin',../lyrics/leonbridges/twistinandgroovin.html,Coming Home,2015,"BRIDGES, LEON"
River,../lyrics/leonbridges/river.html,Coming Home,2015,"BRIDGES, LEON"
On My Own,http://www.azlyrics.com/lyrics/lecrae/onmyown.html,,,"BRIDGES, LEON"
So Long,../lyrics/leonbridges/solong.html,,,"BRIDGES, LEON"
