song,link,album,year,artist
Little Sir William,../lyrics/sarahbrightman/littlesirwilliam.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
O Can Ye Sew Cushions?,../lyrics/sarahbrightman/ocanyesewcushions.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
The Trees They Grow So High,../lyrics/sarahbrightman/thetreestheygrowsohigh.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
The Ash Grove,../lyrics/sarahbrightman/theashgrove.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Oliver Cromwell,../lyrics/sarahbrightman/olivercromwell.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Voici Le Printemps,../lyrics/sarahbrightman/voicileprintemps.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Fileuse,../lyrics/sarahbrightman/fileuse.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
La Belle Est Au Jardin D'amour,../lyrics/sarahbrightman/labelleestaujardindamour.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Quand J'Ã©tais Chez Mon PÃ¨re,../lyrics/sarahbrightman/quandjtaischezmonpre.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
The Plough Boy,../lyrics/sarahbrightman/theploughboy.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
There's None To Soothe,../lyrics/sarahbrightman/theresnonetosoothe.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Sweet Polly Oliver,../lyrics/sarahbrightman/sweetpollyoliver.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
"O Waly, Waly",../lyrics/sarahbrightman/owalywaly.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Come You Not From Newcastle?,../lyrics/sarahbrightman/comeyounotfromnewcastle.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
How Sweet The Answer,../lyrics/sarahbrightman/howsweettheanswer.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Dear Harp Of My Country!,../lyrics/sarahbrightman/dearharpofmycountry.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Oft In The Stilly Night,../lyrics/sarahbrightman/oftinthestillynight.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
The Last Rose Of Summer,../lyrics/sarahbrightman/thelastroseofsummer.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Early One Morning,../lyrics/sarahbrightman/earlyonemorning.html,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
,,The Trees They Grow So High,1988,"BRIGHTMAN, SARAH"
Meadowlark,../lyrics/sarahbrightman/meadowlark.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
I Am Going To Like It Here,../lyrics/sarahbrightman/iamgoingtolikeithere.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
I Remember,../lyrics/sarahbrightman/iremember.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
Mr. Monotony,../lyrics/sarahbrightman/mrmonotony.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
Dreamers,../lyrics/sarahbrightman/dreamers.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
Silent Heart,../lyrics/sarahbrightman/silentheart.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
Lud's Wedding,../lyrics/sarahbrightman/ludswedding.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
Three-Cornered Tune,../lyrics/sarahbrightman/threecorneredtune.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
If I Ever Fall In Love Again,../lyrics/sarahbrightman/ifieverfallinloveagain.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
What Makes Me Love Him?,../lyrics/sarahbrightman/whatmakesmelovehim.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
Chi Il Bel Sogno Di Doretta,../lyrics/sarahbrightman/chiilbelsognodidoretta.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
Away From You,../lyrics/sarahbrightman/awayfromyou.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
If Love Were All,../lyrics/sarahbrightman/iflovewereall.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
Half A Moment,../lyrics/sarahbrightman/halfamoment.html,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
,,The Songs That Got Away,1989,"BRIGHTMAN, SARAH"
The River Cried,../lyrics/sarahbrightman/therivercried.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Something To Believe In,../lyrics/sarahbrightman/somethingtobelievein.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
As I Came Of Age,../lyrics/sarahbrightman/asicameofage.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Take My Life,../lyrics/sarahbrightman/takemylife.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Some Girls,../lyrics/sarahbrightman/somegirls.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Brown Eyes,../lyrics/sarahbrightman/browneyes.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Love Changes Everything,../lyrics/sarahbrightman/lovechangeseverything.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Good Morning Starshine,../lyrics/sarahbrightman/goodmorningstarshine.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Alone Again Or,../lyrics/sarahbrightman/aloneagainor.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Yesterday,../lyrics/sarahbrightman/yesterday.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Bowling Green,../lyrics/sarahbrightman/bowlinggreen.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
It Must Be Tough ... To Be That Cool,../lyrics/sarahbrightman/itmustbetoughtobethatcool.html,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
,,As I Came Of Age,1990,"BRIGHTMAN, SARAH"
Captain Nemo,../lyrics/sarahbrightman/captainnemo.html,Dive,1993,"BRIGHTMAN, SARAH"
The Second Element,../lyrics/sarahbrightman/thesecondelement.html,Dive,1993,"BRIGHTMAN, SARAH"
Ship Of Fools,../lyrics/sarahbrightman/shipoffools.html,Dive,1993,"BRIGHTMAN, SARAH"
Once In A Lifetime,../lyrics/sarahbrightman/onceinalifetime.html,Dive,1993,"BRIGHTMAN, SARAH"
A Salty Dog,../lyrics/sarahbrightman/asaltydog.html,Dive,1993,"BRIGHTMAN, SARAH"
Seven Seas,../lyrics/sarahbrightman/sevenseas.html,Dive,1993,"BRIGHTMAN, SARAH"
Johnny Wanna Live,../lyrics/sarahbrightman/johnnywannalive.html,Dive,1993,"BRIGHTMAN, SARAH"
By Now,../lyrics/sarahbrightman/bynow.html,Dive,1993,"BRIGHTMAN, SARAH"
Island,../lyrics/sarahbrightman/island.html,Dive,1993,"BRIGHTMAN, SARAH"
When It Rains In America,../lyrics/sarahbrightman/whenitrainsinamerica.html,Dive,1993,"BRIGHTMAN, SARAH"
La Mer,../lyrics/sarahbrightman/lamer.html,Dive,1993,"BRIGHTMAN, SARAH"
The Second Element II,../lyrics/sarahbrightman/thesecondelementii.html,Dive,1993,"BRIGHTMAN, SARAH"
,,Dive,1993,"BRIGHTMAN, SARAH"
Surrender,../lyrics/sarahbrightman/surrender.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Chanson D'enfance,../lyrics/sarahbrightman/chansondenfance.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Tell Me On A Sunday,../lyrics/sarahbrightman/tellmeonasunday.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Nothing Like You've Ever Known,../lyrics/sarahbrightman/nothinglikeyouveeverknown.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Macavity: The Mystery Cat,../lyrics/sarahbrightman/macavitythemysterycat.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Gus: The Theatre Cat,../lyrics/sarahbrightman/gusthetheatrecat.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Piano,../lyrics/sarahbrightman/piano.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Everything's Alright,../lyrics/sarahbrightman/everythingsalright.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
The Last Man In My Life,../lyrics/sarahbrightman/thelastmaninmylife.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Pie Jesu,../lyrics/sarahbrightman/piejesu.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Amigos Para Siempre,../lyrics/sarahbrightman/amigosparasiempre.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
No Llores Por MÃ­ Argentina,../lyrics/sarahbrightman/nollorespormargentina.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Guardami,../lyrics/sarahbrightman/guardami.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
There Is More To Love,../lyrics/sarahbrightman/thereismoretolove.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Wishing You Were Somehow Here Again,../lyrics/sarahbrightman/wishingyouweresomehowhereagain.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
The Music Of The Night,../lyrics/sarahbrightman/themusicofthenight.html,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
,,Surrender: The Unexpected Songs,1995,"BRIGHTMAN, SARAH"
Time To Say Goodbye (Con Te PartirÃ²),../lyrics/sarahbrightman/timetosaygoodbyecontepartir.html,Fly,1996,"BRIGHTMAN, SARAH"
Fly,../lyrics/sarahbrightman/fly.html,Fly,1996,"BRIGHTMAN, SARAH"
Why,../lyrics/sarahbrightman/why.html,Fly,1996,"BRIGHTMAN, SARAH"
Murder In Mairyland Park,../lyrics/sarahbrightman/murderinmairylandpark.html,Fly,1996,"BRIGHTMAN, SARAH"
How Can Heaven Love Me,../lyrics/sarahbrightman/howcanheavenloveme.html,Fly,1996,"BRIGHTMAN, SARAH"
A Question Of Honour,../lyrics/sarahbrightman/aquestionofhonour.html,Fly,1996,"BRIGHTMAN, SARAH"
Ghost In The Machinery,../lyrics/sarahbrightman/ghostinthemachinery.html,Fly,1996,"BRIGHTMAN, SARAH"
You Take My Breath Away,../lyrics/sarahbrightman/youtakemybreathaway.html,Fly,1996,"BRIGHTMAN, SARAH"
Something In The The Air,../lyrics/sarahbrightman/somethinginthetheair.html,Fly,1996,"BRIGHTMAN, SARAH"
Heaven Is Here,../lyrics/sarahbrightman/heavenishere.html,Fly,1996,"BRIGHTMAN, SARAH"
I Loved You,../lyrics/sarahbrightman/ilovedyou.html,Fly,1996,"BRIGHTMAN, SARAH"
The Fly,../lyrics/sarahbrightman/thefly.html,Fly,1996,"BRIGHTMAN, SARAH"
,,Fly,1996,"BRIGHTMAN, SARAH"
No One Like You,../lyrics/sarahbrightman/noonelikeyou.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
Just Show Me How To Love You,../lyrics/sarahbrightman/justshowmehowtoloveyou.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
Tu Quieres Volver,../lyrics/sarahbrightman/tuquieresvolver.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
In Pace,../lyrics/sarahbrightman/inpace.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
There For Me,../lyrics/sarahbrightman/thereforme.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
Who Wants To Live Forever,../lyrics/sarahbrightman/whowantstoliveforever.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
La Wally,../lyrics/sarahbrightman/lawally.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
Naturaleza Muerta,../lyrics/sarahbrightman/naturalezamuerta.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
En Aranjuez Con Tu Amor,../lyrics/sarahbrightman/enaranjuezcontuamor.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
In Trutina,../lyrics/sarahbrightman/intrutina.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
Time To Say Goodbye,../lyrics/sarahbrightman/timetosaygoodbye.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
O Mio Babbino Caro,../lyrics/sarahbrightman/omiobabbinocaro.html,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
,,Timeless / Time To Say Goodbye,1997,"BRIGHTMAN, SARAH"
In Paradisum,../lyrics/sarahbrightman/inparadisum.html,Eden,1999,"BRIGHTMAN, SARAH"
Eden,../lyrics/sarahbrightman/eden.html,Eden,1999,"BRIGHTMAN, SARAH"
So Many Things,../lyrics/sarahbrightman/somanythings.html,Eden,1999,"BRIGHTMAN, SARAH"
Anytime Anywhere,../lyrics/sarahbrightman/anytimeanywhere.html,Eden,1999,"BRIGHTMAN, SARAH"
Bailero,../lyrics/sarahbrightman/bailero.html,Eden,1999,"BRIGHTMAN, SARAH"
Dust In The Wind,../lyrics/sarahbrightman/dustinthewind.html,Eden,1999,"BRIGHTMAN, SARAH"
Il Mio Cuore Va,../lyrics/sarahbrightman/ilmiocuoreva.html,Eden,1999,"BRIGHTMAN, SARAH"
Deliver Me,../lyrics/sarahbrightman/deliverme.html,Eden,1999,"BRIGHTMAN, SARAH"
Un Jour Il Viendra,../lyrics/sarahbrightman/unjourilviendra.html,Eden,1999,"BRIGHTMAN, SARAH"
Nella Fantasia,../lyrics/sarahbrightman/nellafantasia.html,Eden,1999,"BRIGHTMAN, SARAH"
