song,link,album,year,artist
Come Around,../lyrics/colliebuddz/comearound.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Blind To You,../lyrics/colliebuddz/blindtoyou.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Defend Your Own,../lyrics/colliebuddz/defendyourown.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Tomorrow's Another Day,../lyrics/colliebuddz/tomorrowsanotherday.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Mamacita,../lyrics/colliebuddz/mamacita.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Wild Out,../lyrics/colliebuddz/wildout.html,Collie Buddz,2007,"BUDDZ, COLLIE"
What A Feeling,../lyrics/colliebuddz/whatafeeling.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Movin' On,../lyrics/colliebuddz/movinon.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Sensimillia,../lyrics/colliebuddz/sensimillia.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Let Me Know,../lyrics/colliebuddz/letmeknow.html,Collie Buddz,2007,"BUDDZ, COLLIE"
My Everything,../lyrics/colliebuddz/myeverything.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Love Deh,../lyrics/colliebuddz/lovedeh.html,Collie Buddz,2007,"BUDDZ, COLLIE"
Old Times Sake,../lyrics/colliebuddz/oldtimessake.html,Collie Buddz,2007,"BUDDZ, COLLIE"
,,Collie Buddz,2007,"BUDDZ, COLLIE"
Gimme Love,../lyrics/colliebuddz/gimmelove.html,On The Rock,2009,"BUDDZ, COLLIE"
Private Show,../lyrics/colliebuddz/privateshow.html,On The Rock,2009,"BUDDZ, COLLIE"
Bun Down The System,../lyrics/colliebuddz/bundownthesystem.html,On The Rock,2009,"BUDDZ, COLLIE"
SOS,../lyrics/colliebuddz/sos.html,On The Rock,2009,"BUDDZ, COLLIE"
Mary Jane,../lyrics/colliebuddz/maryjane.html,On The Rock,2009,"BUDDZ, COLLIE"
,,On The Rock,2009,"BUDDZ, COLLIE"
Playback,../lyrics/colliebuddz/playback.html,Playback,2011,"BUDDZ, COLLIE"
Come Down,../lyrics/colliebuddz/comedown.html,Playback,2011,"BUDDZ, COLLIE"
Hope,../lyrics/colliebuddz/hope.html,Playback,2011,"BUDDZ, COLLIE"
Holiday,../lyrics/colliebuddz/holiday.html,Playback,2011,"BUDDZ, COLLIE"
Serious,../lyrics/colliebuddz/serious.html,Playback,2011,"BUDDZ, COLLIE"
World A Girls,../lyrics/colliebuddz/worldagirls.html,Playback,2011,"BUDDZ, COLLIE"
Brush Me,../lyrics/colliebuddz/brushme.html,Playback,2011,"BUDDZ, COLLIE"
,,Playback,2011,"BUDDZ, COLLIE"
Prescription,../lyrics/colliebuddz/prescription.html,Blue Dreamz,2015,"BUDDZ, COLLIE"
Blind To You (NY Giants Dub Mix),../lyrics/colliebuddz/blindtoyounygiantsdubmix.html,,,"BUDDZ, COLLIE"
Come Around (B-Real Remix),../lyrics/colliebuddz/comearoundbrealremix.html,,,"BUDDZ, COLLIE"
Come Around (Remix),../lyrics/colliebuddz/comearoundremix147000.html,,,"BUDDZ, COLLIE"
Come Around (Remix),../lyrics/colliebuddz/comearoundremix147001.html,,,"BUDDZ, COLLIE"
Eyez,../lyrics/colliebuddz/eyez.html,,,"BUDDZ, COLLIE"
Mamacita (Remix),../lyrics/colliebuddz/mamacitaremix.html,,,"BUDDZ, COLLIE"
Now She's Gone,../lyrics/colliebuddz/nowshesgone.html,,,"BUDDZ, COLLIE"
