song,link,album,year,artist
The Christian,../lyrics/jimmybuffett/thechristian.html,Down To Earth,1970,"BUFFETT, JIMMY"
Ellis Dee,../lyrics/jimmybuffett/ellisdee.html,Down To Earth,1970,"BUFFETT, JIMMY"
The Missionary,../lyrics/jimmybuffett/themissionary.html,Down To Earth,1970,"BUFFETT, JIMMY"
A Mile High In Denver,../lyrics/jimmybuffett/amilehighindenver.html,Down To Earth,1970,"BUFFETT, JIMMY"
The Captain And The Kid,../lyrics/jimmybuffett/thecaptainandthekid.html,Down To Earth,1970,"BUFFETT, JIMMY"
Captain America,../lyrics/jimmybuffett/captainamerica.html,Down To Earth,1970,"BUFFETT, JIMMY"
Ain't He A Genius?,../lyrics/jimmybuffett/aintheagenius.html,Down To Earth,1970,"BUFFETT, JIMMY"
Turnabout,../lyrics/jimmybuffett/turnabout.html,Down To Earth,1970,"BUFFETT, JIMMY"
There's Nothing Soft About Hard Times,../lyrics/jimmybuffett/theresnothingsoftabouthardtimes.html,Down To Earth,1970,"BUFFETT, JIMMY"
I Can't Be Your Hero Today,../lyrics/jimmybuffett/icantbeyourherotoday.html,Down To Earth,1970,"BUFFETT, JIMMY"
Truckstop Salvation,../lyrics/jimmybuffett/truckstopsalvation.html,Down To Earth,1970,"BUFFETT, JIMMY"
,,Down To Earth,1970,"BUFFETT, JIMMY"
Ace,../lyrics/jimmybuffett/ace.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
Rockefeller Square,../lyrics/jimmybuffett/rockefellersquare.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
Bend A Little,../lyrics/jimmybuffett/bendalittle.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
In The Shelter,../lyrics/jimmybuffett/intheshelter.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
Death Valley Lives,../lyrics/jimmybuffett/deathvalleylives.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
Livingston's Gone To Texas,../lyrics/jimmybuffett/livingstonsgonetotexas.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
England,../lyrics/jimmybuffett/england.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
Travelin' Clean,../lyrics/jimmybuffett/travelinclean.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
The Hang-Out Gang,../lyrics/jimmybuffett/thehangoutgang.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
God Don't Own A Car,../lyrics/jimmybuffett/goddontownacar.html,High Cumberland Jubilee,1971,"BUFFETT, JIMMY"
