song,link,album,year,artist
Hand Of Blood,../lyrics/bulletformyvalentine/handofblood.html,Bullet For My Valentine,2004,BULLET FOR MY VALENTINE
Cries In Vain,../lyrics/bulletformyvalentine/criesinvain123988.html,Bullet For My Valentine,2004,BULLET FOR MY VALENTINE
Curses,../lyrics/bulletformyvalentine/curses.html,Bullet For My Valentine,2004,BULLET FOR MY VALENTINE
No Control,../lyrics/bulletformyvalentine/nocontrol.html,Bullet For My Valentine,2004,BULLET FOR MY VALENTINE
Just Another Star,../lyrics/bulletformyvalentine/justanotherstar.html,Bullet For My Valentine,2004,BULLET FOR MY VALENTINE
,,Bullet For My Valentine,2004,BULLET FOR MY VALENTINE
Her Voice Resides,../lyrics/bulletformyvalentine/hervoiceresides.html,The Poison,2005,BULLET FOR MY VALENTINE
4 Words,../lyrics/bulletformyvalentine/4words.html,The Poison,2005,BULLET FOR MY VALENTINE
Tears Don't Fall,../lyrics/bulletformyvalentine/tearsdontfall.html,The Poison,2005,BULLET FOR MY VALENTINE
Suffocating Under The Words Of Sorrow (What Can I Do),../lyrics/bulletformyvalentine/suffocatingunderthewordsofsorrowwhatcanido.html,The Poison,2005,BULLET FOR MY VALENTINE
Hit The Floor,../lyrics/bulletformyvalentine/hitthefloor.html,The Poison,2005,BULLET FOR MY VALENTINE
All These Things I Hate (Revolve Around Me),../lyrics/bulletformyvalentine/allthesethingsihaterevolvearoundme.html,The Poison,2005,BULLET FOR MY VALENTINE
Room 409,../lyrics/bulletformyvalentine/room409.html,The Poison,2005,BULLET FOR MY VALENTINE
The Poison,../lyrics/bulletformyvalentine/thepoison.html,The Poison,2005,BULLET FOR MY VALENTINE
10 Years Today,../lyrics/bulletformyvalentine/10yearstoday.html,The Poison,2005,BULLET FOR MY VALENTINE
Cries In Vain,../lyrics/bulletformyvalentine/criesinvain124002.html,The Poison,2005,BULLET FOR MY VALENTINE
Spit You Out,../lyrics/bulletformyvalentine/spityouout.html,The Poison,2005,BULLET FOR MY VALENTINE
The End,../lyrics/bulletformyvalentine/theend.html,The Poison,2005,BULLET FOR MY VALENTINE
Seven Days,../lyrics/bulletformyvalentine/sevendays.html,The Poison,2005,BULLET FOR MY VALENTINE
"My Fist, Your Mouth, Her Scars",../lyrics/bulletformyvalentine/myfistyourmouthherscars.html,The Poison,2005,BULLET FOR MY VALENTINE
Spit You Out (Live),../lyrics/bulletformyvalentine/spityououtlive.html,The Poison,2005,BULLET FOR MY VALENTINE
Welcome Home (Sanitarium),../lyrics/bulletformyvalentine/welcomehomesanitarium.html,The Poison,2005,BULLET FOR MY VALENTINE
Tears Don't Fall (Acoustic),../lyrics/bulletformyvalentine/tearsdontfallacoustic.html,The Poison,2005,BULLET FOR MY VALENTINE
,,The Poison,2005,BULLET FOR MY VALENTINE
Scream Aim Fire,../lyrics/bulletformyvalentine/screamaimfire.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Eye Of The Storm,../lyrics/bulletformyvalentine/eyeofthestorm.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Hearts Burst Into Fire,../lyrics/bulletformyvalentine/heartsburstintofire.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Waking The Demon,../lyrics/bulletformyvalentine/wakingthedemon.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Disappear,../lyrics/bulletformyvalentine/disappear.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Deliver Us From Evil,../lyrics/bulletformyvalentine/deliverusfromevil.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Take It Out On Me,../lyrics/bulletformyvalentine/takeitoutonme.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Say Goodnight,../lyrics/bulletformyvalentine/saygoodnight.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
End Of Days,../lyrics/bulletformyvalentine/endofdays.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Last To Know,../lyrics/bulletformyvalentine/lasttoknow.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Forever And Always,../lyrics/bulletformyvalentine/foreverandalways.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
No Easy Way Out,../lyrics/bulletformyvalentine/noeasywayout.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Ashes Of The Innocent,../lyrics/bulletformyvalentine/ashesoftheinnocent.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Creeping Death,../lyrics/bulletformyvalentine/creepingdeath.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Road To Nowhere,../lyrics/bulletformyvalentine/roadtonowhere.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Watching Us Die Tonight,../lyrics/bulletformyvalentine/watchingusdietonight.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
One Good Reason Why,../lyrics/bulletformyvalentine/onegoodreasonwhy.html,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
,,Scream Aim Fire,2008,BULLET FOR MY VALENTINE
Your Betrayal,../lyrics/bulletformyvalentine/yourbetrayal.html,Fever,2010,BULLET FOR MY VALENTINE
Fever,../lyrics/bulletformyvalentine/fever.html,Fever,2010,BULLET FOR MY VALENTINE
The Last Fight,../lyrics/bulletformyvalentine/thelastfight.html,Fever,2010,BULLET FOR MY VALENTINE
A Place Where You Belong,../lyrics/bulletformyvalentine/aplacewhereyoubelong.html,Fever,2010,BULLET FOR MY VALENTINE
Pleasure And Pain,../lyrics/bulletformyvalentine/pleasureandpain.html,Fever,2010,BULLET FOR MY VALENTINE
Alone,../lyrics/bulletformyvalentine/alone.html,Fever,2010,BULLET FOR MY VALENTINE
"Breaking Out, Breaking Down",../lyrics/bulletformyvalentine/breakingoutbreakingdown.html,Fever,2010,BULLET FOR MY VALENTINE
Bittersweet Memories,../lyrics/bulletformyvalentine/bittersweetmemories.html,Fever,2010,BULLET FOR MY VALENTINE
Dignity,../lyrics/bulletformyvalentine/dignity.html,Fever,2010,BULLET FOR MY VALENTINE
