song,link,album,year,artist
Black Lung,../lyrics/butterflyeffect/blacklung.html,The Butterfly Effect,2001,"BUTTERFLY EFFECT, THE"
The Cell,../lyrics/butterflyeffect/thecell.html,The Butterfly Effect,2001,"BUTTERFLY EFFECT, THE"
Take It Away,../lyrics/butterflyeffect/takeitaway.html,The Butterfly Effect,2001,"BUTTERFLY EFFECT, THE"
Sweet & Low,../lyrics/butterflyeffect/sweetlow.html,The Butterfly Effect,2001,"BUTTERFLY EFFECT, THE"
Pure,../lyrics/butterflyeffect/pure.html,The Butterfly Effect,2001,"BUTTERFLY EFFECT, THE"
Perfection,../lyrics/butterflyeffect/perfection.html,The Butterfly Effect,2001,"BUTTERFLY EFFECT, THE"
,,The Butterfly Effect,2001,"BUTTERFLY EFFECT, THE"
Perception Twin,../lyrics/butterflyeffect/perceptiontwin.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
Consequence,../lyrics/butterflyeffect/consequence.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
One Second Of Insanity,../lyrics/butterflyeffect/onesecondofinsanity.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
Crave,../lyrics/butterflyeffect/crave.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
Beautiful Mine,../lyrics/butterflyeffect/beautifulmine.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
Filling Silence,../lyrics/butterflyeffect/fillingsilence.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
Always,../lyrics/butterflyeffect/always.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
Without Wings,../lyrics/butterflyeffect/withoutwings.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
Overwhelmed,../lyrics/butterflyeffect/overwhelmed.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
A.D. Outro,../lyrics/butterflyeffect/adoutro.html,Begins Here,2003,"BUTTERFLY EFFECT, THE"
,,Begins Here,2003,"BUTTERFLY EFFECT, THE"
Imago,../lyrics/butterflyeffect/imago.html,Imago,2006,"BUTTERFLY EFFECT, THE"
Aisles Of White,../lyrics/butterflyeffect/aislesofwhite.html,Imago,2006,"BUTTERFLY EFFECT, THE"
Gone,../lyrics/butterflyeffect/gone.html,Imago,2006,"BUTTERFLY EFFECT, THE"
A Slow Descent,../lyrics/butterflyeffect/aslowdescent.html,Imago,2006,"BUTTERFLY EFFECT, THE"
Reach,../lyrics/butterflyeffect/reach.html,Imago,2006,"BUTTERFLY EFFECT, THE"
Before They Knew,../lyrics/butterflyeffect/beforetheyknew.html,Imago,2006,"BUTTERFLY EFFECT, THE"
In A Memory,../lyrics/butterflyeffect/inamemory.html,Imago,2006,"BUTTERFLY EFFECT, THE"
This Year,../lyrics/butterflyeffect/thisyear.html,Imago,2006,"BUTTERFLY EFFECT, THE"
Signs,../lyrics/butterflyeffect/signs.html,Imago,2006,"BUTTERFLY EFFECT, THE"
Everybody Runs,../lyrics/butterflyeffect/everybodyruns.html,Imago,2006,"BUTTERFLY EFFECT, THE"
The End,../lyrics/butterflyeffect/theend.html,Imago,2006,"BUTTERFLY EFFECT, THE"
,,Imago,2006,"BUTTERFLY EFFECT, THE"
Worlds On Fire,../lyrics/butterflyeffect/worldsonfire.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
Room Without A View,../lyrics/butterflyeffect/roomwithoutaview.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
Final Conversation,../lyrics/butterflyeffect/finalconversation.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
The Way,../lyrics/butterflyeffect/theway.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
Window And The Watcher,../lyrics/butterflyeffect/windowandthewatcher.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
...And The Promise Of The Truth,../lyrics/butterflyeffect/andthepromiseofthetruth.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
In These Hands,../lyrics/butterflyeffect/inthesehands.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
7 Days,../lyrics/butterflyeffect/7days.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
Rain,../lyrics/butterflyeffect/rain.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
Sum Of 1,../lyrics/butterflyeffect/sumof1.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
Landslide,../lyrics/butterflyeffect/landslide.html,Final Conversation Of Kings,2008,"BUTTERFLY EFFECT, THE"
