song,link,album,year,artist
Fast Cars,../lyrics/buzzcocks/fastcars.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
No Reply,../lyrics/buzzcocks/noreply.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
You Tear Me Up,../lyrics/buzzcocks/youtearmeup.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
Get On Our Own,../lyrics/buzzcocks/getonourown.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
Love Battery,../lyrics/buzzcocks/lovebattery.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
16,../lyrics/buzzcocks/16.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
I Don't Mind,../lyrics/buzzcocks/idontmind.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
Fiction Romance,../lyrics/buzzcocks/fictionromance.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
Autonomy,../lyrics/buzzcocks/autonomy.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
I Need,../lyrics/buzzcocks/ineed.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
Moving Away From The Pulsebeat,../lyrics/buzzcocks/movingawayfromthepulsebeat.html,Another Music In A Different Kitchen,1978,BUZZCOCKS
,,Another Music In A Different Kitchen,1978,BUZZCOCKS
Real World,../lyrics/buzzcocks/realworld.html,Love Bites,1978,BUZZCOCKS
Ever Fallen In Love With Someone (You Shouldn't've Fallen In Love With)?,../lyrics/buzzcocks/everfalleninlovewithsomeoneyoushouldntvefalleninlovewith.html,Love Bites,1978,BUZZCOCKS
Operator's Manual,../lyrics/buzzcocks/operatorsmanual.html,Love Bites,1978,BUZZCOCKS
Nostalgia,../lyrics/buzzcocks/nostalgia.html,Love Bites,1978,BUZZCOCKS
Just Lust,../lyrics/buzzcocks/justlust.html,Love Bites,1978,BUZZCOCKS
Sixteen Again,../lyrics/buzzcocks/sixteenagain.html,Love Bites,1978,BUZZCOCKS
Love Is Lies,../lyrics/buzzcocks/loveislies.html,Love Bites,1978,BUZZCOCKS
Nothing Left,../lyrics/buzzcocks/nothingleft.html,Love Bites,1978,BUZZCOCKS
ESP,../lyrics/buzzcocks/esp.html,Love Bites,1978,BUZZCOCKS
,,Love Bites,1978,BUZZCOCKS
Paradise,../lyrics/buzzcocks/paradise.html,A Different Kind Of Tension,1979,BUZZCOCKS
Sitting Round At Home,../lyrics/buzzcocks/sittingroundathome.html,A Different Kind Of Tension,1979,BUZZCOCKS
You Say You Don't Love Me,../lyrics/buzzcocks/yousayyoudontloveme.html,A Different Kind Of Tension,1979,BUZZCOCKS
You Know You Can't Help It,../lyrics/buzzcocks/youknowyoucanthelpit.html,A Different Kind Of Tension,1979,BUZZCOCKS
Mad Mad Judy,../lyrics/buzzcocks/madmadjudy.html,A Different Kind Of Tension,1979,BUZZCOCKS
Raison D'etre,../lyrics/buzzcocks/raisondetre.html,A Different Kind Of Tension,1979,BUZZCOCKS
I Don't Know What To Do With My Life,../lyrics/buzzcocks/idontknowwhattodowithmylife.html,A Different Kind Of Tension,1979,BUZZCOCKS
Money,../lyrics/buzzcocks/money.html,A Different Kind Of Tension,1979,BUZZCOCKS
Hollow Inside,../lyrics/buzzcocks/hollowinside.html,A Different Kind Of Tension,1979,BUZZCOCKS
A Different Kind Of Tension,../lyrics/buzzcocks/adifferentkindoftension.html,A Different Kind Of Tension,1979,BUZZCOCKS
I Believe,../lyrics/buzzcocks/ibelieve.html,A Different Kind Of Tension,1979,BUZZCOCKS
,,A Different Kind Of Tension,1979,BUZZCOCKS
Orgasm Addict,../lyrics/buzzcocks/orgasmaddict.html,Singles Going Steady,1979,BUZZCOCKS
What Do I Get?,../lyrics/buzzcocks/whatdoiget.html,Singles Going Steady,1979,BUZZCOCKS
I Don't Mind,../lyrics/buzzcocks/idontmind.html,Singles Going Steady,1979,BUZZCOCKS
Love You More,../lyrics/buzzcocks/loveyoumore.html,Singles Going Steady,1979,BUZZCOCKS
Ever Fallen In Love With Someone (You Shouldn't've Fallen In Love With)?,../lyrics/buzzcocks/everfalleninlovewithsomeoneyoushouldntvefalleninlovewith.html,Singles Going Steady,1979,BUZZCOCKS
Promises,../lyrics/buzzcocks/promises.html,Singles Going Steady,1979,BUZZCOCKS
Everybody's Happy Nowadays,../lyrics/buzzcocks/everybodyshappynowadays.html,Singles Going Steady,1979,BUZZCOCKS
Harmony In My Head,../lyrics/buzzcocks/harmonyinmyhead.html,Singles Going Steady,1979,BUZZCOCKS
Whatever Happened To?,../lyrics/buzzcocks/whateverhappenedto.html,Singles Going Steady,1979,BUZZCOCKS
Oh Shit,../lyrics/buzzcocks/ohshit.html,Singles Going Steady,1979,BUZZCOCKS
Autonomy,../lyrics/buzzcocks/autonomy.html,Singles Going Steady,1979,BUZZCOCKS
Noise Annoys,../lyrics/buzzcocks/noiseannoys.html,Singles Going Steady,1979,BUZZCOCKS
Just Lust,../lyrics/buzzcocks/justlust.html,Singles Going Steady,1979,BUZZCOCKS
Lipstick,../lyrics/buzzcocks/lipstick.html,Singles Going Steady,1979,BUZZCOCKS
Why Can't I Touch It?,../lyrics/buzzcocks/whycantitouchit.html,Singles Going Steady,1979,BUZZCOCKS
Something's Gone Wrong Again,../lyrics/buzzcocks/somethingsgonewrongagain.html,Singles Going Steady,1979,BUZZCOCKS
,,Singles Going Steady,1979,BUZZCOCKS
Are Everything,../lyrics/buzzcocks/areeverything.html,Parts 1-3,1981,BUZZCOCKS
Strange Thing,../lyrics/buzzcocks/strangething.html,Parts 1-3,1981,BUZZCOCKS
What Do You Know?,../lyrics/buzzcocks/whatdoyouknow.html,Parts 1-3,1981,BUZZCOCKS
Why She's A Girl From The Chainstore,../lyrics/buzzcocks/whyshesagirlfromthechainstore.html,Parts 1-3,1981,BUZZCOCKS
Airwaves Dream,../lyrics/buzzcocks/airwavesdream.html,Parts 1-3,1981,BUZZCOCKS
Running Free,../lyrics/buzzcocks/runningfree.html,Parts 1-3,1981,BUZZCOCKS
,,Parts 1-3,1981,BUZZCOCKS
Do It,../lyrics/buzzcocks/doit.html,Trade Test Transmissions,1993,BUZZCOCKS
Innocent,../lyrics/buzzcocks/innocent.html,Trade Test Transmissions,1993,BUZZCOCKS
TTT,../lyrics/buzzcocks/ttt.html,Trade Test Transmissions,1993,BUZZCOCKS
Isolation,../lyrics/buzzcocks/isolation.html,Trade Test Transmissions,1993,BUZZCOCKS
Smile,../lyrics/buzzcocks/smile.html,Trade Test Transmissions,1993,BUZZCOCKS
Last To Know,../lyrics/buzzcocks/lasttoknow.html,Trade Test Transmissions,1993,BUZZCOCKS
When Love Turns Around,../lyrics/buzzcocks/whenloveturnsaround.html,Trade Test Transmissions,1993,BUZZCOCKS
Never Gonna Give It Up,../lyrics/buzzcocks/nevergonnagiveitup.html,Trade Test Transmissions,1993,BUZZCOCKS
Energy,../lyrics/buzzcocks/energy.html,Trade Test Transmissions,1993,BUZZCOCKS
Palm Of Your Hand,../lyrics/buzzcocks/palmofyourhand.html,Trade Test Transmissions,1993,BUZZCOCKS
Alive Tonight,../lyrics/buzzcocks/alivetonight.html,Trade Test Transmissions,1993,BUZZCOCKS
Who'll Help Me To Forget?,../lyrics/buzzcocks/whollhelpmetoforget.html,Trade Test Transmissions,1993,BUZZCOCKS
Unthinkable,../lyrics/buzzcocks/unthinkable.html,Trade Test Transmissions,1993,BUZZCOCKS
Crystal Night,../lyrics/buzzcocks/crystalnight.html,Trade Test Transmissions,1993,BUZZCOCKS
369,../lyrics/buzzcocks/369.html,Trade Test Transmissions,1993,BUZZCOCKS
All Over You,../lyrics/buzzcocks/alloveryou.html,Trade Test Transmissions,1993,BUZZCOCKS
Inside,../lyrics/buzzcocks/inside.html,Trade Test Transmissions,1993,BUZZCOCKS
,,Trade Test Transmissions,1993,BUZZCOCKS
Totally From The Heart,../lyrics/buzzcocks/totallyfromtheheart.html,All Set,1996,BUZZCOCKS
Without You,../lyrics/buzzcocks/withoutyou.html,All Set,1996,BUZZCOCKS
Give It To Me,../lyrics/buzzcocks/giveittome.html,All Set,1996,BUZZCOCKS
Your Love,../lyrics/buzzcocks/yourlove.html,All Set,1996,BUZZCOCKS
Point Of No Return,../lyrics/buzzcocks/pointofnoreturn.html,All Set,1996,BUZZCOCKS
Hold Me Close,../lyrics/buzzcocks/holdmeclose.html,All Set,1996,BUZZCOCKS
Kiss 'n' Tell,../lyrics/buzzcocks/kissntell.html,All Set,1996,BUZZCOCKS
What Am I Supposed To Do?,../lyrics/buzzcocks/whatamisupposedtodo.html,All Set,1996,BUZZCOCKS
Some Kinda Wonderful,../lyrics/buzzcocks/somekindawonderful.html,All Set,1996,BUZZCOCKS
What You Mean To Me,../lyrics/buzzcocks/whatyoumeantome.html,All Set,1996,BUZZCOCKS
Playing For Time,../lyrics/buzzcocks/playingfortime.html,All Set,1996,BUZZCOCKS
Pariah,../lyrics/buzzcocks/pariah.html,All Set,1996,BUZZCOCKS
Back With You,../lyrics/buzzcocks/backwithyou.html,All Set,1996,BUZZCOCKS
,,All Set,1996,BUZZCOCKS
Soul On A Rock,../lyrics/buzzcocks/soulonarock.html,Modern,1999,BUZZCOCKS
Rendezvous,../lyrics/buzzcocks/rendezvous.html,Modern,1999,BUZZCOCKS
Thunder Of Hearts,../lyrics/buzzcocks/thunderofhearts.html,Modern,1999,BUZZCOCKS
Why Compromise?,../lyrics/buzzcocks/whycompromise.html,Modern,1999,BUZZCOCKS
Runaround,../lyrics/buzzcocks/runaround.html,Modern,1999,BUZZCOCKS
Phone,../lyrics/buzzcocks/phone.html,Modern,1999,BUZZCOCKS
Under The Sun,../lyrics/buzzcocks/underthesun.html,Modern,1999,BUZZCOCKS
Sneaky,../lyrics/buzzcocks/sneaky.html,Modern,1999,BUZZCOCKS
Choices,../lyrics/buzzcocks/choices.html,Modern,1999,BUZZCOCKS
,,Modern,1999,BUZZCOCKS
You Tear Me Up,../lyrics/buzzcocks/youtearmeup.html,Time's Up,2000,BUZZCOCKS
Breakdown,../lyrics/buzzcocks/breakdown.html,Time's Up,2000,BUZZCOCKS
Friends Of Mine,../lyrics/buzzcocks/friendsofmine.html,Time's Up,2000,BUZZCOCKS
Orgasm Addict,../lyrics/buzzcocks/orgasmaddict.html,Time's Up,2000,BUZZCOCKS
Boredom,../lyrics/buzzcocks/boredom.html,Time's Up,2000,BUZZCOCKS
Time's Up,../lyrics/buzzcocks/timesup.html,Time's Up,2000,BUZZCOCKS
Lester Sands (Drop In The Ocean),../lyrics/buzzcocks/lestersandsdropintheocean.html,Time's Up,2000,BUZZCOCKS
Love Battery,../lyrics/buzzcocks/lovebattery.html,Time's Up,2000,BUZZCOCKS
I Can't Control Myself,../lyrics/buzzcocks/icantcontrolmyself.html,Time's Up,2000,BUZZCOCKS
"I Love You, You Big Dummy",../lyrics/buzzcocks/iloveyouyoubigdummy.html,Time's Up,2000,BUZZCOCKS
Don't Mess Me 'Round,../lyrics/buzzcocks/dontmessmeround.html,Time's Up,2000,BUZZCOCKS
,,Time's Up,2000,BUZZCOCKS
Jerk,../lyrics/buzzcocks/jerk.html,Buzzcocks,2003,BUZZCOCKS
Keep On,../lyrics/buzzcocks/keepon.html,Buzzcocks,2003,BUZZCOCKS
Wake Up Call,../lyrics/buzzcocks/wakeupcall.html,Buzzcocks,2003,BUZZCOCKS
Friends,../lyrics/buzzcocks/friends.html,Buzzcocks,2003,BUZZCOCKS
Driving You Insane,../lyrics/buzzcocks/drivingyouinsane.html,Buzzcocks,2003,BUZZCOCKS
Morning After,../lyrics/buzzcocks/morningafter.html,Buzzcocks,2003,BUZZCOCKS
Sick City Sometimes,../lyrics/buzzcocks/sickcitysometimes.html,Buzzcocks,2003,BUZZCOCKS
Stars,../lyrics/buzzcocks/stars.html,Buzzcocks,2003,BUZZCOCKS
Certain Move,../lyrics/buzzcocks/certainmove.html,Buzzcocks,2003,BUZZCOCKS
Lester Sands,../lyrics/buzzcocks/lestersands.html,Buzzcocks,2003,BUZZCOCKS
Up For The Crack,../lyrics/buzzcocks/upforthecrack.html,Buzzcocks,2003,BUZZCOCKS
Useless,../lyrics/buzzcocks/useless.html,Buzzcocks,2003,BUZZCOCKS
,,Buzzcocks,2003,BUZZCOCKS
Flat-Pack Philosophy,../lyrics/buzzcocks/flatpackphilosophy.html,Flat-Pack Philosophy,2006,BUZZCOCKS
Wish I Never Loved You,../lyrics/buzzcocks/wishineverlovedyou.html,Flat-Pack Philosophy,2006,BUZZCOCKS
Sell You Everything,../lyrics/buzzcocks/sellyoueverything.html,Flat-Pack Philosophy,2006,BUZZCOCKS
