song,link,album,year,artist
My Mistake,../lyrics/cam/mymistake.html,Welcome To Cam Country,2015,CAM
Burning House,../lyrics/cam/burninghouse.html,Welcome To Cam Country,2015,CAM
Half Broke Heart,../lyrics/cam/halfbrokeheart.html,Welcome To Cam Country,2015,CAM
Runaway Train,../lyrics/cam/runawaytrain.html,Welcome To Cam Country,2015,CAM
,,Welcome To Cam Country,2015,CAM
Untamed,../lyrics/cam/untamed.html,Untamed,2015,CAM
Hungover On Heartache,../lyrics/cam/hungoveronheartache.html,Untamed,2015,CAM
Mayday,../lyrics/cam/mayday.html,Untamed,2015,CAM
Burning House,../lyrics/cam/burninghouse.html,Untamed,2015,CAM
Cold In California,../lyrics/cam/coldincalifornia.html,Untamed,2015,CAM
My Mistake,../lyrics/cam/mymistake.html,Untamed,2015,CAM
Runaway Train,../lyrics/cam/runawaytrain.html,Untamed,2015,CAM
Half Broke Heart,../lyrics/cam/halfbrokeheart.html,Untamed,2015,CAM
Want It All,../lyrics/cam/wantitall.html,Untamed,2015,CAM
Country Ain't Never Been Pretty,../lyrics/cam/countryaintneverbeenpretty.html,Untamed,2015,CAM
Village,../lyrics/cam/village.html,Untamed,2015,CAM
