song,link,album,year,artist
Ended With The Night,../lyrics/caravanpalace/endedwiththenight.html,Caravan Palace,2008,CARAVAN PALACE
Jolie Coquine,../lyrics/caravanpalace/joliecoquine.html,Caravan Palace,2008,CARAVAN PALACE
Oooh,../lyrics/caravanpalace/oooh.html,Caravan Palace,2008,CARAVAN PALACE
Suzy,../lyrics/caravanpalace/suzy.html,Caravan Palace,2008,CARAVAN PALACE
Brotherswing,../lyrics/caravanpalace/brotherswing.html,Caravan Palace,2008,CARAVAN PALACE
Bambous,../lyrics/caravanpalace/bambous.html,Caravan Palace,2008,CARAVAN PALACE
We Can Dance,../lyrics/caravanpalace/wecandance.html,Caravan Palace,2008,CARAVAN PALACE
La Caravane,../lyrics/caravanpalace/lacaravane.html,Caravan Palace,2008,CARAVAN PALACE
,,Caravan Palace,2008,CARAVAN PALACE
Queens,../lyrics/caravanpalace/queens.html,Panic,2012,CARAVAN PALACE
Maniac,../lyrics/caravanpalace/maniac.html,Panic,2012,CARAVAN PALACE
Rock It For Me,../lyrics/caravanpalace/rockitforme.html,Panic,2012,CARAVAN PALACE
Clash,../lyrics/caravanpalace/clash.html,Panic,2012,CARAVAN PALACE
Newbop,../lyrics/caravanpalace/newbop.html,Panic,2012,CARAVAN PALACE
Dramophone,../lyrics/caravanpalace/dramophone.html,Panic,2012,CARAVAN PALACE
Cotton Heads,../lyrics/caravanpalace/cottonheads.html,Panic,2012,CARAVAN PALACE
Panic,../lyrics/caravanpalace/panic.html,Panic,2012,CARAVAN PALACE
Pirates,../lyrics/caravanpalace/pirates.html,Panic,2012,CARAVAN PALACE
Beatophone,../lyrics/caravanpalace/beatophone.html,Panic,2012,CARAVAN PALACE
Sydney,../lyrics/caravanpalace/sydney.html,Panic,2012,CARAVAN PALACE
,,Panic,2012,CARAVAN PALACE
Lone Digger,../lyrics/caravanpalace/lonedigger.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Comics,../lyrics/caravanpalace/comics.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Mighty,../lyrics/caravanpalace/mighty.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Wonderland,../lyrics/caravanpalace/wonderland.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Tattoos,../lyrics/caravanpalace/tattoos.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Midnight,../lyrics/caravanpalace/midnight.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Russian,../lyrics/caravanpalace/russian.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Wonda,../lyrics/caravanpalace/wonda.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Human Leather Shoes For Crocodile Dandies,../lyrics/caravanpalace/humanleathershoesforcrocodiledandies.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Lay Down,../lyrics/caravanpalace/laydown.html,<IÂ°_Â°I>,2015,CARAVAN PALACE
Black Betty,../lyrics/caravanpalace/blackbetty.html,,,CARAVAN PALACE
