song,link,album,year,artist
Wild Love,../lyrics/cashmerecat/wildlove.html,Wild Love,2016,CASHMERE CAT
808 Party,../lyrics/cashmerecat/808party.html,Wild Love,2016,CASHMERE CAT
Fallin',../lyrics/cashmerecat/fallin.html,Wild Love,2016,CASHMERE CAT
All Night,../lyrics/cashmerecat/allnight.html,Wild Love,2016,CASHMERE CAT
Sorry Things Ain't Work Out,../lyrics/cashmerecat/sorrythingsaintworkout.html,Wild Love,2016,CASHMERE CAT
Throw Myself A Party,../lyrics/cashmerecat/throwmyselfaparty.html,Wild Love,2016,CASHMERE CAT
Waterfall,../lyrics/cashmerecat/waterfall.html,Wild Love,2016,CASHMERE CAT
Who Do,../lyrics/cashmerecat/whodo.html,Wild Love,2016,CASHMERE CAT
After Coachella,../lyrics/cashmerecat/aftercoachella.html,Wild Love,2016,CASHMERE CAT
Trust Nobody,../lyrics/cashmerecat/trustnobody.html,Wild Love,2016,CASHMERE CAT
Adore,../lyrics/cashmerecat/adore520624.html,Wild Love,2016,CASHMERE CAT
Adore,../lyrics/cashmerecat/adore.html,,,CASHMERE CAT
Love Incredible,../lyrics/cashmerecat/loveincredible.html,,,CASHMERE CAT
