song,link,album,year,artist
Champagne,../lyrics/cavo/champagne.html,Bright Nights Dark Days,2009,CAVO
Crash,../lyrics/cavo/crash.html,Bright Nights Dark Days,2009,CAVO
Let It Go,../lyrics/cavo/letitgo.html,Bright Nights Dark Days,2009,CAVO
Cry Wolf,../lyrics/cavo/crywolf.html,Bright Nights Dark Days,2009,CAVO
Ghost,../lyrics/cavo/ghost.html,Bright Nights Dark Days,2009,CAVO
Blame,../lyrics/cavo/blame.html,Bright Nights Dark Days,2009,CAVO
My Little Secret,../lyrics/cavo/mylittlesecret.html,Bright Nights Dark Days,2009,CAVO
Beautiful,../lyrics/cavo/beautiful.html,Bright Nights Dark Days,2009,CAVO
We All Fall Down,../lyrics/cavo/weallfalldown.html,Bright Nights Dark Days,2009,CAVO
Over Again,../lyrics/cavo/overagain.html,Bright Nights Dark Days,2009,CAVO
Useless,../lyrics/cavo/useless.html,Bright Nights Dark Days,2009,CAVO
,,Bright Nights Dark Days,2009,CAVO
Thick As Thieves,../lyrics/cavo/thickasthieves.html,Thick As Thieves,2012,CAVO
Give It Away,../lyrics/cavo/giveitaway.html,Thick As Thieves,2012,CAVO
Hold Your Ground,../lyrics/cavo/holdyourground.html,Thick As Thieves,2012,CAVO
California,../lyrics/cavo/california.html,Thick As Thieves,2012,CAVO
Circles,../lyrics/cavo/circles.html,Thick As Thieves,2012,CAVO
Celebrity,../lyrics/cavo/celebrity.html,Thick As Thieves,2012,CAVO
Never Gonna Hurt,../lyrics/cavo/nevergonnahurt.html,Thick As Thieves,2012,CAVO
War Within,../lyrics/cavo/warwithin.html,Thick As Thieves,2012,CAVO
Last Day,../lyrics/cavo/lastday.html,Thick As Thieves,2012,CAVO
Run,../lyrics/cavo/run.html,Thick As Thieves,2012,CAVO
Southern Smile,../lyrics/cavo/southernsmile.html,Thick As Thieves,2012,CAVO
,,Thick As Thieves,2012,CAVO
Nights,../lyrics/cavo/nights.html,Bridges,2016,CAVO
Just Like You Want It,../lyrics/cavo/justlikeyouwantit.html,Bridges,2016,CAVO
Stay,../lyrics/cavo/stay.html,Bridges,2016,CAVO
She Don't Care,../lyrics/cavo/shedontcare.html,Bridges,2016,CAVO
On Your Own,../lyrics/cavo/onyourown.html,Bridges,2016,CAVO
Get Away,../lyrics/cavo/getaway.html,Bridges,2016,CAVO
Fight This War,../lyrics/cavo/fightthiswar.html,Bridges,2016,CAVO
Weather Rolls,../lyrics/cavo/weatherrolls.html,Bridges,2016,CAVO
Traitor,../lyrics/cavo/traitor.html,Bridges,2016,CAVO
Cynical,../lyrics/cavo/cynical.html,Bridges,2016,CAVO
Straight To The Bottom,../lyrics/cavo/straighttothebottom.html,Bridges,2016,CAVO
Take Me Home,../lyrics/cavo/takemehome.html,Bridges,2016,CAVO
Disappear,../lyrics/cavo/disappear.html,,,CAVO
Gone,../lyrics/cavo/gone.html,,,CAVO
Hard To Believe,../lyrics/cavo/hardtobelieve.html,,,CAVO
In A Moment,../lyrics/cavo/inamoment.html,,,CAVO
Into The Night,../lyrics/cavo/intothenight.html,,,CAVO
Waiting For Silence,../lyrics/cavo/waitingforsilence.html,,,CAVO
