song,link,album,year,artist
Heartland,../lyrics/celticthunder/heartland.html,Celtic Thunder,2008,CELTIC THUNDER
The Mountains Of Mourne,../lyrics/celticthunder/themountainsofmourne.html,Celtic Thunder,2008,CELTIC THUNDER
The Voyage,../lyrics/celticthunder/thevoyage.html,Celtic Thunder,2008,CELTIC THUNDER
Come By The Hills (Buachaill On Eirne),../lyrics/celticthunder/comebythehillsbuachailloneirne.html,Celtic Thunder,2008,CELTIC THUNDER
Remember Me (Recuerdame),../lyrics/celticthunder/remembermerecuerdame.html,Celtic Thunder,2008,CELTIC THUNDER
Desperado,../lyrics/celticthunder/desperado.html,Celtic Thunder,2008,CELTIC THUNDER
Steal Away,../lyrics/celticthunder/stealaway.html,Celtic Thunder,2008,CELTIC THUNDER
The Island,../lyrics/celticthunder/theisland.html,Celtic Thunder,2008,CELTIC THUNDER
The Old Man,../lyrics/celticthunder/theoldman.html,Celtic Thunder,2008,CELTIC THUNDER
Brothers In Arms,../lyrics/celticthunder/brothersinarms.html,Celtic Thunder,2008,CELTIC THUNDER
Lauren & I,../lyrics/celticthunder/laureni.html,Celtic Thunder,2008,CELTIC THUNDER
She,../lyrics/celticthunder/she.html,Celtic Thunder,2008,CELTIC THUNDER
Ireland's Call,../lyrics/celticthunder/irelandscall.html,Celtic Thunder,2008,CELTIC THUNDER
Puppy Love,../lyrics/celticthunder/puppylove.html,Celtic Thunder,2008,CELTIC THUNDER
,,Celtic Thunder,2008,CELTIC THUNDER
Ride On,../lyrics/celticthunder/rideon.html,Act Two,2008,CELTIC THUNDER
A Bird Without Wings,../lyrics/celticthunder/abirdwithoutwings.html,Act Two,2008,CELTIC THUNDER
My Boy,../lyrics/celticthunder/myboy.html,Act Two,2008,CELTIC THUNDER
Raggle Taggle Gypsy,../lyrics/celticthunder/raggletagglegypsy.html,Act Two,2008,CELTIC THUNDER
Love Thee Dearest,../lyrics/celticthunder/lovetheedearest.html,Act Two,2008,CELTIC THUNDER
I Wanna Know What Love Is,../lyrics/celticthunder/iwannaknowwhatloveis.html,Act Two,2008,CELTIC THUNDER
Heartbreaker,../lyrics/celticthunder/heartbreaker.html,Act Two,2008,CELTIC THUNDER
Mull Of Kintyre,../lyrics/celticthunder/mullofkintyre.html,Act Two,2008,CELTIC THUNDER
Nights In White Satin,../lyrics/celticthunder/nightsinwhitesatin.html,Act Two,2008,CELTIC THUNDER
Yesterday's Men,../lyrics/celticthunder/yesterdaysmen.html,Act Two,2008,CELTIC THUNDER
That's A Woman,../lyrics/celticthunder/thatsawoman.html,Act Two,2008,CELTIC THUNDER
Danny Boy,../lyrics/celticthunder/dannyboy.html,Act Two,2008,CELTIC THUNDER
Caledonia,../lyrics/celticthunder/caledonia.html,Act Two,2008,CELTIC THUNDER
Heartland,../lyrics/celticthunder/heartland.html,Act Two,2008,CELTIC THUNDER
Castles In The Air,../lyrics/celticthunder/castlesintheair.html,Act Two,2008,CELTIC THUNDER
Christmas 1915,../lyrics/celticthunder/christmas1915.html,Act Two,2008,CELTIC THUNDER
,,Act Two,2008,CELTIC THUNDER
The Homes Of Donegal,../lyrics/celticthunder/thehomesofdonegal.html,Take Me Home,2009,CELTIC THUNDER
Working Man,../lyrics/celticthunder/workingman.html,Take Me Home,2009,CELTIC THUNDER
Every Breath You Take,../lyrics/celticthunder/everybreathyoutake.html,Take Me Home,2009,CELTIC THUNDER
Happy Birthday Sweet Sixteen,../lyrics/celticthunder/happybirthdaysweetsixteen.html,Take Me Home,2009,CELTIC THUNDER
Steal Away,../lyrics/celticthunder/stealaway.html,Take Me Home,2009,CELTIC THUNDER
Because We Believe,../lyrics/celticthunder/becausewebelieve.html,Take Me Home,2009,CELTIC THUNDER
Wichita Lineman,../lyrics/celticthunder/wichitalineman.html,Take Me Home,2009,CELTIC THUNDER
