song,link,album,year,artist
Pursuit Of Happiness,../lyrics/chanelwestcoast/pursuitofhappiness.html,Now You Know,2013,CHANEL WEST COAST
Karl,../lyrics/chanelwestcoast/karl.html,Now You Know,2013,CHANEL WEST COAST
Been On,../lyrics/chanelwestcoast/beenon.html,Now You Know,2013,CHANEL WEST COAST
Mazel Tov,../lyrics/chanelwestcoast/mazeltov.html,Now You Know,2013,CHANEL WEST COAST
Ain't Got To Worry,../lyrics/chanelwestcoast/aintgottoworry.html,Now You Know,2013,CHANEL WEST COAST
Pushin,../lyrics/chanelwestcoast/pushin.html,Now You Know,2013,CHANEL WEST COAST
Alcoholic,../lyrics/chanelwestcoast/alcoholic.html,Now You Know,2013,CHANEL WEST COAST
Party,../lyrics/chanelwestcoast/party.html,Now You Know,2013,CHANEL WEST COAST
Explosions,../lyrics/chanelwestcoast/explosions.html,Now You Know,2013,CHANEL WEST COAST
Punch Drunk Love,../lyrics/chanelwestcoast/punchdrunklove.html,Now You Know,2013,CHANEL WEST COAST
Without You,../lyrics/chanelwestcoast/withoutyou.html,Now You Know,2013,CHANEL WEST COAST
Greatest Hit,../lyrics/chanelwestcoast/greatesthit.html,Now You Know,2013,CHANEL WEST COAST
Bigger Than,../lyrics/chanelwestcoast/biggerthan.html,Now You Know,2013,CHANEL WEST COAST
Nada,../lyrics/chanelwestcoast/nada.html,Now You Know,2013,CHANEL WEST COAST
Put In Work,../lyrics/chanelwestcoast/putinwork.html,Now You Know,2013,CHANEL WEST COAST
Love You Down,../lyrics/chanelwestcoast/loveyoudown.html,Now You Know,2013,CHANEL WEST COAST
Power Of Love,../lyrics/chanelwestcoast/poweroflove.html,Now You Know,2013,CHANEL WEST COAST
,,Now You Know,2013,CHANEL WEST COAST
Looking Forward,../lyrics/chanelwestcoast/lookingforward.html,Waves,2015,CHANEL WEST COAST
I Like New,../lyrics/chanelwestcoast/ilikenew.html,Waves,2015,CHANEL WEST COAST
Tinted Windows,../lyrics/chanelwestcoast/tintedwindows.html,Waves,2015,CHANEL WEST COAST
Waves,../lyrics/chanelwestcoast/waves.html,Waves,2015,CHANEL WEST COAST
Cookie,../lyrics/chanelwestcoast/cookie.html,,,CHANEL WEST COAST
Creepin,../lyrics/chanelwestcoast/creepin.html,,,CHANEL WEST COAST
Dirty Beatz,../lyrics/chanelwestcoast/dirtybeatz.html,,,CHANEL WEST COAST
Don't Give A Fuck,../lyrics/chanelwestcoast/dontgiveafuck.html,,,CHANEL WEST COAST
DTK (Dress To Kill),../lyrics/chanelwestcoast/dtkdresstokill.html,,,CHANEL WEST COAST
Hittin' Like,../lyrics/chanelwestcoast/hittinlike.html,,,CHANEL WEST COAST
I Love Money,../lyrics/chanelwestcoast/ilovemoney.html,,,CHANEL WEST COAST
I Made It,../lyrics/chanelwestcoast/imadeit.html,,,CHANEL WEST COAST
I'm Done,../lyrics/chanelwestcoast/imdone.html,,,CHANEL WEST COAST
Keep Spinning,../lyrics/chanelwestcoast/keepspinning.html,,,CHANEL WEST COAST
Man Of My Dreams,../lyrics/chanelwestcoast/manofmydreams.html,,,CHANEL WEST COAST
Miles And Miles,../lyrics/chanelwestcoast/milesandmiles.html,,,CHANEL WEST COAST
New Feeling,../lyrics/chanelwestcoast/newfeeling.html,,,CHANEL WEST COAST
Sinister,../lyrics/chanelwestcoast/sinister.html,,,CHANEL WEST COAST
Switches,../lyrics/chanelwestcoast/switches.html,,,CHANEL WEST COAST
Tease,../lyrics/chanelwestcoast/tease.html,,,CHANEL WEST COAST
West Coast (Remix),../lyrics/chanelwestcoast/westcoastremix.html,,,CHANEL WEST COAST
