song,link,album,year,artist
You're Not Very Well,../lyrics/charlatans/yourenotverywell.html,Some Friendly,1990,"CHARLATANS, THE"
White Shirt,../lyrics/charlatans/whiteshirt.html,Some Friendly,1990,"CHARLATANS, THE"
The Only One I Know,../lyrics/charlatans/theonlyoneiknow.html,Some Friendly,1990,"CHARLATANS, THE"
Opportunity,../lyrics/charlatans/opportunity.html,Some Friendly,1990,"CHARLATANS, THE"
Then,../lyrics/charlatans/then.html,Some Friendly,1990,"CHARLATANS, THE"
Polar Bear,../lyrics/charlatans/polarbear.html,Some Friendly,1990,"CHARLATANS, THE"
Believe You Me,../lyrics/charlatans/believeyoume.html,Some Friendly,1990,"CHARLATANS, THE"
Flower,../lyrics/charlatans/flower.html,Some Friendly,1990,"CHARLATANS, THE"
Sonic,../lyrics/charlatans/sonic.html,Some Friendly,1990,"CHARLATANS, THE"
Sproston Green,../lyrics/charlatans/sprostongreen.html,Some Friendly,1990,"CHARLATANS, THE"
You Can Talk To Me,../lyrics/charlatans/youcantalktome.html,Some Friendly,1990,"CHARLATANS, THE"
Indian Rope,../lyrics/charlatans/indianrope.html,Some Friendly,1990,"CHARLATANS, THE"
Over Rising,../lyrics/charlatans/overrising.html,Some Friendly,1990,"CHARLATANS, THE"
Happen To Die,../lyrics/charlatans/happentodie.html,Some Friendly,1990,"CHARLATANS, THE"
,,Some Friendly,1990,"CHARLATANS, THE"
I Don't Want To See The Sights,../lyrics/charlatans/idontwanttoseethesights.html,Between 10th and 11th,1992,"CHARLATANS, THE"
Ignition,../lyrics/charlatans/ignition.html,Between 10th and 11th,1992,"CHARLATANS, THE"
Page One,../lyrics/charlatans/pageone.html,Between 10th and 11th,1992,"CHARLATANS, THE"
Tremelo Song,../lyrics/charlatans/tremelosong.html,Between 10th and 11th,1992,"CHARLATANS, THE"
The End Of Everything,../lyrics/charlatans/theendofeverything.html,Between 10th and 11th,1992,"CHARLATANS, THE"
Subtitle,../lyrics/charlatans/subtitle.html,Between 10th and 11th,1992,"CHARLATANS, THE"
Can't Even Be Bothered,../lyrics/charlatans/cantevenbebothered.html,Between 10th and 11th,1992,"CHARLATANS, THE"
Weirdo,../lyrics/charlatans/weirdo.html,Between 10th and 11th,1992,"CHARLATANS, THE"
Chewing Gum Weekend,../lyrics/charlatans/chewinggumweekend.html,Between 10th and 11th,1992,"CHARLATANS, THE"
(No One) Not Even The Rain,../lyrics/charlatans/noonenoteventherain.html,Between 10th and 11th,1992,"CHARLATANS, THE"
,,Between 10th and 11th,1992,"CHARLATANS, THE"
Come In Number 21,../lyrics/charlatans/comeinnumber21.html,Up To Our Hips,1994,"CHARLATANS, THE"
I Never Want An Easy Life If Me & He Were Ever To Get There,../lyrics/charlatans/ineverwantaneasylifeifmehewereevertogetthere.html,Up To Our Hips,1994,"CHARLATANS, THE"
Can't Get Out Of Bed,../lyrics/charlatans/cantgetoutofbed.html,Up To Our Hips,1994,"CHARLATANS, THE"
Autograph,../lyrics/charlatans/autograph.html,Up To Our Hips,1994,"CHARLATANS, THE"
Jesus Hairdo,../lyrics/charlatans/jesushairdo.html,Up To Our Hips,1994,"CHARLATANS, THE"
Up To Our Hips,../lyrics/charlatans/uptoourhips.html,Up To Our Hips,1994,"CHARLATANS, THE"
Patrol,../lyrics/charlatans/patrol.html,Up To Our Hips,1994,"CHARLATANS, THE"
Another Rider Up In Flames,../lyrics/charlatans/anotherriderupinflames.html,Up To Our Hips,1994,"CHARLATANS, THE"
Inside-Looking Out,../lyrics/charlatans/insidelookingout.html,Up To Our Hips,1994,"CHARLATANS, THE"
,,Up To Our Hips,1994,"CHARLATANS, THE"
Nine Acre Court,../lyrics/charlatans/nineacrecourt.html,The Charlatans,1995,"CHARLATANS, THE"
Feeling Holy,../lyrics/charlatans/feelingholy.html,The Charlatans,1995,"CHARLATANS, THE"
Just Lookin',../lyrics/charlatans/justlookin.html,The Charlatans,1995,"CHARLATANS, THE"
Crashin' In,../lyrics/charlatans/crashinin.html,The Charlatans,1995,"CHARLATANS, THE"
