song,link,album,year,artist
Blame It On The Beer,../lyrics/chaserice/blameitonthebeer.html,Friday Nights & Sunday Mornings,2010,CHASE RICE
Country 'til I'm Dead,../lyrics/chaserice/countrytilimdead.html,Friday Nights & Sunday Mornings,2010,CHASE RICE
Friday Nights & Sunday Mornings,../lyrics/chaserice/fridaynightssundaymornings.html,Friday Nights & Sunday Mornings,2010,CHASE RICE
Larger Than Life,../lyrics/chaserice/largerthanlife.html,Friday Nights & Sunday Mornings,2010,CHASE RICE
Maybe She's In Texas,../lyrics/chaserice/maybeshesintexas.html,Friday Nights & Sunday Mornings,2010,CHASE RICE
,,Friday Nights & Sunday Mornings,2010,CHASE RICE
Heathens In The Evenin',../lyrics/chaserice/heathensintheevenin.html,Country As Me,2011,CHASE RICE
Buzz Back,../lyrics/chaserice/buzzback.html,Country As Me,2011,CHASE RICE
My Old Man,../lyrics/chaserice/myoldman.html,Country As Me,2011,CHASE RICE
Country As Me,../lyrics/chaserice/countryasme.html,Country As Me,2011,CHASE RICE
Beats A Million Bucks,../lyrics/chaserice/beatsamillionbucks.html,Country As Me,2011,CHASE RICE
,,Country As Me,2011,CHASE RICE
Dirt Road Communion,../lyrics/chaserice/dirtroadcommunion.html,Dirt Road Communion,2012,CHASE RICE
How She Rolls,../lyrics/chaserice/howsherolls.html,Dirt Road Communion,2012,CHASE RICE
The Little Things,../lyrics/chaserice/thelittlethings.html,Dirt Road Communion,2012,CHASE RICE
PBJ's & PBR's,../lyrics/chaserice/pbjspbrs.html,Dirt Road Communion,2012,CHASE RICE
Whoa,../lyrics/chaserice/whoa.html,Dirt Road Communion,2012,CHASE RICE
Room 205,../lyrics/chaserice/room205.html,Dirt Road Communion,2012,CHASE RICE
Pop A Top Off (Good Time On),../lyrics/chaserice/popatopoffgoodtimeon.html,Dirt Road Communion,2012,CHASE RICE
Shades Of Green,../lyrics/chaserice/shadesofgreen.html,Dirt Road Communion,2012,CHASE RICE
You Ain't Livin' Yet,../lyrics/chaserice/youaintlivinyet.html,Dirt Road Communion,2012,CHASE RICE
Country Boy's Kryptonite,../lyrics/chaserice/countryboyskryptonite.html,Dirt Road Communion,2012,CHASE RICE
Every Song I Sing,../lyrics/chaserice/everysongising.html,Dirt Road Communion,2012,CHASE RICE
Only A Country Girl,../lyrics/chaserice/onlyacountrygirl.html,Dirt Road Communion,2012,CHASE RICE
"I Like Drinking, Cause It's Fun",../lyrics/chaserice/ilikedrinkingcauseitsfun.html,Dirt Road Communion,2012,CHASE RICE
Shakin' The Wheels,../lyrics/chaserice/shakinthewheels.html,Dirt Road Communion,2012,CHASE RICE
Jack Daniels & Jesus,../lyrics/chaserice/jackdanielsjesus.html,Dirt Road Communion,2012,CHASE RICE
Happy Hour (Worktape),../lyrics/chaserice/happyhourworktape.html,Dirt Road Communion,2012,CHASE RICE
,,Dirt Road Communion,2012,CHASE RICE
Ready Set Roll,../lyrics/chaserice/readysetroll.html,Ready Set Roll,2013,CHASE RICE
Party Up,../lyrics/chaserice/partyup.html,Ready Set Roll,2013,CHASE RICE
Country In Ya,../lyrics/chaserice/countryinya.html,Ready Set Roll,2013,CHASE RICE
Look At My Truck,../lyrics/chaserice/lookatmytruck.html,Ready Set Roll,2013,CHASE RICE
Best Beers Of Our Lives,../lyrics/chaserice/bestbeersofourlives.html,Ready Set Roll,2013,CHASE RICE
How She Rolls,../lyrics/chaserice/howsherolls.html,Ready Set Roll,2013,CHASE RICE
,,Ready Set Roll,2013,CHASE RICE
Ready Set Roll,../lyrics/chaserice/readysetroll.html,Ignite The Night,2014,CHASE RICE
Do It Like This,../lyrics/chaserice/doitlikethis.html,Ignite The Night,2014,CHASE RICE
Beach Town,../lyrics/chaserice/beachtown.html,Ignite The Night,2014,CHASE RICE
MMM Girl,../lyrics/chaserice/mmmgirl.html,Ignite The Night,2014,CHASE RICE
Beer With The Boys,../lyrics/chaserice/beerwiththeboys.html,Ignite The Night,2014,CHASE RICE
Carolina Can,../lyrics/chaserice/carolinacan.html,Ignite The Night,2014,CHASE RICE
We Goin' Out,../lyrics/chaserice/wegoinout.html,Ignite The Night,2014,CHASE RICE
Gonna Wanna Tonight,../lyrics/chaserice/gonnawannatonight.html,Ignite The Night,2014,CHASE RICE
Look At My Truck,../lyrics/chaserice/lookatmytruck.html,Ignite The Night,2014,CHASE RICE
U Turn,../lyrics/chaserice/uturn.html,Ignite The Night,2014,CHASE RICE
50 Shades Of Crazy,../lyrics/chaserice/50shadesofcrazy.html,Ignite The Night,2014,CHASE RICE
What's Your Name,../lyrics/chaserice/whatsyourname.html,Ignite The Night,2014,CHASE RICE
How She Rolls,../lyrics/chaserice/howsherolls.html,Ignite The Night,2014,CHASE RICE
Jack Daniels & Jesus,../lyrics/chaserice/jackdanielsjesus.html,Ignite The Night,2014,CHASE RICE
Party Up,../lyrics/chaserice/partyup.html,Ignite The Night,2014,CHASE RICE
Country In Ya,../lyrics/chaserice/countryinya.html,Ignite The Night,2014,CHASE RICE
Best Beers Of Our Lives,../lyrics/chaserice/bestbeersofourlives.html,Ignite The Night,2014,CHASE RICE
Ride,../lyrics/chaserice/ride.html,Ignite The Night,2014,CHASE RICE
Boy Into A Man,../lyrics/chaserice/boyintoaman.html,,,CHASE RICE
Comin' Home With Me,../lyrics/chaserice/cominhomewithme.html,,,CHASE RICE
Everybody We Know Does,../lyrics/chaserice/everybodyweknowdoes.html,,,CHASE RICE
Girls Of The Sec,../lyrics/chaserice/girlsofthesec.html,,,CHASE RICE
Whisper,../lyrics/chaserice/whisper.html,,,CHASE RICE
