song,link,album,year,artist
Avenida Revolution,../lyrics/chickenfoot/avenidarevolution.html,Chickenfoot,2009,CHICKENFOOT
Soap On A Rope,../lyrics/chickenfoot/soaponarope.html,Chickenfoot,2009,CHICKENFOOT
Sexy Little Thing,../lyrics/chickenfoot/sexylittlething.html,Chickenfoot,2009,CHICKENFOOT
Oh Yeah,../lyrics/chickenfoot/ohyeah.html,Chickenfoot,2009,CHICKENFOOT
Runnin' Out,../lyrics/chickenfoot/runninout.html,Chickenfoot,2009,CHICKENFOOT
Get It Up,../lyrics/chickenfoot/getitup.html,Chickenfoot,2009,CHICKENFOOT
Down The Drain,../lyrics/chickenfoot/downthedrain.html,Chickenfoot,2009,CHICKENFOOT
My Kinda Girl,../lyrics/chickenfoot/mykindagirl.html,Chickenfoot,2009,CHICKENFOOT
Learning To Fall,../lyrics/chickenfoot/learningtofall.html,Chickenfoot,2009,CHICKENFOOT
Turnin' Left,../lyrics/chickenfoot/turninleft.html,Chickenfoot,2009,CHICKENFOOT
Future In The Past,../lyrics/chickenfoot/futureinthepast.html,Chickenfoot,2009,CHICKENFOOT
Bitten By The Wolf,../lyrics/chickenfoot/bittenbythewolf.html,Chickenfoot,2009,CHICKENFOOT
,,Chickenfoot,2009,CHICKENFOOT
Last Temptation,../lyrics/chickenfoot/lasttemptation.html,Chickenfoot III,2011,CHICKENFOOT
"Alright, Alright",../lyrics/chickenfoot/alrightalright.html,Chickenfoot III,2011,CHICKENFOOT
Different Devil,../lyrics/chickenfoot/differentdevil.html,Chickenfoot III,2011,CHICKENFOOT
Up Next,../lyrics/chickenfoot/upnext.html,Chickenfoot III,2011,CHICKENFOOT
Lighten Up,../lyrics/chickenfoot/lightenup.html,Chickenfoot III,2011,CHICKENFOOT
Come Closer,../lyrics/chickenfoot/comecloser.html,Chickenfoot III,2011,CHICKENFOOT
Three And A Half Letters,../lyrics/chickenfoot/threeandahalfletters.html,Chickenfoot III,2011,CHICKENFOOT
Big Foot,../lyrics/chickenfoot/bigfoot.html,Chickenfoot III,2011,CHICKENFOOT
Dubai Blues,../lyrics/chickenfoot/dubaiblues.html,Chickenfoot III,2011,CHICKENFOOT
Something's Gone Wrong,../lyrics/chickenfoot/somethingsgonewrong.html,Chickenfoot III,2011,CHICKENFOOT
Divine Termination,../lyrics/chickenfoot/divinetermination.html,,,CHICKENFOOT
