song,link,album,year,artist
Easy (Intro),../lyrics/childishgambino/easyintro.html,Sick Boi,2008,CHILDISH GAMBINO
Fire,../lyrics/childishgambino/fire.html,Sick Boi,2008,CHILDISH GAMBINO
I'm A Winner,../lyrics/childishgambino/imawinner.html,Sick Boi,2008,CHILDISH GAMBINO
Tru Dudes,../lyrics/childishgambino/trududes.html,Sick Boi,2008,CHILDISH GAMBINO
Red Alert,../lyrics/childishgambino/redalert.html,Sick Boi,2008,CHILDISH GAMBINO
Love Is Crazy,../lyrics/childishgambino/loveiscrazy.html,Sick Boi,2008,CHILDISH GAMBINO
My Hoodie,../lyrics/childishgambino/myhoodie.html,Sick Boi,2008,CHILDISH GAMBINO
Fresh,../lyrics/childishgambino/fresh.html,Sick Boi,2008,CHILDISH GAMBINO
Till I Die,../lyrics/childishgambino/tillidie.html,Sick Boi,2008,CHILDISH GAMBINO
So Sick Wit It,../lyrics/childishgambino/sosickwitit.html,Sick Boi,2008,CHILDISH GAMBINO
Assassins,../lyrics/childishgambino/assassins.html,Sick Boi,2008,CHILDISH GAMBINO
Baby Doll,../lyrics/childishgambino/babydoll.html,Sick Boi,2008,CHILDISH GAMBINO
,,Sick Boi,2008,CHILDISH GAMBINO
Extraordinary,../lyrics/childishgambino/extraordinary.html,Poindexter,2009,CHILDISH GAMBINO
So Much Better,../lyrics/childishgambino/somuchbetter.html,Poindexter,2009,CHILDISH GAMBINO
Phat People,../lyrics/childishgambino/phatpeople.html,Poindexter,2009,CHILDISH GAMBINO
The Awesome,../lyrics/childishgambino/theawesome.html,Poindexter,2009,CHILDISH GAMBINO
Yes,../lyrics/childishgambino/yes.html,Poindexter,2009,CHILDISH GAMBINO
Hawk Jones,../lyrics/childishgambino/hawkjones.html,Poindexter,2009,CHILDISH GAMBINO
Almost There,../lyrics/childishgambino/almostthere.html,Poindexter,2009,CHILDISH GAMBINO
Hollerin',../lyrics/childishgambino/hollerin.html,Poindexter,2009,CHILDISH GAMBINO
My Name Bam-B,../lyrics/childishgambino/mynamebamb.html,Poindexter,2009,CHILDISH GAMBINO
Grind,../lyrics/childishgambino/grind.html,Poindexter,2009,CHILDISH GAMBINO
The Rocker,../lyrics/childishgambino/therocker.html,Poindexter,2009,CHILDISH GAMBINO
Starlight,../lyrics/childishgambino/starlight.html,Poindexter,2009,CHILDISH GAMBINO
Sunshine,../lyrics/childishgambino/sunshine.html,Poindexter,2009,CHILDISH GAMBINO
,,Poindexter,2009,CHILDISH GAMBINO
New Prince (Crown On The Ground),../lyrics/childishgambino/newprincecrownontheground.html,I Am Just A Rapper,2010,CHILDISH GAMBINO
"Bitch, Look At Me Now (Two Weeks)",../lyrics/childishgambino/bitchlookatmenowtwoweeks.html,I Am Just A Rapper,2010,CHILDISH GAMBINO
49ers (Orange Shirt),../lyrics/childishgambino/49ersorangeshirt.html,I Am Just A Rapper,2010,CHILDISH GAMBINO
My Girls (My Girls),../lyrics/childishgambino/mygirlsmygirls.html,I Am Just A Rapper,2010,CHILDISH GAMBINO
I Can Hear Your Feet (Sunrise),../lyrics/childishgambino/icanhearyourfeetsunrise.html,I Am Just A Rapper,2010,CHILDISH GAMBINO
The Truth (Goth Star),../lyrics/childishgambino/thetruthgothstar.html,I Am Just A Rapper,2010,CHILDISH GAMBINO
I Love Clothes (Deadbeat Summer),../lyrics/childishgambino/iloveclothesdeadbeatsummer.html,I Am Just A Rapper,2010,CHILDISH GAMBINO
Turd In The Oven (Diplomat's Son),../lyrics/childishgambino/turdintheovendiplomatsson.html,I Am Just A Rapper,2010,CHILDISH GAMBINO
,,I Am Just A Rapper,2010,CHILDISH GAMBINO
The Real (Infinity Guitars),../lyrics/childishgambino/therealinfinityguitars.html,I Am Just A Rapper 2,2010,CHILDISH GAMBINO
Get It (Tightrope),../lyrics/childishgambino/getittightrope.html,I Am Just A Rapper 2,2010,CHILDISH GAMBINO
Different (Feel It All Around),../lyrics/childishgambino/differentfeelitallaround.html,I Am Just A Rapper 2,2010,CHILDISH GAMBINO
What The Fuck Are You? (Colouring Of Pigeons),../lyrics/childishgambino/whatthefuckareyoucolouringofpigeons.html,I Am Just A Rapper 2,2010,CHILDISH GAMBINO
Both Hands (Black Rainbow),../lyrics/childishgambino/bothhandsblackrainbow.html,I Am Just A Rapper 2,2010,CHILDISH GAMBINO
For The Fans (Warm Heart Of Africa),../lyrics/childishgambino/forthefanswarmheartofafrica.html,I Am Just A Rapper 2,2010,CHILDISH GAMBINO
Nowhere To Go (Disaster Babe),../lyrics/childishgambino/nowheretogodisasterbabe.html,I Am Just A Rapper 2,2010,CHILDISH GAMBINO
,,I Am Just A Rapper 2,2010,CHILDISH GAMBINO
Difference,../lyrics/childishgambino/difference.html,Culdesac,2010,CHILDISH GAMBINO
Hero,../lyrics/childishgambino/hero.html,Culdesac,2010,CHILDISH GAMBINO
I Be On That,../lyrics/childishgambino/ibeonthat.html,Culdesac,2010,CHILDISH GAMBINO
Got This Money,../lyrics/childishgambino/gotthismoney.html,Culdesac,2010,CHILDISH GAMBINO
So Fly,../lyrics/childishgambino/sofly.html,Culdesac,2010,CHILDISH GAMBINO
You Know Me,../lyrics/childishgambino/youknowme.html,Culdesac,2010,CHILDISH GAMBINO
Let Me Dope You,../lyrics/childishgambino/letmedopeyou.html,Culdesac,2010,CHILDISH GAMBINO
Do Ya Like,../lyrics/childishgambino/doyalike.html,Culdesac,2010,CHILDISH GAMBINO
I'm Alright,../lyrics/childishgambino/imalright.html,Culdesac,2010,CHILDISH GAMBINO
Glory,../lyrics/childishgambino/glory.html,Culdesac,2010,CHILDISH GAMBINO
