song,link,album,year,artist
Lovesongs (They Kill Me),../lyrics/cinemabizarre/lovesongstheykillme.html,Final Attraction,2007,CINEMA BIZARRE
How Does It Feel,../lyrics/cinemabizarre/howdoesitfeel.html,Final Attraction,2007,CINEMA BIZARRE
Silent Scream,../lyrics/cinemabizarre/silentscream.html,Final Attraction,2007,CINEMA BIZARRE
Get Off,../lyrics/cinemabizarre/getoff.html,Final Attraction,2007,CINEMA BIZARRE
Forever Or Never,../lyrics/cinemabizarre/foreverornever.html,Final Attraction,2007,CINEMA BIZARRE
Escape To The Stars,../lyrics/cinemabizarre/escapetothestars.html,Final Attraction,2007,CINEMA BIZARRE
After The Rain,../lyrics/cinemabizarre/aftertherain.html,Final Attraction,2007,CINEMA BIZARRE
She Waits For Me,../lyrics/cinemabizarre/shewaitsforme.html,Final Attraction,2007,CINEMA BIZARRE
I Don't Believe,../lyrics/cinemabizarre/idontbelieve.html,Final Attraction,2007,CINEMA BIZARRE
The Way We Are,../lyrics/cinemabizarre/thewayweare.html,Final Attraction,2007,CINEMA BIZARRE
Dysfunctional Family,../lyrics/cinemabizarre/dysfunctionalfamily.html,Final Attraction,2007,CINEMA BIZARRE
Heavensent,../lyrics/cinemabizarre/heavensent.html,Final Attraction,2007,CINEMA BIZARRE
Angel In Disguise,../lyrics/cinemabizarre/angelindisguise.html,Final Attraction,2007,CINEMA BIZARRE
The Silent Place,../lyrics/cinemabizarre/thesilentplace.html,Final Attraction,2007,CINEMA BIZARRE
Spaceman,../lyrics/cinemabizarre/spaceman.html,Final Attraction,2007,CINEMA BIZARRE
,,Final Attraction,2007,CINEMA BIZARRE
Touching And Kissing,../lyrics/cinemabizarre/touchingandkissing.html,ToyZ,2009,CINEMA BIZARRE
I Came 2 Party,../lyrics/cinemabizarre/icame2party.html,ToyZ,2009,CINEMA BIZARRE
Deeper And Deeper,../lyrics/cinemabizarre/deeperanddeeper.html,ToyZ,2009,CINEMA BIZARRE
Erase And Replace,../lyrics/cinemabizarre/eraseandreplace.html,ToyZ,2009,CINEMA BIZARRE
My Obsession,../lyrics/cinemabizarre/myobsession.html,ToyZ,2009,CINEMA BIZARRE
Je Ne Regrette Rien,../lyrics/cinemabizarre/jeneregretterien.html,ToyZ,2009,CINEMA BIZARRE
Dark Star,../lyrics/cinemabizarre/darkstar.html,ToyZ,2009,CINEMA BIZARRE
Toyz,../lyrics/cinemabizarre/toyz.html,ToyZ,2009,CINEMA BIZARRE
In Your Cage,../lyrics/cinemabizarre/inyourcage.html,ToyZ,2009,CINEMA BIZARRE
Heaven Is Wrapped In Chains,../lyrics/cinemabizarre/heaveniswrappedinchains.html,ToyZ,2009,CINEMA BIZARRE
Hypnotized By Jane,../lyrics/cinemabizarre/hypnotizedbyjane.html,ToyZ,2009,CINEMA BIZARRE
Blasphemy,../lyrics/cinemabizarre/blasphemy.html,ToyZ,2009,CINEMA BIZARRE
I Don't Wanna Know (If U Got Laid),../lyrics/cinemabizarre/idontwannaknowifugotlaid.html,ToyZ,2009,CINEMA BIZARRE
Out Of Love,../lyrics/cinemabizarre/outoflove.html,ToyZ,2009,CINEMA BIZARRE
Sad Day (For Happiness),../lyrics/cinemabizarre/saddayforhappiness.html,ToyZ,2009,CINEMA BIZARRE
Tears In Vegas,../lyrics/cinemabizarre/tearsinvegas.html,ToyZ,2009,CINEMA BIZARRE
American Beauty,../lyrics/cinemabizarre/americanbeauty.html,ToyZ,2009,CINEMA BIZARRE
Modern Lover,../lyrics/cinemabizarre/modernlover.html,ToyZ,2009,CINEMA BIZARRE
Bang A Gong (Get It On),../lyrics/cinemabizarre/bangagonggetiton.html,ToyZ,2009,CINEMA BIZARRE
Are You Crying,../lyrics/cinemabizarre/areyoucrying.html,ToyZ,2009,CINEMA BIZARRE
It's Over,../lyrics/cinemabizarre/itsover.html,,,CINEMA BIZARRE
