song,link,album,year,artist
Didn't Ya,../lyrics/cityhigh/didntya.html,City High,2001,CITY HIGH
3-Way,../lyrics/cityhigh/3way.html,City High,2001,CITY HIGH
Why,../lyrics/cityhigh/why.html,City High,2001,CITY HIGH
Song For You,../lyrics/cityhigh/songforyou.html,City High,2001,CITY HIGH
15 Will Get You 20,../lyrics/cityhigh/15willgetyou20.html,City High,2001,CITY HIGH
Cats And Dogs,../lyrics/cityhigh/catsanddogs.html,City High,2001,CITY HIGH
Caramel,../lyrics/cityhigh/caramel.html,City High,2001,CITY HIGH
Best Friend,../lyrics/cityhigh/bestfriend.html,City High,2001,CITY HIGH
Sista,../lyrics/cityhigh/sista.html,City High,2001,CITY HIGH
What Would You Do,../lyrics/cityhigh/whatwouldyoudo.html,City High,2001,CITY HIGH
So Many Things,../lyrics/cityhigh/somanythings.html,City High,2001,CITY HIGH
The Only One I Trust,../lyrics/cityhigh/theonlyoneitrust.html,City High,2001,CITY HIGH
City High Anthem,../lyrics/cityhigh/cityhighanthem.html,City High,2001,CITY HIGH
You Don't Know Me,../lyrics/cityhigh/youdontknowme.html,City High,2001,CITY HIGH
Caramel (Remix),../lyrics/cityhigh/caramelremix.html,,,CITY HIGH
