song,link,album,year,artist
Look Out Below,../lyrics/closure/lookoutbelow.html,Closure,2003,CLOSURE
Afterglow,../lyrics/closure/afterglow.html,Closure,2003,CLOSURE
Oxygen,../lyrics/closure/oxygen.html,Closure,2003,CLOSURE
What It's All About,../lyrics/closure/whatitsallabout.html,Closure,2003,CLOSURE
Whatever Made You,../lyrics/closure/whatevermadeyou.html,Closure,2003,CLOSURE
Crushed,../lyrics/closure/crushed.html,Closure,2003,CLOSURE
Lie To Me,../lyrics/closure/lietome.html,Closure,2003,CLOSURE
Live Again,../lyrics/closure/liveagain.html,Closure,2003,CLOSURE
I Don't Mind (The Rain),../lyrics/closure/idontmindtherain.html,Closure,2003,CLOSURE
Fragile,../lyrics/closure/fragile.html,Closure,2003,CLOSURE
You Are My Hatred,../lyrics/closure/youaremyhatred.html,Closure,2003,CLOSURE
