song,link,album,year,artist
Oceans,../lyrics/coasts/oceans.html,Coasts,2016,COASTS
Wolves,../lyrics/coasts/wolves.html,Coasts,2016,COASTS
You,../lyrics/coasts/you.html,Coasts,2016,COASTS
Modern Love,../lyrics/coasts/modernlove.html,Coasts,2016,COASTS
Lions,../lyrics/coasts/lions.html,Coasts,2016,COASTS
Stay,../lyrics/coasts/stay.html,Coasts,2016,COASTS
A Rush Of Blood,../lyrics/coasts/arushofblood.html,Coasts,2016,COASTS
Your Soul,../lyrics/coasts/yoursoul.html,Coasts,2016,COASTS
Wash Away,../lyrics/coasts/washaway.html,Coasts,2016,COASTS
Tonight,../lyrics/coasts/tonight.html,Coasts,2016,COASTS
Wallow,../lyrics/coasts/wallow.html,Coasts,2016,COASTS
Let Go,../lyrics/coasts/letgo.html,Coasts,2016,COASTS
Golden City,../lyrics/coasts/goldencity.html,Coasts,2016,COASTS
As Long As I Need You,../lyrics/coasts/aslongasineedyou.html,Coasts,2016,COASTS
See How,../lyrics/coasts/seehow.html,Coasts,2016,COASTS
Stone,../lyrics/coasts/stone.html,Coasts,2016,COASTS
Heart Starts Beating,../lyrics/coasts/heartstartsbeating.html,,,COASTS
